Eftir;Eftir
hann;hann
þá;þá
til;til
ferðar;ferðar
með;með
konungi;konungi
ok;og
var;var
skrásettr;skrásettur
í;í
skip;skip
.;.
Gekk;gekk
hann;hann
þá;þá
til;til
skips;skips
,;,
ok;og
var;var
fátt;fátt
manna;manna
komit;komið
.;.
Hafði;Hafði
hann;hann
húðfat;húðfat
ok;og
sviptikistu;sviptikistu
.;.
Settist;Settist
hann;hann
fram;fram
á;á
þiljur;þiljur
.;.
Nökkuru;Nokkru
síðar;síðar
gekk;gekk
konungr;konungur
á;á
bryggjur;bryggjur
ok;og
sveit;sveit
manna;manna
með;með
honum;honum
.;.
Stóð;Stóð
Sturla;Sturla
þá;þá
upp;upp
ok;og
hneigði;hneigði
honum;honum
ok;og
kvaddi;kvaddi
hann;hann
.;.
En;En
konungr;konungur
svaraði;svaraði
engu;engu
ok;og
gekk;gekk
aftr;aftur
eftir;eftir
skipi;skipi
til;til
lyftingar;lyftingar
.;.
Sigldu;Sigldu
þeir;þeir
um;um
daginn;daginn
suðr;suður
með;með
landi;landi
.;.
En;En
um;um
kveldit;kveldið
,;,
er;er
menn;menn
brutu;brutu
upp;upp
vistir;vistir
sínar;sínar
,;,
sat;sat
Sturla;Sturla
kyrr;kyrr
,;,
ok;og
bauð;bauð
engi;engi
maðr;maður
honum;honum
til;til
matar;matar
.;.
Þá;Þá
gekk;gekk
þjónustumaðr;þjónustumaður
konungs;konungs
um;um
skipit;skipið
ok;og
spurði;spurði
Sturlu;Sturlu
,;,
ef;ef
hann;hann
hefði;hefði
nökkura;nökkura
vist;vist
ok;og
drykk;drykk
.;.
Hann;Hann
kvaðst;kvaðst
hvártki;hvorki
hafa;hafa
.;.
Síðan;Síðan
gekk;gekk
þjónustumaðrinn;þjónustumaðurinn
til;til
konungs;konungs
ok;og
mælti;mælti
við;við
hann;hann
hljótt;hljótt
.;.
Síðan;Síðan
gekk;gekk
hann;hann
fram;fram
í;í
skip;skip
til;til
Sturlu;Sturlu
ok;og
mælti;mælti
:;:
skalt;skalt
fara;fara
í;í
mötuneyti;mötuneyti
með;með
þeim;þeim
Þóri;Þóri
munn;munn
ok;og
Erlendi;Erlendi
maga;maga
".""";"."""
Þeir;Þeir
tóku;tóku
við;við
honum;honum
ok;og
heldr;heldur
fáliga;fálega
.;.
En;En
er;er
menn;menn
lögðust;lögðust
til;til
svefns;svefns
,;,
þá;þá
spurði;spurði
stafnbúi;stafnbúi
konungs;konungs
,;,
hverr;hver
skemmta;skemmta
skyldi;skyldi
.;.
Flestir;Flestir
létu;létu
hljótt;hljótt
yfir;yfir
því;því
.;.
Þá;Þá
mælti;mælti
hann;hann
:;:
inn;hinn
íslenzki;íslenski
,;,
viltu;viltu
skemmta;skemmta
"?""";"?"""
þú;þú
",""";","""
segir;segir
Sturla;Sturla
.;.
Sagði;Sagði
hann;hann
þá;þá
Huldar;Huldar
sögu;sögu
—;—
betr;betur
ok;og
fróðligar;fróðlegar
en;en
nökkurr;nokkur
þeira;þeirra
hafði;hafði
fyrr;fyrr
heyrt;heyrt
,;,
er;er
þar;þar
váru;voru
.;.
Þröngdust;Þröngdust
þá;þá
margir;margir
fram;fram
á;á
þiljurnar;þiljurnar
ok;og
vildu;vildu
heyra;heyra
sem;sem
gerst;gerst
.;.
Varð;Varð
þar;þar
þröng;þröng
mikil;mikil
.;.
Dróttning;Drottning
spurði;spurði
:;:
þröng;þröng
er;er
þar;þar
fram;fram
á;á
þiljunum;þiljunum
"?""";"?"""
Maðr;Maður
segir;segir
:;:
vilja;vilja
menn;menn
heyra;heyra
til;til
sögu;sögu
,;,
er;er
hann;hann
íslendingrinn;íslendingurinn
segir;segir
".""";"."""
Hon;Hún
mælti;mælti
:;:
sögu;sögu
er;er
þat;það
"?""";"?"""
Hann;Hann
svaraði;svaraði
:;:
er;er
frá;frá
tröllkonu;tröllkonu
mikilli;mikilli
,;,
ok;og
er;er
góð;góð
sagan;sagan
,;,
enda;enda
er;er
vel;vel
frá;frá
sagt;sagt
".""";"."""
Konungr;Konungur
bað;bað
hana;hana
gefa;gefa
at;að
þessu;þessu
engan;engan
gaum;gaum
ok;og
sofa;sofa
.;.
Hon;Hún
mælti;mælti
:;:
ætla;ætla
ek;ég
,;,
at;að
íslendingr;íslendingur
þessi;þessi
muni;muni
vera;vera
góðr;góður
drengr;drengur
ok;og
sakaðr;sakaður
minnr;minna
en;en
flutt;flutt
hefir;hefir
verit;verið
".""";"."""
Konungr;Konungur
þagði;þagði
.;.
Sváfu;Sváfu
menn;menn
þá;þá
af;af
nóttina;nóttina
.;.
En;En
um;um
morgininn;morgininn
eftir;eftir
var;var
engi;enginn
byrr;byr
,;,
ok;og
lá;lá
konungr;konungur
í;í
sama;sama
lægi;lægi
.;.
En;En
er;er
menn;menn
sátu;sátu
at;að
drykk;drykk
um;um
daginn;daginn
,;,
sendi;sendi
konungr;konungur
Sturlu;Sturlu
sendingar;sendingar
af;af
borði;borði
.;.
Mötunautar;Mötunautar
Sturlu;Sturlu
urðu;urðu
við;við
þetta;þetta
glaðir;glaðir
,;,
—;—
hlýzt;hlýst
betra;betra
af;af
þér;þér
en;en
vér;við
hugðum;hugðum
,;,
ef;ef
slíkt;slíkt
venst;venst
oft;oft
á;á
".""";"."""
En;En
er;er
menn;menn
váru;voru
mettir;mettir
,;,
sendi;sendi
dróttning;drottning
eftir;eftir
Sturlu;Sturlu
,;,
bað;bað
hann;hann
koma;koma
til;til
sín;sín
ok;og
hafa;hafa
með;með
sér;sér
tröllkonusöguna;tröllkonusöguna
.;.
Gekk;gekk
þá;þá
Sturla;Sturla
aftr;aftr
í;í
lyftingina;lyftinguna
ok;og
kvaddi;kvaddi
konung;konung
ok;og
dróttningina;drottningina
.;.
Konungr;Konungur
tók;tók
kveðju;kveðju
hans;hans
lágt;lágt
,;,
en;en
dróttning;drottning
vel;vel
ok;og
léttiliga;léttilega
.;.
Bað;Bað
dróttning;drottning
hann;hann
segja;segja
þá;þá
sömu;sömu
sögu;sögu
,;,
er;er
hann;hann
hafði;hafði
sagt;sagt
um;um
kveldit;kveldið
.;.
Hann;Hann
gerði;gerði
svá;svo
ok;og
sagði;sagði
mikinn;mikinn
hluta;hluta
dags;dags
sögu;sögu
.;.
En;En
er;er
hann;hann
hafði;hafði
sagt;sagt
,;,
þakkaði;þakkaði
dróttning;drottning
honum;honum
ok;og
margir;margir
aðrir;aðrir
ok;og
þóttust;þóttust
skilja;skilja
,;,
at;að
hann;hann
var;var
fróðr;fróður
maðr;maður
ok;og
vitr;viður
.;.
En;En
konungr;konungur
svarar;svarar
engu;engu
ok;og
brosti;brosti
at;að
nökkut;nökkut
svá;svo
.;.
Þóttist;Þóttist
Sturla;Sturla
þá;þá
sjá;sjá
,;,
at;að
allt;allt
skap;skap
konungs;konungs
var;var
þá;þá
léttara;léttara
en;en
inn;hinn
fyrra;fyrra
daginn;daginn
.;.
Sagði;Sagði
hann;hann
þá;þá
konungi;konungi
,;,
at;að
hann;hann
hefði;hefði
ort;ort
kvæði;kvæði
um;um
hann;hann
ok;og
svá;svo
um;um
föður;föður
hans;hans
,;,
—;—
ek;ég
,;,
at;að
þér;þér
hlýddið;hlýddið
til;til
".""";"."""
Dróttning;drottning
mælti;mælti
:;:
hann;hann
kveða;kveða
,;,
því;því
at;að
mér;mér
er;er
sagt;sagt
,;,
at;að
hann;hann
sé;sé
it;ið
mesta;mesta
skáld;skáld
,;,
ok;og
mun;mun
kvæðit;kvæðið
vera;vera
ágæta;ágæta
gott;gott
".""";"."""
Konungr;Konungur
bað;bað
hann;hann
kveða;kveða
,;,
ef;ef
hann;hann
vildi;vildi
,;,
þat;það
þú;þú
þykkist;þykist
um;um
mik;mig
ort;ort
hafa;hafa
".""";"."""
Þá;Þá
kvað;kvað
Sturla;Sturla
,;,
til;til
þess;þess
er;er
lokit;logið
var;var
.;.
Dróttning;drottning
mælti;mælti
:;:
ætla;ætla
ek;ég
,;,
at;að
kvæðit;kvæðið
sé;sé
vel;vel
ort;ort
".""";"."""
Konungr;Konungur
mælti;mælti
:;:
mjök;mjög
gerla;gerla
at;að
heyra;heyra
"?""";"?"""
Hon;Hún
mælti;mælti
:;:
vilda;vildi
,;,
at;að
yðr;þér
þætti;þætti
svá;svo
,;,
herra;herra
".""";"."""
Konungr;Konungur
mælti;mælti
:;:
hefi;hef
ek;ég
,;,
at;að
Sturla;Sturla
kann;kann
at;að
yrkja;yrkja
".""";"."""
Kvaddi;Kvaddi
Sturla;Sturla
konung;konung
ok;og
dróttningu;drottningu
ok;og
gekk;gekk
til;til
rúms;rúms
síns;síns
.;.
Gaf;Gaf
konungi;konungi
eigi;eigi
at;að
sigla;sigla
þann;þann
dag;dag
.;.
En;En
um;um
kveldit;kveldið
,;,
áðr;áður
hann;hann
fór;fór
at;að
sofa;sofa
,;,
lét;lét
hann;hann
kalla;kalla
á;á
Sturlu;Sturlu
.;.
Ok;og
er;er
hann;hann
kom;kom
,;,
kvaddi;kvaddi
hann;hann
konung;konung
ok;og
mælti;mælti
síðan;síðan
:;:
vilið;vilið
þér;þér
mér;mér
,;,
herra;herra
"?""";"?"""
Konungr;Konungur
bað;bað
taka;taka
silfrker;silfrker
,;,
fullt;fullt
af;af
víni;víni
,;,
ok;og
drakk;drakk
af;af
nökkut;nökkuð
,;,
fekk;fekk
síðan;síðan
Sturlu;Sturlu
ok;og
mælti;mælti
:;:
skal;skal
til;til
vinar;vinar
drekka;drekka
".""";"."""
Sturla;Sturla
mælti;mælti
:;:
sé;sé
lofaðr;lofaður
,;,
at;að
svá;svo
sé;sé
".""";"."""
skal;skal
vera;vera
",""";","""
segir;segir
konungr;konungur
.;.
nú;nú
vil;vil
ek;ég
,;,
at;að
þú;þú
kveðir;kveðir
kvæðit;kvæðið
,;,
þat;það
sem;sem
þú;þú
hefir;hefir
ort;ort
um;um
föður;föður
minn;minn
".""";"."""
Sturla;Sturla
kvað;kvað
þá;þá
kvæðit;kvæðið
.;.
En;En
er;er
lokit;logið
var;var
,;,
lofuðu;lofuðu
menn;menn
mjök;mjög
ok;og
mest;mest
dróttning;drottning
.;.
Konungr;Konungur
mælti;mælti
:;:
ætla;ætla
ek;ég
,;,
at;að
þú;þú
kveðir;kveðir
betr;betur
en;en
páfinn;páfinn
".""";"."""
Konungr;Konungur
spurði;spurði
Sturlu;Sturlu
at;að
um;um
þangatkvámu;þangaðkomu
hans;hans
.;.
Sturla;Sturla
sagði;sagði
konungi;konungi
vel;vel
ok;og
einarðliga;einarðlega
frá;frá
skiptum;skiptum
þeira;þeira
Hrafns;Hrafns
.;.
nú;nú
veit;veit
ek;ég
,;,
herra;herra
,;,
at;að
ek;ég
hefi;hef
affluttr;affluttur
verit;verið
við;við
föður;föður
yðvarn;þinn
ok;og
yðr;yður
af;af
óvinum;óvinum
mínum;mínum
ok;og
eigi;eigi
með;með
sönnu;sönnu
efni;efni
.;.
Nú;Nú
þarf;þarf
ek;ég
sem;sem
allir;allir
aðrir;aðrir
guðs;guðs
miskunnar;miskunnar
ok;og
yðvarrar;þinnar
ásjá;ásjá
,;,
herra;herra
,;,
ok;og
nú;nú
er;er
allt;allt
mitt;mitt
mál;mál
á;á
yðru;þínu
valdi;valdi
".""";"."""
Konungr;Konungur
svarar;svarar
vel;vel
ok;og
hógliga;hóglega
ok;og
mælti;mælti
:;:
hefi;hefi
ek;ég
heyrt;heyrt
kvæði;kvæði
þín;þín
,;,
Sturla;Sturla
,;,
ok;og
hygg;hygg
ek;ég
,;,
at;að
þú;þú
munir;munir
vera;vera
it;hið
bezta;besta
skáld;skáld
.;.
Nú;Nú
mun;mun
ek;ég
þat;það
at;að
launum;launum
leggja;leggja
,;,
at;að
þú;þú
skalt;skalt
heim;heim
kominn;kominn
með;með
mér;mér
í;í
náðum;náðum
ok;og
góðum;góðum
friði;friði
.;.
En;En
faðir;faðir
minn;minn
á;á
sök;sök
á;á
sínum;sínum
málum;málum
,;,
er;er
þit;þið
finnizt;finnist
,;,
en;en
gott;gott
mun;mun
ek;ég
til;til
leggja;leggja
".""";"."""
Dróttning;drottning
þakkaði;þakkaði
konungi;konungi
ok;og
kvaðst;kvaðst
hyggja;hyggja
,;,
at;að
Sturla;Sturla
væri;væri
inn;inn
bezti;besti
drengr;drengur
.;.
Konungr;Konungur
tók;tók
þá;þá
Sturlu;Sturlu
vel;vel
ok;og
tærði;tærði
honum;honum
vel;vel
ok;og
sæmiliga;sæmilega
.;.
Dróttning;drottning
var;var
til;til
hans;hans
forkunnar;forkunnar
vel;vel
,;,
ok;og
svá;svo
gerðu;gerðu
aðrir;aðurir
eftir;eftir
.;.
Ok;Og
litlu;litlu
síðar;síðar
kom;kom
Sturla;Sturla
í;í
ina;hina
mestu;mestu
kærleika;kærleika
við;við
konunginn;konunginn
,;,
ok;og
hafði;hafði
konungr;konungur
hann;hann
mjök;mjög
við;við
ráðagerðir;ráðagerðir
sínar;sínar
ok;og
skipaði;skipaði
honum;honum
þann;þann
vanda;vanda
at;að
setja;setja
saman;saman
sögu;sögu
Hákonar;Hákonar
konungs;konungs
,;,
föður;föður
síns;síns
,;,
eftir;eftir
sjálfs;sjálfs
hans;hans
ráði;ráði
ok;og
inna;inna
vitrustu;vitrustu
manna;manna
forsögn;forsögn
.;.
En;En
áðr;áður
konungr;konungur
lét;lét
setja;setja
söguna;söguna
saman;saman
,;,
hafði;hafði
Hákon;Hákon
konungr;konungur
andazt;andast
í;í
Orkneyjum;Orkneyjum
,;,
ok;og
þótti;þótti
mönnum;mönnum
þat;það
mikil;mikil
tíðendi;tíðindi
um;um
öll;öll
Norðrlönd;Norðurlönd
ok;og
inn;hinn
mesti;mesti
skaði;skaði
.;.
Ok;og
þá;þá
í;í
annarri;annarri
utanferð;utanferð
Sturlu;Sturlu
var;var
hann;hann
enn;enn
með;með
Magnúsi;Magnúsi
konungi;konungi
vel;vel
haldinn;haldinn
ok;og
mikils;mikils
metinn;metinn
.;.
Þá;Þá
setti;setti
hann;hann
saman;saman
sögu;sögu
Magnúss;Magnúsar
konungs;konungs
eftir;eftir
bréfum;bréfum
ok;og
sjálfs;sjálfs
hans;hans
ráði;ráði
.;.
Gerðist;Gerðist
hann;hann
þá;þá
hirðmaðr;hirðmaður
Magnúss;Magnúsar
konungs;konungs
ok;og
því;því
næst;næst
skutilsveinn;skutilsveinn
.;.
Hann;Hann
orti;orti
mörg;mörg
kvæði;kvæði
um;um
Magnús;Magnús
konung;konung
ok;og
þá;þá
margfalda;margfalda
sæmd;sæmd
þar;þar
fyrir;fyrir
.;.
Síðan;Síðan
kom;kom
utan;utan
af;af
Íslandi;Íslandi
Helga;Helga
Þórðardóttir;Þórðardóttir
,;,
kona;kona
Sturlu;Sturlu
,;,
ok;og
synir;synir
hennar;hennar
.;.
Var;Var
hon;hún
þar;þar
fyrir;fyrir
sakir;sakir
Sturlu;Sturlu
tekin;tekin
í;í
ina;hina
mestu;mestu
sæmd;sæmd
af;af
dróttningu;drottningu
.;.
Þórðr;Þórður
Sturluson;Sturluson
kom;kom
utan;utan
ok;og
fór;fór
til;til
konungs;konungs
ok;og
var;var
þar;þar
vígðr;vígður
til;til
prests;prests
ok;og
varð;varð
síðan;síðan
hirðprestr;hirðprestur
Magnúss;Magnúsar
konungs;konungs
ok;og
fekk;fekk
milda;milda
virðing;virðingu
ok;og
andaðist;andaðist
þar;þar
.;.
Sturla;Sturla
orti;orti
um;um
Birgi;Birgi
jarl;jarl
af;af
Svíþjóð;Svíþjóð
tólf;tólf
vísna;vísna
flokk;flokk
ok;og
þá;þá
þar;þar
laun;laun
fyrir;fyrir
.;.
Var;Var
þat;það
kumpáss;kompáss
af;af
baldikinn;baldikinn
ok;og
kyrtill;kyrtill
hálfermaðr;hálfermaður
,;,
baldikinn;baldikinn
ok;og
skarlat;skarlað
,;,
ok;og
ágætt;ágætt
kaprún;kaprún
.;.
En;En
er;er
þeir;þeir
Magnúss;Magnús
konungr;konungur
ok;og
Birgir;Birgir
jarl;jarl
fundust;fundust
,;,
þá;þá
færði;færði
Sturla;Sturla
drápu;drápu
,;,
er;er
hann;hann
hafði;hafði
ort;ort
um;um
Birgi;Birgi
jarl;jarl
.;.
Þakkaði;Þakkaði
jarl;jarl
honum;honum
vel;vel
kvæðit;kvæðið
ok;og
bauð;bauð
Sturlu;Sturlu
upp;upp
í;í
Svíaveldi;Svíaveldi
með;með
sér;sér
,;,
—;—
þik;þig
hvárki;hvorki
skorta;skorta
góða;góða
hesta;hesta
né;né
gangsilfr;gangsilfur
".""";"."""
Sturla;Sturla
gaf;gaf
jarli;jarli
þar;þar
fyrir;fyrir
góðar;góðar
þakkir;þakkir
,;,
—;—
konungr;konungur
hefir;hefir
mér;mér
gefit;gefið
útferðarleyfi;útferðarleyfi
til;til
Íslands;Íslands
".""";"."""
En;En
konungr;konungur
leit;leið
frá;frá
ok;og
brosti;brosti
við;við
,;,
því;því
at;að
þeir;þeir
Sturla;Sturla
höfðu;höfðu
eigi;eigi
um;um
þat;það
talat;talað
.;.
En;En
þó;þó
lét;lét
konungr;konungur
leyft;leyft
honum;honum
verða;verða
þat;það
sumar;sumar
út;út
at;að
fara;fara
til;til
Íslands;Íslands
.;.
It;Hið
næsta;næsta
sumar;sumar
eftir;eftir
andlát;andlát
Hákonar;Hákonar
konungs;konungs
andaðist;andaðist
Brandr;Brandur
byskup;biskup
Jónsson;Jónsson
at;að
Hólum;Hólum
.;.
Þá;Þá
fór;fór
Óláfr;Óláfur
Grænlendingabyskup;Grænlendingabiskup
af;af
Íslandi;Íslandi
.;.
Þat;það
haust;haust
fyrir;fyrir
Mikjálsmessu;mikjálsmessu
lét;lét
Gizurr;Gissur
drepa;drepa
Þórð;Þórð
Andréasson;Andrésson
.;.
