Almáttigr;Almáttugur
ok;og
í;í
lofti;lofti
,;,
himins;himins
ok;og
himintunglum;himintunglum
,;,
sævarins;sævarins
ok;og
veðranna;veðuranna
.;.
En;En
til;til
þess;þess
at;að
heldr;heldr
mætti;mætti
frá;frá
segja;segja
eða;eða
í;í
minni;minni
festa;festa
,;,
þá;þá
gáfu;gáfu
þeir;þeir
nöfn;nöfn
með;með
sjálfum;sjálfum
sér;sér
öllum;öllum
hlutum;hlutum
,;,
ok;og
hefir;hefir
þessi;þessi
átrúnaðr;átrúnaður
á;á
marga;marga
lund;lund
breytzt;breyst
,;,
svá;svo
sem;sem
þjóðirnar;þjóðirnar
skiptust;skiptust
ok;og
tungurnar;tungurnar
greindust;gureindust
.;.
En;En
alla;alla
hluti;hluti
skilðu;skilðu
þeir;þeir
jarðligri;jarðlegri
skilningu;skilningur
,;,
því;því
at;að
þeim;þeim
var;var
eigi;eigi
gefin;gefin
andlig;andleg
spekðin;spektin
.;.
Svá;Svo
skilðu;skilðu
þeir;þeir
,;,
at;að
allir;allir
hlutir;hlutir
væri;væri
smíðaðir;smíðaðir
af;af
nökkuru;nokkru
efni;efni
.;.
