Maðr;Maður
hvat;hvað
sem;sem
at;að
höndum;höndum
kemr;kemur
.;.
Aron;Aron
stendr;stendur
upp;upp
skjótt;skjótt
.;.
En;En
er;er
Ormr;Ormur
vaknar;vaknar
,;,
þá;þá
gengr;gengur
Þórarinn;Þórarinn
til;til
bróður;bróður
síns;síns
ok;og
fréttir;fréttir
eftir;eftir
,;,
hvárt;hvort
Ormr;Ormur
hafi;hafi
nökkut;nokkuð
skapskipun;skapskipun
tekit;tekið
um;um
nóttina;nóttina
.;.
Hann;Hann
segir;segir
þat;þat
ekki;ekki
vera;vera
.;.
„;„
Þá;Þá
mun;mun
ek;ég
segja;segja
þér;þér
,;,
“;“
segir;segir
Þórarinn;Þórarinn
,;,
„;„
at;at
þetta;þetta
mun;mun
kallat;kallað
it;hið
mesta;mesta
níðingsverk;níðingsverk
hér;hér
á;á
Íslandi;Íslandi
ok;og
óhöfðingligt;óhöfðinglegt
,;,
ok;og
vilda;vildi
ek;ég
láta;láta
spara;spara
sjálfum;sjálfum
Sturlungum;Sturlungum
þetta;þetta
verk;verk
.;.
Þá;Þá
segir;segir
Ormr;Ormur
:;:
„;„
Finn;Finn
ek;ég
,;,
at;að
þú;þú
ert;ert
mikill;mikill
í;í
flutningi;flutningi
,;,
en;en
þó;þó
hefi;hefi
ek;ég
þessu;þessu
fastliga;fastlega
heitit;heitið
.;.
“;“
Þá;Þá
svarar;svarar
Þórarinn;Þórarinn
:;:
„;„
Birta;Birta
mun;mun
ek;ek
nútt;nútt
skaplyndi;skaplyndi
ok;ok
felast;felast
eigi;eigi
lengr;lengr
,;,
at;at
hér;hér
skal;skal
frá;frá
fleirum;fleirum
tíðendum;tíðendum
at;at
segja;segja
í;í
dag;dag
en;en
lífláti;lífláti
Arons;Arons
,;,
því;því
at;at
vér;vér
munum;munum
allir;allir
saman;saman
standa;standa
ok;ok
veita;veita
nökkura;nökkura
vörn;vörn
,;,
ef;ef
þér;þér
vilið;vilið
at;at
sækja;sækja
.;.
Ok;Ok
vænti;vænti
ek;ek
,;,
at;at
nökkurir;nökkurir
klái;klái
sárt;sárt
síður;síður
,;,
áðr;áðr
vit;vit
Aron;Aron
látimst;látimst
báðir;báðir
.“;.“
Ormr;Ormr
svarar;svarar
:;:
„;„
Ofrkapp;Ofurkapp
leggr;leggur
þú;þú
á;á
þetta;þetta
,;,
bróðir;bróðir
,;,
sem;sem
jafnan;jafnan
endranær;endranær
,;,
ok;og
mun;mun
ek;ég
ekki;ekki
þat;það
til;til
vinna;vinna
til;til
lífláts;lífláts
eins;eins
manns;manns
nauðsynjalaust;nauðsynjalaust
at;að
berjast;berjast
við;við
þik;þig
.;.
Takið;Takið
hann;hann
nú;nú
á;á
yðvart;ykkar
vald;vald
ok;og
farið;farið
með;með
sem;sem
yðr;ykkur
líkar;líkar
.“;.“
Þá;Þá
þakkaði;þakkaði
Þórarinn;Þórarinn
Ormi;Ormi
bróður;bróður
sínum;sínum
,;,
ok;og
er;er
ekki;ekki
getit;getið
,;,
at;að
þá;þá
skildi;skildi
á;á
um;um
þetta;þetta
síðan;síðan
.;.
Fekk;Fékk
Þórarinn;Þórarinn
af;af
þessu;þessu
góðan;góðan
orðróm;orðróm
ok;og
mun;mun
lengi;lengi
uppi;uppi
vera;vera
.;.
Svá;Svo
segir;segir
Þormóðr;Þormóður
prestr;prestur
:;:
Þórarinn;Þórarinn
tekr;tekur
nú;nú
Aron;Aron
á;á
sitt;sitt
vald;vald
ok;og
eru;eru
þar;þar
nökkura;nokkra
hríð;hríð
ok;og
fara;fara
jafnsnemma;jafnsnemma
í;í
braut;braut
.;.
Fær;Fær
Þórarinn;Þórarinn
honum;honum
góðan;góðan
förunaut;förunaut
þann;þann
er;er
Guðmundr;Guðmundur
hét;hét
ok;og
var;var
Óláfsson;Óláfsson
.;.
Sá;Sá
var;var
síðan;síðan
at;að
brennunni;brennunni
Þorvalds;Þorvalds
Vatnsfirðings;Vatnsfirðings
með;með
þeim;þeim
Hrafnssonum;Hrafnssonum
.;.
Um;Um
þat;það
,;,
er;er
Aron;Aron
var;var
tekinn;tekinn
at;að
Svínafelli;Svínafelli
,;,
váru;voru
þessar;þessar
vísur;vísur
kveðnar;kveðnar
:;:
Nú;Nú
bjó;bjó
Þórarinn;Þórarinn
Aron;Aron
á;á
brott;brott
frá;frá
Svínafelli;Svínafelli
.;.
Var;Var
ferð;ferð
þeira;þeirra
vel;vel
búin;búin
,;,
en;en
þó;þó
hlutu;hlutu
þeir;þeir
at;að
fara;fara
leyniliga;leynilega
ok;og
meir;meir
um;um
nætr;nætur
en;en
um;um
daga;daga
,;,
því;því
at;að
raunmjök;raunmjög
var;var
lífs;lífs
at;að
gæta;gæta
.;.
En;En
eigi;eigi
er;er
sagt;sagt
frá;frá
náttstöðum;náttstöðum
þeira;þeirra
,;,
fyrr;fyrr
en;en
þeir;þeir
koma;koma
í;í
Borgarfjörð;Borgarfjörð
ok;og
til;til
þess;þess
bæjar;bæjar
,;,
er;er
á;á
Rauðamel;Rauðamel
heitir;heitir
inum;hinum
syðra;syðra
.;.
Þar;Þar
bjó;bjó
þá;þá
Sölvi;Sölvi
prestr;prestur
Jöruridarson;Jóríðarson
ok;og
Sigríðr;Sigríður
,;,
móðir;móðir
Arons;Arons
.;.
Þat;Það
var;var
nær;nær
miðju;miðju
þingi;þingi
.;.
Þeir;Þeir
kómu;komu
í;í
morgnun;morgun
á;á
bæinn;bæinn
,;,
ok;og
váru;voru
flestir;flestir
menn;menn
í;í
svefni;svefni
.;.
Sveinpiltar;Sveinpiltar
tveir;tveir
höfðu;höfðu
farit;farið
úti;úti
at;að
hrossum;hrossum
.;.
Þeir;Þeir
váru;voru
úti;úti
,;,
er;er
þessir;þessir
menn;menn
riðu;riðu
at;að
bænum;bænum
.;.
Anriarr;Annar
sveinninn;sveinninn
var;var
Bárðr;Bárður
,;,
bróðir;bróðir
Arons;Arons
,;,
en;en
annarr;annar
hét;hét
Ormr;Ormur
.;.
Sveinarnir;Sveinarnir
heilsuðu;heilsuðu
þeim;þeim
ok;og
spurðu;spurðu
þá;þá
at;að
nafni;nafni
.;.
Þeir;Þeir
sögðu;sögðu
til;til
sín;sín
ok;og
eigi;eigi
þat;það
,;,
sem;sem
var;var
,;,
ok;og
leiddu;leiddu
hestana;hestana
á;á
bak;bak
húsum;húsum
ok;og
heimtu;heimtu
sveinana;sveinana
þangat;þangað
,;,
,;,
ok;og
mælti;mælti
Aron;Aron
,;,
at;að
þeir;þeir
skyldi;skyldi
inn;inn
ganga;ganga
hljóðliga;hljóðlega
til;til
hvílu;hvílu
Sigríðar;Sigríðar
Hafþórisdóttur;Hafþórisdóttur
ok;og
segja;segja
henni;henni
,;,
at;að
menn;menn
eru;eru
komnir;komnir
úti;úti
,;,
þeir;þeir
er;er
hana;hana
vilja;vilja
finna;finna
.;.
Piltarnir;Piltarnir
gera;gera
sem;sem
þeir;þeir
váru;voru
beðnir;beðnir
.;.
Hon;Hún
fréttir;fréttir
eftir;eftir
,;,
hversu;hversu
þessum;þessum
mönnum;mönnum
sé;sé
háttat;háttat
,;,
því;því
at;að
henni;henni
var;var
mikil;mikil
önn;önn
á;á
um;um
ferðir;ferðir
Arons;Arons
.;.
En;En
þeir;þeir
segja;segja
,;,
at;að
menn;menn
váru;voru
miklir;miklir
ok;og
vápnaðir;vápnaðir
mjök;mjög
.;.
Hon;Hún
ríss;rís
upp;upp
ok;ok
,;,
en;en
biðr;biður
sveinana;sveinana
sofa;sofa
ok;og
láta;láta
kyrrt;kyrrt
yfir;yfir
þessu;þessu
.;.
Hon;Hún
gengr;gengur
út;út
,;,
en;en
þessi;þessi
maðr;maður
annarr;annar
snýr;snýr
þegar;þegar
í;í
móti;móti
henni;henni
ok;og
minntist;minntist
til;til
hennar;hennar
.;.
Ok;Og
var;var
henni;henni
nú;nú
meiri;meiri
fögnuðr;fögnuður
á;á
fundi;fundi
þeira;þeirra
en;en
hon;hún
mætti;mætti
í;í
fyrsta;fyrsta
orði;orði
upp;upp
koma;koma
,;,
—;—
biðr;biður
þá;þá
ganga;ganga
af;af
þjóðbrautinni;þjóðbrautinni
,;,
en;en
hon;hún
gengr;gengur
inn;hinn
til;til
hvílu;hvílu
Sölva;Sölva
prests;prests
ok;og
segir;segir
honum;honum
,;,
hvers;hvers
efni;efni
í;í
eru;eru
.;.
Hann;Hann
sprettr;sprettur
skjótt;skjótt
upp;upp
ok;og
gengr;gengur
út;út
,;,
ok;og
finnast;finnast
þeir;þeir
frændr;frændr
,;,
ok;og
gerir;gerir
hann;hann
fyrir;fyrir
þeim;þeim
ráð;ráð
af;af
skyndingu;skyndingu
.;.
Ok;Og
litlu;litlu
síðar;síðar
var;var
þeim;þeim
fylgt;fylgt
til;til
eins;eins
hellis;hellis
,;,
er;er
þar;þar
var;var
í;í
hrauninu;hrauninu
mjök;mjög
langt;langt
frá;frá
bænum;bænum
.;.
Ok;Ok
hefir;hefir
sá;sá
hellir;hellir
þar;þar
af;af
nafn;nafn
tekit;tekið
ok;og
kallaðr;kallaður
Aronshellir;Aronshellir
.;.
Síðan;Síðan
váru;voru
þannig;þannig
fluttar;fluttar
vistir;vistir
af;af
trúnaðarmönnum;trúnaðarmönnum
þeira;þeirra
ok;og
klæði;klæði
,;,
svá;svo
at;að
þeir;þeir
máttu;máttu
bjargast;bjargast
við;við
,;,
ok;og
námu;námu
þar;þar
staðar;staðar
um;um
hríð;hríð
.;.
