Þat;Það
váru;voru
nefndir;nefndir
.;.
Yngvildr;Ingveldur
hét;hét
móðir;móðir
Hjörleifs;Hjörleifs
ok;og
var;var
Halldórsdóttir;Halldórsdóttir
,;,
Brandssonar;Brandssonar
ins;hins
örva;örva
,;,
er;er
bæði;bæði
var;var
víðfrægr;víðfrægur
utanlands;utanlands
ok;og
innan;innan
.;.
Hafþórir;Hafþórir
,;,
faðir;faðir
Sigríðar;Sigríðar
,;,
var;var
Aronsson;Aronsson
,;,
Bárðarsonar;Bárðarsonar
ins;hins
svarta;svarta
ór;úr
Selárdal;Selárdal
.;.
Þessir;Þessir
váru;voru
bræðr;bræður
Hjörleifs;Hjörleifs
Gilssonar;Gilssonar
:;:
Sölvi;Sölvi
prestr;prestur
,;,
merkiligr;merkilegur
maðr;maður
,;,
annarr;annar
Þórðr;Þórður
,;,
Helgi;Helgi
inn;inn
þriði;þriði
.;.
Allir;Allir
váru;voru
þeir;þeir
vaskir;vaskir
menn;menn
ok;og
góðir;góðir
drengir;drengir
ok;og
sterkir;sterkir
at;að
afli;afli
ok;og
fríðir;fríðir
sýnum;sýnum
.;.
Þar;Þar
eftir;eftir
fór;fór
þeira;þeirra
skaplyndi;skaplyndi
,;,
svá;svo
at;að
varla;varla
fundust;fundust
þeira;þeirra
líkar;líkar
.;.
En;En
þó;þó
var;var
Hjörleifr;Hjörleifur
fyrir;fyrir
þeim;þeim
í;í
mörgu;mörgu
.;.
Var;Var
eitt;eitt
til;til
marks;marks
um;um
afl;afl
Hjörleifs;Hjörleifs
,;,
at;að
engi;engi
oxi;uxi
var;var
sá;sá
fram;fram
leiddr;leiddur
,;,
at;að
eigi;eigi
hyggi;hyggi
hann;hann
af;af
höfuð;höfuð
með;með
annarri;annarri
hendi;hendi
,;,
—;—
en;en
af;af
tveimr;tveimur
,;,
ef;ef
hann;hann
hjó;hjó
með;með
báðum;báðum
höndum;höndum
