Maðr;Maður
þótti;þótti
Aroni;Aroni
mjök;mjög
í;í
móti;móti
skapi;skapi
,;,
at;að
verða;verða
heitrofi;heiturofi
um;um
svá;svo
stóra;stóra
hluti;hluti
,;,
en;en
jarl;jarl
hlaut;hlaut
þó;þó
at;að
ráða;ráða
við;við
alla;alla
þá;þá
,;,
sem;sem
hans;hans
eiðsvarar;eiðsvarar
váru;voru
.;.
Skilja;Skilja
þeir;þeir
við;við
þetta;þetta
tal;tal
sitt;sitt
.;.
Þetta;Þetta
sumar;sumar
fór;fór
Hjörleifr;Hjörleifur
til;til
Íslands;Íslands
,;,
ok;og
var;var
sú;sú
ferð;ferð
með;með
mörgum;mörgum
háska;háska
ok;og
fáheyrðum;fáheyrðum
atburðum;aðburðum
.;.
Ok;Og
í;í
þessi;þessi
ferð;ferð
lét;lét
hann;hann
líf;líf
sitt;sitt
ok;og
margir;margir
aðrir;aðrir
vaskir;vaskir
menn;menn
.;.
Segja;Segja
menn;menn
hann;hann
sprungit;sprungið
hafa;hafa
af;af
liðsemd;liðsemd
þeiri;þeirri
,;,
sem;sem
hann;hann
veitti;veitti
í;í
skipbrotinu;skipbrotinu
.;.
Nú;Nú
var;var
Aron;Aron
með;með
jarli;jarli
þessi;þessi
misseri;misseri
in;in
næstu;næstu
.;.
Hugsar;Hugsar
hann;hann
þá;þá
með;með
sér;sér
,;,
at;að
honum;honum
[;[
er;er
];]
nauðsyn;nauðsyn
at;að
taka;taka
eigi;eigi
aftr;aftur
heit;heit
sín;sín
við;við
guð;guð
,;,
en;en
þó;þó
sýndist;sýndist
flestum;flestum
óráðligt;óráðlegt
at;að
fara;fara
orlofslaust;orlofslaust
.;.
En;En
þó;þó
hættir;hættir
hann;hann
á;á
þat;það
ok;og
fær;fær
sér;sér
fylgdarmann;fylgdarmann
íslenzkan;íslenskan
,;,
er;er
Eyjólfr;Eyjólfur
hét;hét
.;.
Fara;Fara
þeir;þeir
nú;nú
í;í
brott;brott
.;.
Tókst;Tókst
þeim;þeim
vel;vel
ferðin;ferðin
,“;,“
en;en
þó;þó
var;var
hon;hún
háskasamlig;háskasamleg
sakir;sakir
ófriðar;ófriðar
ok;og
margra;margra
hluta;hluta
annarra;annarra
.;.
Urðu;Urðu
þeir;þeir
saman;saman
sextán;sextán
um;um
hríð;hríð
.;.
Kom;Kom
þá;þá
sótt;sótt
í;í
lið;lið
þeira;þeirra
,;,
ok;og
létust;létust
sumir;sumir
.;.
En;En
þeir;þeir
,;,
[;[
er;er
];]
eftir;eftir
lifðu;lifðu
,;,
léttu;léttu
eigi;eigi
,;,
fyrr;fyrr
en;en
þeir;þeir
kómu;komu
til;til
Jórsala;Jórsala
,;,
ok;og
könnuðu;könnuðu
þá;þá
staði;staði
,;,
sem;sem
þeir;þeir
vildu;vildu
.;.
Sneru;Sneru
síðan;síðan
aftr;aftur
á;á
leið;leið
,;,
ok;og
er;er
eigi;eigi
getit;getið
,;,
at;að
til;til
tíðenda;tíðenda
yrði;yrði
í;í
þeira;þeirra
ferð;ferð
.;.
Komst;Komst
Aron;Aron
aftr;aftur
til;til
Nóregs;Nóregs
ok;og
þeir;þeir
Eyjólfr;Eyjólfur
.;.
Hittu;Hittu
þeir;þeir
Hákon;Hákon
konung;konung
í;í
Vík;Vík
austr;austur
ok;og
gengu;gengu
fyrir;fyrir
hann;hann
ok;og
kvöddu;kvöddu
hann;hann
.;.
Konungr;Konungur
tók;tók
þeim;þeim
vel;vel
ok;og
bað;bað
þá;þá
hvíla;hvíla
sik;sig
ok;og
lét;lét
frétta;frétta
þá;þá
tíðenda;tíðinda
.;.
En;En
þeir;þeir
sögðu;sögðu
þau;þau
,;,
sem;sem
þeir;þeir
vissu;vissu
.;.
Einn;Einn
dag;dag
fréttir;fréttir
Aron;Aron
konunginn;konunginn
,;,
hvárt;hvárt
hann;hann
vildi;vildi
,;,
at;að
hann;hann
færi;færi
á;á
fund;fund
jarls;jarls
.;.
Konungr;Konungur
svarar;svarar
:;:
„;„
Þat;Það
vil;vil
ek;ek
,;,
at;að
þú;þú
haldir;haldir
eiða;eiða
þína;þína
við;við
jarl;jarl
,;,
ok;og
má;má
vera;vera
með;með
flutningi;flutningi
várum;várum
,;,
at;að
hann;hann
láti;láti
sér;sér
vel;vel
líka;líka
,;,
þar;þar
til;til
sem;sem
vér;vér
finnumst;finnumst
.“;.“
Óláfr;Ólafur
hét;hét
maðr;maður
ok;og
var;var
Þórðarson;Þórðarson
.;.
Hann;Hann
var;var
vinr;vinr
Arons;Arons
.;.
Hann;Hann
kvað;kvað
vísu;vísu
um;um
Aron;Aron
ok;og
útferð;útferð
hans;hans
:;:
Þetta;Þetta
sumar;sumar
fundust;fundust
þeir;þeir
konungr;konungur
ok;og
jarl;jarl
,;,
ok;og
þá;þá
konungr;konungur
veizlu;veislu
at;að
jarli;jarli
í;í
Þrándheimi;Þrándheimi
.;.
Ok;og
einn;einn
dag;dag
ræddi;ræddi
konungr;konungur
við;við
jarl;jarl
:;:
„;„
Vilið;Viljið
þér;þér
nú;nú
taka;taka
við;við
Aroni;Aroni
,;,
hirðmanni;hirðmanni
yðrum;ykkar
?;?
Ok;og
þykkir;þykir
mér;mér
þat;það
rúm;rúm
vel;vel
skipat;skipað
,;,
er;er
hann;hann
er;er
í;í
.;.
Vill;Vill
hann;hann
bæta;bæta
við;við
yðr;yður
þat;það
,;,
sem;sem
hann;hann
hefir;hefir
brotit;brotið
,;,
en;en
hann;hann
hefir;hefir
nú;nú
mikit;mikið
bætt;bætt
sál;sál
sína;sína
.“;.“
Jarl;Jarl
svarar;svarar
heldr;heldur
stutt;stutt
,;,
kvað;kvað
Aron;Aron
svá;svo
tafli;tafli
teflt;teflt
hafa;hafa
við;við
sik;sig
,;,
„;„
at;að
okkur;okkar
sambúð;sambúð
mun;mun
skömm;skömm
vera;vera
.“;.“
Konungr;Konungur
mælti;mælti
,;,
sagðist;sagðist
engan;engan
bænarstað;bænarstað
fara;fara
mundu;mundu
um;um
þann;þann
hlut;hlut
,;,
—;—
„;„
ok;og
kann;kann
vera;vera
,;,
at;að
Aroni;Aroni
verði;verði
at;að
þessu;þessu
lítit;lítið
gjald;gjald
.“;.“
Konungi;Konungi
fannst;fannst
fátt;fátt
um;um
.;.
Eftir;Eftir
þetta;þetta
tók;tók
konungr;konungur
Aron;Aron
á;á
sitt;sitt
vald;vald
ok;og
gerði;gerði
hann;hann
hirðmann;hirðmann
sinn;sinn
.;.
Ok;og
var;var
Aron;Aron
með;með
honum;honum
nær;nær
þrjá;þrjá
tigu;tugi
vetra;vetur
.;.
