Nu;Nú
hugðu;hugðu
menn;menn
,;,
at;að
hón;hún
mundi;myndi
öllum;öllum
meyjum;meyjum
ok;og
konum;konum
tryggvari;tryggari
,;,
er;er
í;í
váru;voru
konungs;konungs
hirð;hirð
.;.
‘;„
Þat;Það
veit;veit
trú;trú
mín;mín
’;“
kvad;kvað
Kæi;Kæi
ræðismaðr;ræðismaður
‘;„
lof;lof
sè;sé
guði;guði
!;!
eigi;eigi
mun;mun
ek;ég
einn;einn
svívirðr;svívirtur
í;í
dag;dag
fyrir;fyrir
sakir;sakir
minnar;minnar
unnostu;unnustu
";";";"
því;því
at;að
þat;það
,;,
sem;sem
ek;ég
sè;sé
nú;nú
undir;undir
skikkjunni;skikkjunni
,;,
kann;kann
ek;ég
vel;vel
skilja;skilja
hvat;hvað
merkir;merkir
.;.
Þessi;Þessi
mær;mær
hin;hin
fríða;fríða
’;“
sagði;sagði
Kæi;Kæi
‘;„
hefir;hefur
upp;upp
lypt;lyft
sínum;sínum
hœgra;hægri
fœti;fæti
";";";"
enn;en
hinum;hinum
vinstra;vinstra
hefir;hefur
hón;hún
kyrr;kyrr
legit;legið
,;,
meðan;meðan
hón;hún
leyfði;leyfði
þat;það
,;,
er;er
hón;hún
vildi;vildi
,;,
þeim;þeim
er;er
henni;henni
líkaði;líkaði
.;.
’;“
Enn;En
herra;herra
Valven;VAlven
fyrir;fyrir
þótti;þótti
,;,
er;er
svá;svo
berliga;berlega
birtist;birtist
glœpr;glæpur
unnostu;unnustu
hans;hans
";";";"
enn;en
ekki;ekki
hafði;hafði
hann;hann
um;um
þat;það
.;.
Þá;Þá
mælti;mælti
Kæi;Kæi
til;til
hennar;hennar
‘;„
far;far
hingat;hingað
hin;hin
fríða;fríða
’;“
sagði;sagði
hann;hann
‘;„
ek;ég
skal;skal
leiða;leiða
þik;þig
til;til
sætis;sætis
hjá;hjá
unnostu;unnustu
minni;minni
";";";"
því;því
at;að
engar;engar
eru;eru
likari;líkari
mökur;mökur
,;,
enn;en
þit;þið
eruð;eruð
.;.
’;“
Enn;En
þá;þá
tok;tók
konungr;konungur
í;í
hönd;hönd
(;(
dóttur;dóttur
);)
Uriens;Uriens
konungs;konungs
,;,
er;er
var;var
ein;ein
hin;hin
fríðasta;fríðasta
mær;mær
.;.
Enn;En
konungr;konungur
,;,
faðir;faðir
hennar;hennar
,;,
var;var
hinn;hinn
ríkasti;ríkasti
ok;og
fór;fór
mjök;mjög
með;með
hundaveiði;hundaveiði
ok;og
hauka;hauka
.;.
‘;„
Þú;Þú
hin;hin
fríða;fríða
’;“
kvad;kvað
hinn;hinn
mildi;mildi
konungr;konungur
Artus;Artúr
‘;„
þèr;þér
dœmist;dæmist
raunar;raunar
með;með
rèttu;réttu
þessi;þessi
skikkja;skikkja
";";";"
því;því
at;að
engi;enginn
finnr;finnur
sakir;sakir
á;á
þèr;þér
.;.
’;“
‘;„
Herra;Herra
’;“
kvað;hvað
Geres;Geres
hinn;hinn
litli;litli
‘;„
mælið;mælið
eigi;eigi
mikit;mikið
um;um
,;,
fyrr;fyrr
enn;en
þèr;þér
hafið;hafði
með;með
fullu;fullu
sèt;séð
,;,
hversu;hversu
henni;henni
ferr;fer
skikkjan;skikkjan
.;.
’;“
Nú;Nú
vissi;vissi
mærin;mærin
þegar;þegar
,;,
at;að
ekki;ekki
mundi;mundi
tjá;tjá
í;í
móti;móti
at;að
mæla;mæla
því;því
er;er
konungr;konungur
hafði;hafði
boðit;boðið
,;,
ok;og
fyrir;fyrir
því;því
tók;tók
hón;hún
þegar;þegar
við;við
möttlinum;möttlinum
.;.
Enn;En
þegar;þegar
hón;hún
var;var
klædd;klædd
hánum;honum
,;,
varð;varð
henni;henni
svá;svo
síðr;síður
hinum;hinum
hœgra;hægra
megin;megin
,;,
at;að
hálfrar;hálfrar
annarrar;annarrar
stoð;stóð
á;á
jörð;jörð
um;um
hana;hana
";";";"
enn;en
hinum;hinum
vinstra;vinstra
megin;megin
hljóp;hljóp
öll;öll
upp;upp
um;um
knè;hné
henni;henni
.;.
‘;„
Herra;Herra
’;“
kvad;kvað
Geres;Geres
hinn;hinn
litli;litli
‘;„
heimskr;heimskur
er;er
sá;sá
,;,
er;er
nökkurri;nokkurri
trúir;trúir
";";";"
því;því
at;að
allar;allar
blekkja;blekkja
sína;sína
unnasta;unnusta
,;,
ok;og
alls;alls
engi;engin
er;er
örugg;örugg
-;-
enn;en
þær;þær
eru;eru
sízt;síst
tryggvar;tryggar
,;,
er;er
fegrst;fegurstar
láta;láta
ok;og
mæla;mæla
,;,
ok;og
þar;þar
koma;koma
svik;svik
fram;fram
,;,
er;er
sízt;síst
varir;varir
.;.
Engi;Engin
dugir;dugir
,;,
ef;ef
freistat;freistast
er;er
.;.
Allar;Allar
falsast;falsast
sínum;sínum
bónda;bónda
ok;og
vilja;vilja
þann;þann
,;,
er;er
nýr;nýr
er;er
,;,
þegar;þegar
sá;sá
leiðist;leiðist
,;,
er;er
forn;forn
er;er
.;.
Svá;Svo
er;er
lystug;lystugt
þeirra;þeirra
forvitni;forvitni
,;,
at;að
engi;enginn
má;má
trúa;trúa
verkum;verkum
þeirra;þeirra
.;.
Enn;En
nú;nú
vil;vil
ek;ég
segja;segja
þat;það
,;,
er;er
mèr;mér
finnst;finnst
,;,
um;um
athæfi;athæfi
hennar;hennar
,;,
meyjarinnar;meyjarinnar
,;,
opinberliga;opinberlega
.;.
Skikkjan;Skikkjan
er;er
henni;henni
svá;svo
sið;síð
hinum;hinum
hœgra;hægta
megin;megin
-;-
þá;þá
sýnist;sýnist
oss;oss
þat;það
,;,
at;að
hon;hún
lætr;lætur
gjarna;gjarnan
fallast;fallast
á;á
þa;þá
síðu;síðu
með;með
góðum;góðum
vilja;vilja
sínum;sínum
";";";"
enn;en
vinstra;vinstra
megin;megin
,;,
þar;þar
sem;sem
möttullinn;möttullinn
er;er
upp;upp
hlaupinn;hlaupinn
-;-
sýnir;sýnir
oss;oss
,;,
at;að
hón;hún
angrast;angrast
eigi;eigi
við;við
,;,
þó;þó
at;að
þar;þar
sè;sé
upp;upp
tekin;tekin
klæði;klæði
hennar;hennar
.;.
’;“
Enn;En
þá;þá
reiddist;reiddist
mærin;mærin
svá;svo
mjök;mjög
,;,
at;að
hón;hún
vissi;vissi
eigi;eigi
,;,
hvat;hvað
hón;hún
skyldi;skyldi
mæla;mæla
,;,
ok;og
tók;tók
í;í
skikkjuböndin;skikkjuböndin
ok;og
kastaði;kastaði
langt;langt
frá;frá
sèr;sér
ok;og
bölvaði;bölvaði
optliga;oftlega
þeim;þeim
,;,
sem;sem
þangat;þangað
hafði;hafði
flutt;flutt
.;.
Þá;Þá
mælti;mælti
Kæi;Kæi
ræðismaðr;ræðismaður
‘;„
reiðst;reiðist
eigi;eigi
,;“
hin;hin
fríða;fríða
mær;mær
-;-
ok;og
þú;þú
skált;skalt
sitja;sitja
hjá;hjá
unnostu;unnustu
minni;minni
.;.
Þèr;Þér
þrjár;þrjár
eruð;eruð
jafnar;jafnar
í;í
þessarri;þessari
grein;grein
,;,
ok;og
engi;engin
yður;yður
á;á
annarri;annarri
at;að
ámæla;ámæla
.;.
’;
