Dóttir;Dóttir
þeira;þeirra
systkina;systkina
.;.
Hallgerði;Hallgerði
,;,
systur;systur
Snorra;Snorra
,;,
hana;hana
átti;átti
Þórðr;Þórður
undir;undir
Felli;Felli
.;.
Hon;Hún
var;var
móðir;móðir
Snorra;Snorra
ok;ok
Guðmundar;Guðmundar
ok;og
Yngvildar;Yngvildar
,;,
móður;móður
Pétrs;Pétrs
í;í
Skógarnesi;Skógarnesi
Snorrasonar;Snorrasonar
.;.
Björn;Björn
,;,
sonr;sonur
Ketils;Ketils
flatnefs;flatnefs
,;,
var;var
faðir;faðir
Kjallaks;Kjallaks
,;,
föður;föður
Þorgríms;Þorgríms
,;,
föður;föður
Vermundar;Vermundar
,;,
föður;föður
Yngvildar;Yngvildar
,;,
móður;móður
Þorgerðar;Þorgerðar
,;,
móður;móður
Yngvildar;Yngvildar
,;,
móður;móður
Snorra;Snorra
Húnbogasonar;Húnbogasonar
,;,
Þorgilssonar;Þorgilssonar
.;.
Dálkr;Dálkur
var;var
bróðir;bróðir
Þorgils;Þorgils
Hafliðasonar;Hafliðasonar
.;.
Hann;Hann
var;var
faðir;faðir
Bersa;Bersa
,;,
föður;föður
Dálks;Dálks
,;,
föður;föður
Halldórs;Halldórs
prests;prests
í;í
Saurbæ;Saurbæ
,;,
föður;föður
Þorsteins;Þorsteins
,;,
er;er
átti;átti
Ingigerði;Ingigerði
Filippusdóttur;Filippusdóttur
,;,
Sæmundarsonar;Sæmundarsonar
.;.
Þeira;Þeirra
dóttir;dóttir
var;var
Guðrún;Guðrún
,;,
er;er
Benedikt;Benedikt
átti;átti
fyrr;fyrr
,;,
en;en
síðar;síðar
herra;herra
Kolbeinn;Kolbeinn
Auðkýlingr;Auðkýlingur
.;.
Hallbera;Hallbera
abbadís;abbadís
var;var
önnur;önnur
dóttir;dóttir
Þorsteins;Þorsteins
bónda;bónda
ok;og
Ingigerðar;Ingigerðar
.;.
