Þess;Þess
at;að
.;.
Þá;Þá
stendr;stendur
Bragi;Bragi
skáld;skáld
upp;upp
ok;og
gengr;gengur
at;að
,;,
þar;þar
er;er
dróttning;dróttning
lá;lá
á;á
pallinum;pallinum
,;,
ok;og
styðr;styður
á;á
hana;hana
reyrsprotanum;reyrsprotanum
ok;og
kvað;kvað
vísu;vísu
þessa;þessa
:;:
Dróttning;Drottning
stendr;stendur
nú;nú
upp;upp
ok;og
gengr;gengur
í;í
brott;brott
með;með
sveinana;sveinana
ok;og
skiptir;skiptir
nú;nú
aftr;aftur
við;við
ambáttina;ambáttina
í;í
annat;annað
sinn;sinn
.;.
Sýnist;Sýnist
dróttningu;drottningu
nú;nú
sem;sem
er;er
,;,
at;að
þeir;þeir
gerðust;gerðust
nú;nú
mannvænligir;mannvænligir
,;,
sem;sem
glíkendi;líkindi
er;er
á;á
ok;og
þeir;þeir
áttu;áttu
tilbrigði;tilbrigði
.;.
Um;Um
kveldit;kveldið
,;,
er;er
konungr;konungur
kom;kom
heim;heim
ok;og
hafði;hafði
setzt;sest
í;í
hásæti;hásæti
sitt;sitt
,;,
þá;þá
gengr;gengur
dróttning;dróttning
fyrir;fyrir
konunginn;konunginn
ok;og
leiðir;leiðir
sveinana;sveinana
með;með
sér;sér
ok;og
segir;segir
konungi;konungi
allt;allt
,;,
sem;sem
við;við
nemr;nemur
ok;ok
hverju;hverju
hon;hún
hafði;hafði
keypt;keypt
við;við
ambáttina;ambáttina
,;,
ok;og
biðr;biður
konung;konung
hrinda;hrinda
af;af
sér;sér
reiði;reiði
.;.
Konungr;Konungur
leit;leit
á;á
sveinana;sveinana
ok;og
mælti;mælti
síðan;síðan
:;:
vísu;vísu
ætla;ætla
ek;ég
,;,
at;að
þessir;þessir
sveinar;sveinar
sé;sé
minnar;minnar
ættar;ættar
,;,
en;en
þó;þó
hefi;hefi
ek;ég
eigi;eigi
sét;sét
slík;slík
heljarskinn;heljarskinn
fyrr;fyrr
sem;sem
sveinar;sveinar
þessir;þessir
eru;eru
".""";"."""
Ok;Og
af;af
því;því
váru;váru
þeir;þeir
síðan;síðan
heljarskinn;heljarskinn
kallaðir;kallaðir
.;.
Ok;Og
þegar;þegar
er;er
þeir;þeir
váru;voru
frumvaxta;frumvaxta
,;,
fóru;fóru
þeir;þeir
ór;úr
landi;landi
at;at
herja;herja
ok;og
öfluðu;öfluðu
brátt;brátt
bæði;bæði
fjár;fjár
ok;og
frægðar;frægðar
ok;og
stýrðu;stýrðu
lengi;lengi
miklum;miklum
skipastóli;skipastóli
,;,
at;að
því;því
sem;sem
segir;segir
í;í
sumum;sumum
frásögnum;frásögnum
ok;og
nökkut;nokkuð
vísar;vísar
til;til
í;í
inum;inum
efra;efra
hlut;hlut
sögu;sögu
Hróks;Hróks
ins;hins
svarta;svarta
,;,
er;er
þeir;þeir
bræðr;bræður
váru;voru
þar;þar
kallaðir;kallaðir
mestir;mestir
hermenn;hermenn
af;af
sækonungum;sækonungum
í;í
þann;þann
tíma;tíma
.;.
