Maðr;Maður
var;var
þetta;þetta
kveðit;kveðið
:;:
Um;Um
vetrinn;veturinn
eftir;eftir
jól;jól
fór;fór
Loftr;Loftur
vestr;vestur
á;á
Mýrar;Mýrar
at;að
ráði;ráði
Sighvats;Sighvats
Sturlusonar;Sturlusonar
ok;og
Eyjólfs;Eyjólfs
,;,
mágs;mágs
síns;síns
.;.
Ok;Og
er;er
Þorvaldr;Þorvaldr
frá;frá
þat;það
,;,
fór;fór
hann;hann
á;á
Mýrar;Mýrar
við;við
fjölmenni;fjölmenni
.;.
Vinir;Vinir
Lofts;Lofts
spurðu;spurðu
til;til
ferða;ferða
Þorvalds;Þorvalds
ok;og
söfnuðu;söfnuðu
liði;liði
ok;og
kómu;komu
á;á
Mýrar;Mýrar
,;,
er;er
Þorvaldr;Þorvaldur
var;var
nýkominn;nýkominn
,;,
ok;og
leituðu;leituðu
um;um
sættir;sættir
.;.
Ok;Og
er;er
Þorvaldr;Þorvaldur
sá;sá
,;,
at;að
Loftr;Loftur
hafði;hafði
þar;þar
fleiri;fleiri
fulltingsmenn;fulltingsmenn
en;en
hann;hann
,;,
þá;þá
sættist;sættist
hann;hann
við;við
Loft;Loft
ok;og
fór;fór
í;í
brott;brott
síðan;síðan
.;.
Ok;Og
er;er
Þorvaldr;Þorvaldr
var;var
í;í
brott;brott
farinn;farinn
,;,
treystist;treystist
Loftr;Loftur
eigi;eigi
at;að
vera;vera
á;á
Mýrum;Mýrum
.;.
Fór;Fór
hann;hann
þá;þá
til;til
Hrafns;Hrafns
á;á
Eyri;Eyri
ok;og
kvað;kvað
Sighvat;Sighvat
hafa;hafa
orð;orð
til;til
sent;sent
ásjá;ásjá
við;við
sik;sig
.;.
En;En
þá;þá
var;var
Sighvatr;Sighvatur
kallaðr;kallaður
vinr;vinur
Hrafns;Hrafns
.;.
Tekr;Tekur
Hrafn;Hrafn
nú;nú
við;við
Lofti;Lofti
.;.
Þetta;Þetta
líkar;líkar
Þorvaldi;Þorvaldi
illa;illa
.;.
Eftir;Eftir
þat;það
sendir;sendir
Þorvaldr;Þorvaldur
Hrafni;Hrafni
orð;orð
,;,
at;að
hann;hann
skyldi;skyldi
koma;koma
til;til
fundar;fundar
við;við
hann;hann
í;í
Dýrafjörð;Dýrafjörð
á;á
þann;þann
bæ;bæ
,;,
er;er
á;á
Granda;Granda
heitir;heitir
.;.
Þar;Þar
kom;kom
Hrafn;Hrafn
við;við
þriðja;þriðja
mann;mann
fyrr;fyrr
en;en
Þorvaldr;Þorvaldur
ok;og
beið;beið
hans;hans
inni;inni
.;.
Þorvaldr;Þorvaldur
kom;kom
við;við
marga;marga
menn;menn
ok;og
bað;bað
Hrafn;Hrafn
út;út
ganga;ganga
.;.
Ok;Og
er;er
Hrafn;Hrafn
gekk;gekk
út;út
ok;og
hans;hans
förunautar;förunautar
,;,
Tómas;Tómas
Ragnheiðarson;Ragnheiðarson
ok;og
Sturla;Sturla
Bárðarson;Bárðarson
,;,
þá;þá
höfðu;höfðu
menn;menn
Þorvalds;Þorvalds
skipazt;skipast
fyrir;fyrir
durunum;dyrunum
,;,
en;en
Þorvaldr;Þorvaldur
stóð;stóð
stund;stund
frá;frá
durunum;dyrunum
ok;og
hafði;hafði
brugðit;brugðið
sverð;sverð
á;á
miðjar;miðjar
slíðrir;slíðrir
.;.
En;En
þeir;þeir
Hrafn;Hrafn
gengu;gengu
eftir;eftir
kvínni;kvínni
at;að
Þorvaldi;Þorvaldi
,;,
ok;og
heilsaði;heilsaði
Hrafn;Hrafn
Þorvaldi;Þorvaldi
ok;og
minntist;minntist
til;til
hans;hans
,;,
en;en
Þorvaldr;Þorvaldr
tók;tók
kveðju;kveðju
hans;hans
.;.
Þorvaldi;Þorvaldi
varð;varð
ekki;ekki
at;að
orðum;orðum
við;við
Hrafn;Hrafn
,;,
ok;og
þótti;þótti
honum;honum
þat;það
undarligt;undarlegt
,;,
ok;og
eigi;eigi
sá;sá
hann;hann
erendi;erindi
við;við
sik;sig
í;í
þat;það
sinn;sinn
.;.
Loftr;Loftur
keypti;keypti
síðan;síðan
bæ;bæ
þann;þann
á;á
Rauðasandi;Rauðasandi
,;,
er;er
at;að
Stökkum;Stökkum
heitir;heitir
,;,
ok;og
gerði;gerði
þar;þar
bú;bú
.;.
Víga;Víga
-;-
Hauki;Hauki
ok;og
Hallbera;Hallbera
,;,
kona;kona
hans;hans
,;,
fóru;fóru
brott;brott
af;af
landi;landi
,;,
fyrst;fyrst
til;til
Nóregs;Noregs
ok;og
þaðan;þaðan
til;til
Grænlands;Grænlands
.;.
Ok;Og
þótti;þótti
hann;hann
mikill;mikill
maðr;maður
fyrir;fyrir
sér;sér
,;,
hvargi;hvargi
er;er
hann;hann
kom;kom
.;.
Magnús;Magnús
Markússon;Markússon
fór;fór
ok;og
til;til
Grænlands;Grænlands
,;,
ok;og
kom;kom
ekki;ekki
þeira;þeirra
aftr;aftur
síðan;síðan
.;.
Guðmundr;Guðmundur
hét;hét
maðr;maður
ok;og
var;var
Hallsson;Hallsson
.;.
Hann;Hann
var;var
einhleypingr;einhleypingr
ok;og
hávaðamaðr;hávaðamaðr
.;.
Hann;Hann
gerðist;gerðist
fylgdarmaðr;fylgdarmaður
Gísla;Gísla
Markússonar;Markússonar
.;.
Galti;Galti
hét;hét
vinr;vinur
Lofts;Lofts
.;.
Hann;Hann
átti;átti
hest;hest
góðan;góðan
.;.
Þann;Þann
föluðu;föluðu
þeir;þeir
Gísli;Gísli
ok;ok
Guðmundr;Guðmundur
.;.
En;En
hann;hann
vildi;vildi
eigi;eigi
þeim;þeim
selja;selja
ok;og
gaf;gaf
Lofti;Lofti
.;.
En;En
er;er
Guðmundr;Guðmundur
vissi;vissi
þat;það
,;,
ætlaði;ætlaði
hann;hann
at;að
taka;taka
brott;brott
hestinn;hestinn
.;.
Loftr;Loftur
sá;sá
,;,
at;að
Guðmundr;Guðmundur
tók;tók
hestinn;hestinn
hjá;hjá
garði;garði
,;,
ok;og
fór;fór
eftir;eftir
honum;honum
við;við
fjórða;fjórða
mann;mann
.;.
Þeir;Þeir
Loftr;Loftur
vágu;vógu
Guðmund;Guðmund
.;.
Þat;Það
vígsmál;vígsmál
var;var
lagt;lagt
undir;undir
Sighvat;Sighvat
Sturluson;Sturluson
.;.
En;En
hann;hann
gerði;gerði
fyrir;fyrir
víg;víg
Guðmundar;Guðmundar
Loft;Loft
í;í
brott;brott
ór;úr
Vestfirðingafjórðungi;Vestfirðingafjórðungi
ok;og
förunauta;förunauta
hans;hans
,;,
þá;þá
er;er
at;að
höfðu;höfðu
farit;farið
með;með
honum;honum
,;,
ok;og
þar;þar
með;með
mikil;mikil
fégjöld;fégjöld
.;.
Fór;Fór
Loftr;Loftur
þá;þá
í;í
brott;brott
ór;úr
Vestfjörðum;Vestfjörðum
ok;og
suðr;suður
um;um
land;land
til;til
Eyjólfs;Eyjólfs
,;,
mágs;mágs
síns;síns
,;,
ok;og
var;var
lengi;lengi
síðan;síðan
undir;undir
trausti;trausti
