Þat;Það
uar;var
grauara;grávara
ok;og
safuali;safali
ok;og
allzskonar;allskonar
skinnauara;skinnavara
ok;og
snua;snúa
til;til
bæiar;bæjar
Kallzefnis;Karlsefi
ok;og
uilldu;vildi
þar;þar
inn;inn
j;í
husin;húsin
en;en
Kallzefni;Karlsefni
let;lét
ueria;verja
dyrnnar;dyrnar
.;.
huorigir;hvorugir
skildu;skildu
annars;annars
mal;mál
.;.
Þa;Þá
toku;tóku
Skrælingiar;Skrælingjar
ofan;ofan
bagga;bagga
sina;sína
ok;og
leystu;leystu
ok;og
budu;buðu
þeim;þeim
ok;og
uilldu;vildu
uopn;vopn
hellzst;helst
firir;fyrir
en;en
Kallzefni;Karlsefni
bannade;bannaði
þeim;þeim
at;að
selia;selja
uopnin;vopnin
ok;og
nu;nú
læitar;leitar
hann;hann
rads;ráðs
med;með
þeim;þeim
hætti;hætti
at;að
hann;hann
bad;bað
konur;konur
bera;bera
vt;út
bunyt;búnyt
at;að
þeim;þeim
ok;og
þegar;þegar
er;er
þeir;þeir
sa;sjá
bunyt;búnyt
þa;þá
villdu;vildu
þeir;þeir
kaupa;kaupa
þat;það
en;en
ekki;ekki
annat;annað
.;.
nu;nú
uar;var
su;sú
kaupfỏr;kaupför
Skrælingia;Skrælingja
at;að
þeir;þeir
baru;báru
sinn;sinn
varning;varning
j;í
brott;brott
j;í
mỏgum;mögum
sinum;sínum
en;en
Kallzefni;Karlsefni
ok;og
forunautar;förunautar
hans;hans
hỏfdu;höfðu
eftir;eftir
bagga;bagga
þeirra;þeirra
ok;og
skinnauỏru;skinnavöru
.;.
foru;fóru
þeir;þeir
vid;við
suobuit;svobúið
j;í
burt;burt
.;.
Nu;Nú
er;er
fra;frá
þui;því
at;að
segia;segja
at;að
Kallzefni;Karlsefni
lętr;lætur
gera;gera
skidgard;skíðagarð
ramligann;rammlegan
vm;um
bę;bæ
sinn;sinn
ok;og
biugguzst;bjuggust
þar;þar
vm;um
.;.
J;Í
þann;þann
tima;tíma
fædde;fæddi
Gudridr;Guðríður
sueinbarnn;sveinbarn
kona;kona
Kallzefnis;Karlsefnis
ok;og
het;hét
sa;sá
sueinn;svein
Snorre;Snorri
.;.
A;Á
aunduerdum;öndverðum
odrum;öðrum
uetri;vetri
þa;þá
kuomu;komu
Skrælingiar;Skrælingjar
til;til
motz;móts
vid;við
þa;þá
ok;og
voru;voru
myklu;miklu
fleire;fleiri
en;en
fyrr;fyrr
ok;og
hofdu;höfðu
slikan;slíkan
varnnat;varnað
sem;sem
fyrr;fyrr
.;.
þa;þá
mællti;mælti
Karlzefni;Karlsefni
vid;við
konur;konur
.;.
nu;nú
skulu;skuluð
þer;þér
bera;bera
vt;út
slikan;slíkan
mat;mat
sem;sem
fyrr;fyrr
uar;var
rifazstr;rífastur
en;en
ekki;ekki
annat;annað
.;.
Ok;Og
er;er
þeir;þeir
sa;sjá
þat;það
þa;þá
kostudu;köstuðu
þeir;þeir
boggunum;böggunum
sinum;sínum
inn;inn
yfir;yfir
skidgardinn;skíðgarðinn
en;en
Gudridr;Guðríður
sat;sat
j;í
dyrum;dyrum
inne;inni
med;með
uỏggu;vöggu
Snorra;Snorra
sonar;sonar
sins;síns
.;.
þa;þar
bar;bar
skugga;skugga
j;í
dyrrin;dyrnar
ok;og
gek;gekk
þar;þar
inn;inn
kona;kona
j;í
suortum;svörtum
namkyrtli;námkyrtli
helldr;heldur
lag;lág
ok;og
hafde;hafði
dregil;dregil
um;um
hofut;höfuð
ok;og
liosiỏrp;ljósjörp
a;á
har;hár
folleit;fölleit
ok;og
miog;mjög
eygd;eygð
suo;svo
at;að
æigi;eigi
hafde;hafði
iafnnmikil;jafnmikil
augu;augu
set;séð
j;í
einum;einum
mannzhause;mannshausi
.;.
hon;hún
gek;gekk
þar;þar
at;að
er;er
Gudridr;Guðríður
sat;sat
ok;og
mællti;mælti
.;.
huat;hvað
hæitir;heitir
þu;þú
segir;segir
hon;hún
.;.
Ek;Ég
hæiti;heiti
Gudridr;Guðríður
edr;eður
huert;hvert
er;er
þitt;þitt
hæiti;heiti
.;.
Ek;Ég
hæiti;heiti
Gudridr;Guðríður
segir;segir
hon;hún
.;.
þa;þá
retti;rétti
Gudridr;Guðríður
husfreyia;húsfreyja
hond;hönd
sina;sína
til;til
hennar;hennar
at;að
hon;hún
sæti;sæti
hia;hjá
henni;henni
en;en
þat;það
bar;bar
allt;allt
saman;saman
at;að
þa;þá
heyrde;heyrði
Gudridr;Guðríður
brest;brest
mikinn;mikinn
ok;og
uar;var
þa;þá
konan;konan
horfin;horfin
ok;og
j;í
þui;því
var;var
ok;og
ueginn;veginn
æinn;einn
Skrælingi;Skrælingi
af;af
æinum;einum
huskalle;húskarli
Kallzefnis;Karlsefnis
þuiat;því að
hann;hann
hafde;hafði
uiliat;viljað
taka;taka
uopnn;vopn
þeirra;þeirra
.;.
ok;og
foru;fóru
nu;nú
j;í
brott;brott
sem;sem
tidazst;tíðast
en;en
klæde;klæði
þeirra;þeirra
lagu;lágu
þar;þar
eftir;eftir
ok;og
varningr;varningur
.;.
æinge;enginn
madr;maður
hafde;hafði
konu;konu
þessa;þessa
set;séð
utan;utan
Gudridr;Guðríður
æin;ein
.;.
Nu;Nú
munum;munum
ver;vér
þurfa;þurfa
til;til
rada;ráða
at;að
taka;taka
segir;segir
Kallzefni;Karlsefni
þuiat;því að
ek;ég
hygg;hygg
at;að
þeir;þeir
mune;muni
vilia;vilja
uor;vor
hit;hið
þridea;þriðja
sinne;sinni
med;með
vfride;ófriði
ok;og
fiolmenni;fjölmenni
.;.
nu;nú
skulum;skulum
ver;vér
taka;taka
þat;það
rad;ráð
at;að
x;tíu
menn;men
fari;fari
fram;fram
a;á
nes;nes
þetta;þetta
ok;og
syne;sýni
sig;sig
þar;þar
en;en
annat;annað
lid;lið
uort;vort
skal;skal
fara;fara
j;í
skog;skóg
ok;og
hoggua;höggva
þar;þar
riodr;rjóður
firir;fyrir
nautfe;nautfé
voru;voru
þa;þá
er;er
lidit;liðið
kemr;kemur
fram;fram
ór;úr
skoginum;skóginum
.;.
uer;vér
skulum;skulum
ok;og
taka;taka
gridung;griðung
uornn;vorn
ok;og
lata;láta
hann;hann
fara;fara
firir;fyrir
oss;oss
.;.
En;En
þar;þar
var;var
suo;svo
hattat;háttað
er;er
fundr;fundur
þeirra;þeirra
uar;var
ætladr;ætlaður
at;að
uatn;vatn
uar;var
audru;öðru
megin;megin
en;en
skogr;skógur
a;á
annan;annan
ueg;veg
.;.
Nu;Nú
uoru;voru
þessi;þessi
rad;ráð
hofd;höfð
er;er
Kallzefni;Karlsefni
lagde;lagði
til;til
.;.
Nu;Nú
komu;komu
Skrælingiar;Skrælingjar
j;í
þann;þann
stad;stað
er;er
Kallzefni;Karlsefni
hafde;hafði
ætlad;ætlað
til;til
bardaga;bardaga
.;.
nu;nú
uar;var
þar;þar
bardage;bardagi
ok;og
fell;féll
fiollde;fjöldi
af;af
lide;liði
Skrælingia;Skrælingja
.;.
einn;einn
madr;maður
uar;var
mikill;mikill
ok;og
uænn;vænn
j;í
lide;líði
Skrælingia;Skrælingja
ok;og
þotti;þótti
Kallzefni;Karlsefni
sem;sem
hann;hann
munde;mundi
vera;vera
hỏfdinge;höfðingi
þeirra;þeirra
.;.
nu;nú
hafde;hafði
æinn;einn
þeirra;þeirra
Skrælingia;Skrælingja
tekit;tekið
upp;upp
ỏxi;öxi
eina;eina
ok;og
leit;leit
a;á
um;um
stund;stund
ok;og
reidde;reiddi
at;að
felaga;félaga
sinum;sínum
ok;og
hio;hjá
til;til
hans;hans
.;.
sa;sá
fell;féll
þegar;þegar
daudr;dauður
.;.
þa;þá
tok;tók
sa;sá
hinn;hinn
mykle;mikli
madr;maður
vit;við
ỏxinne;öxinni
ok;og
leit;leit
a;á
vm;um
stund;stund
ok;og
uarp;varp
henni;henni
sidan;síðan
a;á
sioinn;sjóinn
sem;sem
leingst;lengst
matti;mátti
hann;hann
.;.
en;en
sidan;síðan
flyia;flýja
þeir;þeir
a;á
skoginn;skóginn
suo;svo
huerr;hver
sem;sem
fara;fara
matti;mátti
ok;og
lykr;lýkur
þar;þar
nu;nú
þeirra;þeirra
vidskiftum;viðskiptum
.;.
Voru;Voru
þeir;þeir
Kallzefni;Karlsefni
þar;þar
þann;þann
uetr;vetur
allan;allan
.;.
en;en
at;að
vore;vori
þa;þá
lyser;lýsir
Kallzefni;Karlsefni
at;að
hann;hann
uill;vill
eigi;eigi
þar;þar
vera;vera
læingr;lengur
ok;og
vill;vill
fara;fara
til;til
Grænlandz;Grænlands
.;.
nu;nú
bua;búa
þeir;þeir
ferd;ferð
sina;sína
ok;og
hofdu;höfðu
þadan;þaðan
morg;mörg
gæde;gæði
j;í
vinuide;víviði
ok;og
berium;berjum
ok;og
skinnavoru;skinnavöru
.;.
nu;nú
sigla;sigla
þeir;þeir
j;í
haf;haf
ok;og
kuomu;komu
til;til
Æireksfiardar;Eiríksfjarðar
skipe;skipi
sinu;sínu
heilu;heilu
ok;og
voru;voru
þar;þar
vm;um
uetrinn;veturinn
.;
