Þat;Það
þeir;þeir
foru;fóru
ok;og
osæbratt;ósæbratt
.;.
Þa;Þá
mællti;mælti
Leifr;Leifur
.;.
af;af
kostum;kostum
skal;skal
þessu;essu
lande;landi
nafnn;nafn
gefa;gefa
ok;og
kalla;kalla
Markland;Markland
.;.
foru;fóru
sidan;síðan
ofan;ofan
aftr;aftur
til;til
skips;skips
sem;sem
fliotazst;fljótast
.;.
Nu;Nú
sigla;sigla
þeir;þeir
þadan;þaðan
j;í
haf;haf
landnyrdings;landnyrðings
uedr;veður
ok;og
uoru;voru
vti;úti
ij;tvö
dęgr;dægur
adr;áður
þeir;þeir
sa;sjá
land;land
ok;og
sigldu;sigldu
at;að
lande;landi
ok;og
komu;komu
at;að
ey;ey
einne;einni
er;er
la;lá
nordr;norður
af;af
landinu;landinu
ok;og
geingu;gengu
þar;þar
upp;upp
ok;og
sazst;sjást
vm;um
j;í
godu;góðu
uedri;veðri
ok;og
fundu;fundu
þat;það
at;að
dỏgg;dögg
uar;var
a;á
grasinu;grasinu
ok;og
uard;varð
þeim;þeim
þat;það
firir;fyrir
at;að
þeir;þeir
toku;tóku
hondum;höndum
sinum;sínum
j;í
dỏggina;döggina
ok;og
brugdu;brugðu
j;í
munn;munn
ser;sér
ok;og
þottuzst;þóttust
ekki;ekki
iafnnsætt;jafn sætt
kent;kennt
hafua;hafa
sem;sem
þat;það
var;var
.;.
sidan;síðan
foru;fóru
þeir;þeir
til;til
skips;skips
sins;síns
ok;og
sigldu;sigldu
j;í
sund;sund
þat;það
er;er
la;lá
mille;milli
eyiarinnar;eyjarinnar
ok;og
ness;ness
þess;þess
er;er
nordr;norður
gek;gekk
af;af
landinu;landinu
.;.
stefndu;stefndu
j;í
uestrætt;vesturátt
firir;fyrir
nesit;nesið
.;.
þar;þar
uar;var
grunnsæfui;grunnsævi
mikit;mikið
at;að
fioru;fjöru
siofar;sjávar
ok;og
stod;stóð
þa;þá
uppi;uppi
skip;skip
þeirra;þeirra
ok;og
uar;var
þa;þá
langt;langt
til;til
siofar;sjávar
at;að
sia;sjá
fra;frá
skipinu;skipinu
.;.
en;en
þeim;þeim
uar;var
suo;svo
mikil;mikil
foruitnni;forvitni
a;á
at;að
fara;fara
til;til
landzsins;landsins
at;að
þeir;þeir
nentu;nenntu
æigi;eigi
þess;þess
at;að
bida;bíða
at;að
siorr;sjór
felle;félli
undir;undir
skip;skip
þeirra;þeirra
ok;og
runnu;runnu
til;til
landz;lands
þar;þar
er;er
a;á
æin;ein
fell;féll
ór;úr
uattne;vatni
æinu;einu
.;.
en;en
þegar;þegar
siorr;sjór
fell;féll
undir;undir
skip;skip
þeirra;þeirra
þa;þá
toku;tóku
þeir;þeir
batinn;bátinn
ok;og
reru;réru
til;til
skipsins;skipsins
ok;og
fluttu;fluttu
þat;það
upp;upp
j;í
ána;ánna
sidan;síðan
j;í
uattnit;vatnið
ok;og
kostudu;köstuðu
þar;þar
akkerum;akkerum
ok;og
baru;báru
af;af
skipe;skipi
hudfỏt;húðföt
sin;sín
ok;og
gerdu;gerðu
þar;þar
budir;búðir
.;.
toku;tóku
þat;það
rad;ráð
sidan;síðan
at;að
buazst;búast
þar;þar
vm;um
þann;þann
uetr;vetur
ok;og
gerdu;gerðu
þar;þar
hus;hús
mikil;mikil
.;.
huorke;hvorki
skorti;skorti
þar;þar
lax;lax
j;í
anne;ánni
ne;né
j;í
uattninu;vatninu
ok;og
stærra;stærri
lax;lax
en;en
þeir;þeir
hefde;höfðu
fyrr;fyrr
set;séð
.;.
þar;þar
uar;var
suo;svo
godr;góður
landzkostr;landkostur
at;að
þui;því
er;er
þeim;þeim
syndiz;sýndist
at;að
þar;þar
munde;myndi
æinge;enginn
fenadr;fénaður
fodr;fóður
þurfa;þurfa
a;á
uetrum;vetrum
.;.
þar;þar
kuomu;komu
æinge;engin
frost;frost
a;á
uetrum;vetrum
ok;og
litt;lítt
renudu;rénuðu
þar;þar
graus;grös
.;.
Meira;Meira
uar;var
þar;þar
iafnndęgri;jafndægri
en;en
a;á
Grænlande;Grænlandi
edr;eður
Jslande;Íslandi
.;.
sol;sól
hafde;hafði
þar;þar
eyktarstad;eyktarstað
ok;og
dagmalastad;dagmálastað
um;um
skamdegi;skammdegi
.;.
En;En
er;er
þeir;þeir
hofdu;höfðu
lokit;lokið
husgerd;húsgerð
sinne;sinni
þa;þá
mællti;mælti
Leifr;Leifur
vid;við
foruneyti;föruneyti
sitt;sitt
.;.
nu;nú
uil;vil
ek;ég
skifta;skipta
lata;láta
lide;liði
voru;voru
j;í
ij;tvo
stade;staði
ok;og
uil;vil
ek;ég
kanna;kanna
lata;láta
landit;landið
ok;og
skal;skal
helmingr;helmingur
lids;liðs
vera;vera
vit;við
skala;skála
heima;heima
en;en
annarr;annar
helmingr;helmingur
skal;skal
kanna;kanna
landit;landið
ok;og
fara;fara
æigi;eigi
leingra;lengra
en;en
þeir;þeir
komi;komi
heim;heim
at;að
kuellde;kvöldi
ok;og
skilizst;skiljist
æigi;eigi
.;.
Nu;Nú
gerdu;gerðu
þeir;þeir
suo;svo
vm;um
stund;stund
.;.
Leifr;Leifur
gerde;gerði
ymizst;ýmist
at;að
hann;hann
for;fór
med;með
þeim;þeim
edr;eður
uar;var
heima;heim
at;að
skala;skála
.;.
Leifr;Leifur
uar;var
mikill;mikill
madr;maður
ok;og
sterkr;sterkur
manna;manna
skỏruligazstr;skörulegastur
at;að
sia;sjá
vitr;vitur
madr;maður
ok;og
godr;góður
hofsmadr;hófsmaður
um;um
alla;alla
hluti;hluti
.;.
