A;Á
mællti;mælti
þa;þá
a;á
norrænu;norrænu
er;er
stund;stund
leid;leið
.;.
ek;ég
uar;var
gæinginn;genginn
æigi;eigi
myklu;miklu
læingra;lengra
en;en
þit;þið
.;.
kann;kann
ek;ég
nokkur;nokkur
nynæma;nýnæmi
at;að
segia;segja
.;.
ek;ég
fann;fann
vinvid;vínvið
ok;og
vinber;vínber
.;.
Mun;Mun
þat;það
satt;satt
fostri;fóstri
minn;minn
quad;kvað
Leifr;Leifur
.;.
At;Að
visu;vísu
er;er
þat;það
satt;satt
quad;kvað
hann;hann
þuiat;því að
ek;ég
var;var
þar;þar
fæddr;fæddur
er;er
huorke;hvorki
skorti;sorti
uinvid;vínvið
ne;né
vinber;vínber
.;.
Nu;Nú
suofu;sváfu
þeir;þeir
af;af
þa;þá
nott;nótt
.;.
en;en
vm;um
morguninn;morguninn
mællti;mælti
Leifr;Leifur
vid;við
haseta;háseta
sina;sína
.;.
nu;nú
skal;skal
hafua;hafa
tuennar;tvennar
syslur;sýslur
fram;fram
ok;og
skal;skal
sinn;sinn
dag;dag
huort;hvort
lesa;lesa
vinber;vínber
edr;eður
hoggua;höggva
vinvid;vívið
ok;og
fella;fella
mỏrkena;mörkina
suo;svo
at;að
þat;það
verde;verði
farmr;farmu
til;til
skips;skips
mins;míns
.;.
Ok;Og
þetta;þetta
var;var
rads;ráðs
tekit;tekið
.;.
Suo;Svo
er;er
sagt;sagt
at;að
eftirbatr;eftirbátur
þeirra;þeirra
var;var
fylldr;fylltur
af;af
vinberium;vínberjum
.;.
nu;nú
var;var
hogginn;höggvinn
farmr;farmur
a;á
skipit;skipið
.;.
ok;og
er;er
uorar;vorar
þa;þá
biugguzst;bjuggust
þeir;þeir
ok;og
sigldu;sigldu
burt;burt
ok;og
gaf;gaf
Leifr;Leifur
nafnn;nafn
landinu;landinu
eftir;eftir
landkostum;landköstum
ok;og
kallade;kallaði
Vinland;Vínland
.;.
sigla;sigla
nu;nú
sidan;síðan
j;í
haf;haf
ok;og
gaf;gaf
þeim;þeim
vel;vel
byri;byri
þar;þar
til;til
er;er
þeir;þeir
sa;sjá
Grænland;Grænland
ok;og
fioll;fjöll
undir;undir
ioklum;jöklum
.;.
þa;þá
tok;tók
æinn;einn
madr;maður
til;til
mals;máls
ok;og
mællti;mælti
vid;við
Læif;Leif
.;.
hui;hví
styrir;stýrir
þu;þú
suo;svo
miog;mjög
undir;undir
uedr;veður
skipinu;skipinu
.;.
Læifr;Leifur
suarar;svarar
.;.
ek;ég
hygg;hygg
at;að
stiorn;stjórn
minne;minni
en;en
þo;þó
enn;enn
at;að
fleira;fleira
edr;eður
huat;hvað
seai;sjáið
þer;þér
til;til
tidenda;tíðinda
.;.
Þeir;Þeir
kuoduzst;kvöddust
ekki;ekki
sea;sjá
þat;það
er;er
tidendum;tíðindum
sætti;sætti
.;.
Ek;Ég
ueit;veit
æigi;eigi
segir;segir
Leifr;Leifur
huort;hvort
ek;ég
se;sé
skip;skip
edr;eður
sker;sker
.;.
Nu;Nú
sea;sjá
þeir;þeir
ok;og
quodu;kváðu
sker;sker
vera;vera
.;.
hann;hann
sa;sá
þui;því
framar;framar
en;en
þeir;þeir
at;að
hann;hann
sa;sá
menn;menn
j;í
skerinu;skerinu
.;.
nu;nú
uil;vil
ek;ég
at;að
ver;vér
beitim;beitum
undir;undir
uedrit;veðrið
segir;segir
Leifr;Leifur
suo;svo
at;að
naim;náum
til;til
þeirra;þeirra
ef;ef
menn;menn
eru;eru
þurftugir;þurftugir
at;að
na;ná
uorum;vorum
funde;fundi
ok;og
er;er
naudsyn;nauðsyn
a;á
at;að
duga;duga
þeim;þeim
.;.
en;en
med;með
þui;því
at;að
þeir;þeir
se;séu
æigi;eigi
fridmenn;friðmenn
þa;þá
æigum;eigum
ver;vér
allan;allan
kost;kost
vndir;undir
oss;oss
en;en
þeir;þeir
ekki;ekki
undir;undir
ser;sér
.;.
Nu;Nú
sækia;sækja
þeir;þeir
undir;undir
skerit;skerið
ok;og
lægdu;lögðu
(;(
segl;segl
);)
sitt;sitt
.;.
kostudu;köstuðu
akkeri;akkeri
ok;og
skutu;skutu
litlum;litlum
bati;báti
ỏdrum;öðrum
er;er
þeir;þeir
hỏfdu;höfðu
haft;haft
med;með
ser;sér
.;.
þa;þá
spurde;spurði
Tyrkr;Tyrkir
huerr;hver
þar;þar
rede;réði
firir;fyrir
lide;liði
.;.
sa;sá
kuetzst;kveðst
Þorir;Þórir
heita;heita
ok;og
vera;vera
norænn;norrænn
madr;maður
at;að
kyne;kyni
edr;eður
huert;hvert
er;er
þitt;þitt
nafnn;nafn
.;.
Leifr;Leifur
segir;segir
til;til
sin;sín
.;.
Ertu;Ertu
son;sonur
Æireks;Eiríks
rauda;rauða
ór;úr
Brattahlid;Brattahlíð
segir;segir
hann;hann
.;.
Leifr;Leifur
quad;hvað
suo;svo
vera;vera
.;.
nu;nú
uil;vil
ek;ég
segir;segir
Leifr;Leifur
bioda;bjóða
ydr;yður
ollum;öllum
a;á
mitt;mitt
skip;skip
ok;og
femunum;fémunum
þeim;þeim
er;er
skipit;skipið
ma;má
vid;við
taka;taka
.;.
Þeir;Þeir
þagu;þágu
þann;þann
kost;kost
ok;og
sigldu;sigldu
sidan;síðan
til;til
Æireksfiardar;Eiríksfjarðar
med;með
þeim;þeim
farmi;farmi
þar;þar
til;til
er;er
þeir;þeir
komu;komu
til;til
Brattahlidar;Brattahlíðar
.;.
baru;báru
farminn;farminn
af;af
skipe;skipi
.;.
sidan;síðan
baud;bauð
Leifr;Leifur
Þori;Þóri
til;til
vistar;vistar
med;með
ser;sér
ok;og
Gudride;Guðríði
konu;konu
hans;hans
ok;og
iij;þremur
monnum;mönnum
audrum;öðrum
.;.
en;en
fek;fékk
uistir;vistir
audrum;öðrum
hasetum;hásetum
będe;bæði
Þoris;Þóris
ok;og
sinum;sínum
felỏgum;félögum
.;.
Leifr;Leifur
tok;tók
xv;fimmtán
menn;menn
or;úr
skerinu;skerinu
.;.
hann;hann
uar;var
sidan;síðan
kalladr;kallaður
Leifr;Leifur
hinn;hinn
hepni;heppni
.;.
Leifi;Leifi
vard;varð
nu;nú
będe;bæði
gott;gott
til;til
fiar;fjár
ok;og
mannuirdingar;mannvirðingar
.;.
þann;þann
uetr;vetur
kom;kom
sott;sótt
mikil;mikil
j;í
lid;lið
Þoriss;Þóris
ok;og
andadizst;andaðist
hann;hann
Þorir;Þórir
ok;og
mikill;mikill
hluti;hluti
lids;liðs
hans;hans
.;.
þann;þann
uetr;vetur
andadizst;andaðist
ok;og
Æirekr;Eiríkur
raude;rauði
.;.
Nu;Nú
uar;var
umræda;umræða
mikil;mikil
vm;um
Uinlandzfỏr;Vínlandsför
Leifs;Leifs
ok;og
þotti;þótti
Þoruallde;Þorvaldi
brodur;bróður
hans;hans
of;of
vvida;óviða
kannat;kannað
hafa;hafa
verit;verið
landit;landið
.;.
þa;þá
mællti;mælti
Leifr;Leifur
uit;við
Þorualld;Þorvald
.;.
þu;þú
skalt;skalt
fara;fara
med;með
skip;skip
mitt;mitt
brodir;bróðir
ef;ef
þu;þú
uill;vilt
til;til
Vinlandz;Vínlands
ok;og
uil;vil
ek;ég
þo;þó
at;að
skipit;skipið
fari;fari
adr;áður
eftir;eftir
uide;viði
þeim;þeim
er;er
Þorir;Þórir
atti;átti
j;í
skerinu;skerinu
.;.
Ok;Og
suo;svo
uar;var
gert;gert
.;.
