Maðr;Maður
þyrfta;þyrfti
ek;ég
þess;þess
manns;manns
mest;mest
".""";"."""
Hann;Hann
sagði;sagði
:;:
hefi;hef
lengi;lengi
verit;verið
með;með
Hneiti;Hneiti
,;,
ok;og
hefir;hefur
mér;mér
gott;gott
til;til
hags;hags
orðit;orðið
,;,
ok;og
er;er
mér;mér
vandbreytt;vandbreytt
um;um
þat;það
".""";"."""
Már;Már
segir;segir
,;,
kvaðst;kvaðst
ok;og
ætla;ætla
,;,
at;að
hann;hann
myndi;myndi
vel;vel
við;við
hann;hann
lúka;ljúka
,;,
ok;og
sækir;sækir
mjök;mjög
eftir;eftir
.;.
Ok;Og
þar;þar
kemr;kemur
,;,
at;að
Þorsteinn;Þorsteinn
neitar;neitar
eigi;eigi
skipvist;skipvist
með;með
Mávi;Mávi
.;.
Þá;Þá
skorar;skorar
hann;hann
til;til
mjök;mjög
,;,
ef;ef
Hneitir;Hneitir
legði;legði
leyfi;leyfi
til;til
,;,
at;að
Þorsteinn;Þorsteinn
réðist;réðist
frá;frá
skipi;skipi
hans;hans
ok;og
í;í
sveit;sveit
með;með
Mávi;Mávi
.;.
Hneitir;Hneitir
sagði;sagði
:;:
honum;honum
einsætt;einsætt
at;að
skilja;skilja
við;við
mik;mig
"?""";"?"""
Már;Már
svarar;svarar
:;:
lætr;lætur
honum;honum
nú;nú
,;,
at;að
honum;honum
þykkir;þykir
þat;það
ekki;ekki
síðr;síður
hent;hent
".""";"."""
Hneitir;Hneitir
sagði;sagði
hann;hann
ráða;ráða
mundu;mundu
-;-
ok;og
skilja;skilja
at;að
því;því
.;.
Óláfr;Óláfur
Hildisson;Hildisson
vekr;vekur
til;til
við;við
Hneiti;Hneiti
,;,
ef;ef
hann;hann
mætti;mætti
veita;veita
honum;honum
skipun;skipun
.;.
Hann;Hann
sagðist;sagðist
hafa;hafa
ráðit;ráðið
menn;menn
til;til
skips;skips
síns;síns
,;,
en;en
sagði;sagði
Már;Már
hefði;hefði
eigi;eigi
enn;enn
ráðit;ráðið
fulla;fulla
skipun;skipun
.;.
Óláfr;Óláfur
svarar;svarar
:;:
sem;sem
okkr;okkur
hefir;hefur
at;að
orðum;orðum
orðit;orðið
,;,
þá;þá
verðr;verður
mér;mér
sá;sá
maðr;maður
torsóttr;torsóttur
.;.
Vilda;Vildi
ek;ég
nú;nú
,;,
at;að
þú;þú
vektir;vektir
til;til
fyrir;fyrir
mína;mína
hönd;hönd
".""";"."""
Hann;Hann
hét;hét
því;því
ok;og
vekr;vekur
síðan;síðan
til;til
við;við
Má;Má
,;,
ef;ef
hann;hann
vildi;vildi
taka;taka
við;við
Óláfi;Ólafi
.;.
Már;Már
lézt;lést
vilja;vilja
tala;tala
við;við
manninn;manninn
,;,
áðr;áður
hann;hann
héti;héti
honum;honum
skipun;skipun
.;.
Síðan;Síðan
kemr;kemur
Hneitir;Hneitir
máli;máli
þeira;þeirra
saman;saman
,;,
ok;og
ræðir;ræðir
Óláfr;Ólafur
til;til
skipunar;skipunar
við;við
Má;Má
.;.
Már;Már
fréttir;fréttir
:;:
eru;eru
veiðarfæri;veiðarfæri
þín;þín
ok;og
vistir;vistir
?;?
Er;Er
þat;það
siðr;siður
manna;manna
at;að
fá;fá
sér;sér
slíka;slíka
hluti;hluti
,;,
áðr;áður
sér;sér
taka;taka
skipun;skipun
".""";"."""
Hann;Hann
sagðist;sagðist
ekki;ekki
hafa;hafa
þeira;þeirra
hluta;hluta
.;.
Már;Már
segist;segist
eigi;eigi
munu;munu
við;við
þeim;þeim
mönnum;mönnum
taka;taka
,;,
er;er
svá;svo
fólsliga;fólslega
hafa;hafa
búit;búið
sína;sína
ferð;ferð
,;,
kveðst;kveðst
ok;og
þann;þann
veg;veg
á;á
hann;hann
lítast;lítast
sem;sem
hann;hann
myndi;myndi
glæpamaðr;glæpamaður
nökkurr;nokkur
vera;vera
.;.
Hneitir;Hneitir
átti;átti
nú;nú
hlut;hlut
í;í
,;,
at;að
hann;hann
varni;varni
honum;honum
eigi;eigi
skipunar;skipunar
,;,
en;en
hann;hann
ráði;ráði
mjök;mjög
fyrir;fyrir
kostum;kostum
sjálfr;sjálfur
.;.
Már;Már
sagðist;sagðist
eigi;eigi
mundu;mundu
við;við
honum;honum
taka;taka
,;,
nema;nema
hann;hann
ynni;ynni
honum;honum
allt;allt
ok;og
hann;hann
réði;réði
kaupi;kaupi
hans;hans
.;.
Ok;Og
þann;þann
kost;kost
tekr;tekur
Óláfr;Ólafur
upp;upp
,;,
ok;og
réðst;réðst
hann;hann
í;í
skip;skip
með;með
Mávi;Mávi
.;.
Þat;Það
var;var
eitt;eitt
sinn;sinn
um;um
sumarit;sumarið
,;,
at;að
Óláfr;Ólafur
er;er
óslyngr;óslyngur
við;við
þat;það
,;,
sem;sem
hann;hann
átti;átti
at;að
gera;gera
,;,
enda;enda
þiggr;þiggur
Már;Már
illa;illa
.;.
Verðr;Verður
oft;oft
þeira;þeirra
í;í
millum;millum
at;að
standa;standa
um;um
sumarit;sumarið
.;.
Kemr;Kemur
þar;þar
svá;svo
,;,
at;að
Óláfr;Ólafur
svarar;svarar
illa;illa
.;.
En;En
þó;þó
fá;fá
þeir;þeir
mikit;mikið
fang;fang
ok;og
koma;koma
í;í
Ávík;Ávík
at;at
hausti;hausti
til;til
Hneitis;Hneitis
bónda;bónda
.;.
Þá;Þá
vekr;vekur
Óláfr;Ólafur
til;til
,;,
hvat;hvað
hann;hann
skyldi;skyldi
kaups;kaups
hafa;hafa
.;.
Már;Már
kvað;kvað
hann;hann
ekki;ekki
hafa;hafa
munu;munu
ok;og
kvað;kvað
hann;hann
einskis;einskis
verðan;verðan
.;.
Óláfr;Ólafur
kvaðst;kvaðst
oft;oft
hafa;hafa
góða;góða
menn;menn
heimsótt;heimsótt
ok;og
kvað;kvað
öllum;öllum
hafa;hafa
vel;vel
til;til
sín;sín
orðit;orðið
öðrum;öðrum
en;en
honum;honum
ok;og
kvað;kvað
hann;hann
í;í
mesta;mesta
lagi;lagi
ór;úr
sinni;sinni
ætt;ætt
,;,
-;-
sagði;sagði
engan;engan
mundu;mundu
jafnilla;jafnilla
við;við
sik;sig
lokit;lokið
hafa;hafa
.;.
þar;þar
á;á
endemi;eindæmi
",""";","""
sagði;sagði
Már;Már
,;,
eru;eru
þat;það
mikil;mikil
firn;firn
,;,
ef;ef
ek;ég
skal;skal
taka;taka
af;af
þér;þér
ill;ill
orð;orð
".""";"."""
Síðan;Síðan
tekr;tekur
Már;Már
allt;allt
upp;upp
fyrir;fyrir
Óláfi;Óláfi
,;,
er;er
hann;hann
átti;átti
í;í
fémunum;fémunum
,;,
bæði;bæði
kistu;kistu
hans;hans
ok;og
klæði;klæði
ok;og
svá;svo
vápn;vopn
hans;hans
sem;sem
annat;annað
.;.
Óláfr;Ólafur
sagði;sagði
Hneiti;Hneiti
til;til
svá;svo
búins;búins
.;.
Hann;Hann
segir;segir
,;,
at;að
Már;Már
myndi;myndi
þat;það
eigi;eigi
gera;gera
vilja;vilja
,;,
ok;og
ræddi;ræddi
Hneitir;Hneitir
til;til
við;við
Má;Má
,;,
at;að
hann;hann
láti;láti
rakna;rakna
fémuni;fémuni
hans;hans
ok;og
kistu;kistu
,;,
segir;segir
þó;þó
hlut;hlut
hans;hans
yfrit;yfrið
harðan;harðan
,;,
at;at
hann;hann
missi;missi
kaupsins;kaupsins
.;.
Már;Már
kvað;kvað
eigi;eigi
tjá;tjá
hans;hans
umræðu;umræðu
um;um
þenna;þenna
hlut;hlut
.;.
Hneiti;Hneiti
þótti;þótti
verr;verr
,;,
-;-
ok;og
skilja;skilja
við;við
þat;það
.;.
Litlu;Litlu
síðar;síðar
sagði;sagði
Hneitir;Hneitir
Mávi;Mávi
,;,
at;at
vistir;vistir
hans;hans
myndi;myndi
þar;þar
eigi;eigi
verða;verða
lengr;lengur
at;að
hans;hans
leyfi;leyfi
.;.
En;En
þat;það
var;var
raunar;raunar
,;,
at;að
Hneiti;Hneiti
þótti;þótti
Már;Már
gera;gera
of;of
margtalat;margtalað
við;við
dóttur;dóttur
sína;sína
.;.
Már;Már
kvaðst;kvaðst
eigi;eigi
hirða;hirða
,;,
hvat;hvað
þeir;þeir
búkarlar;búkarlar
ræddi;ræddi
þar;þar
á;á
Ströndum;Ströndum
um;um
vistir;vistir
hans;hans
,;,
ok;og
lézt;lést
þar;þar
mundu;mundu
engan;engan
gaum;gaum
at;að
