Nú;Nú
þinghelgina;þinghelgina
.;.
En;En
Þorgils;Þorgils
kvað;kvað
Hafliða;Hafliða
mundu;mundu
hafa;hafa
kastat;kastað
því;því
fram;fram
við;við
engan;engan
alhuga;alhuga
.;.
En;En
hinir;hinir
sögðu;sögðu
at;að
vísu;vísu
satt;satt
vera;vera
ok;og
at;að
Hafliði;Hafliði
væri;væri
á;á
ferð;ferð
kominn;kominn
með;með
tólf;tólf
hundruð;hundruð
manna;manna
,;,
þá;þá
er;er
þeir;þeir
vissu;vissu
síðast;síðast
.;.
Ok;Og
við;við
þetta;þetta
nam;nam
flokkrinn;flokkurinn
stað;stað
-;-
ok;og
tóku;tóku
ráðagerðir;ráðagerðir
með;með
sér;sér
,;,
hvern;hvern
upp;upp
skyldi;skyldi
taka;taka
,;,
-;-
í;í
því;því
stóð;stóð
,;,
þá;þá
er;er
vér;vér
vissum;vissum
síðast;síðast
".""";"."""
Eftir;Eftir
þetta;þetta
ríða;ríða
þeir;þeir
heim;heim
til;til
búða;búða
ok;og
fara;fara
til;til
fundar;fundar
við;við
byskup;biskup
.;.
Byskup;Biskup
fagnar;fagnar
þeim;þeim
feðgum;feðgum
,;,
ok;og
þar;þar
segja;segja
hvárir;hvorir
öðrum;öðrum
allan;allan
trúnað;trúnað
ok;og
hvar;hvor
þá;þá
var;var
komit;komið
öllu;öllu
jafnsaman;jafnsaman
.;.
Síðan;Síðan
senda;senda
þeir;þeir
feðgar;feðgar
Þorgilsi;Þorgilsi
njósn;njósn
af;af
skyndingu;skyndingu
ok;og
láta;láta
segja;segja
honum;honum
allt;allt
svá;svo
skapat;skapað
sem;sem
var;var
ok;og
þeir;þeir
höfðu;höfðu
vísir;vísir
orðit;orðið
.;.
Njósnarmenn;Njósnarmenn
kómu;komu
til;til
fundar;fundar
við;við
Þorgils;Þorgils
undir;undir
Ármannsfelli;Ármannsfelli
fyrir;fyrir
ofan;ofan
Sleðaás;Sleðaás
,;,
þar;þar
sem;sem
þeir;þeir
Böðvarr;Böðvar
höfðu;höfðu
beðit;beðið
,;,
ok;og
segja;segja
Þorgilsi;Þorgilsi
allt;allt
sem;sem
vaxit;vaxið
var;var
.;.
Þeir;Þeir
segja;segja
ok;og
þat;það
,;,
at;að
búðin;búðin
var;var
öll;öll
brotin;brotin
at;að
jörðu;jörðu
.;.
Þá;Þá
mælti;mælti
Böðvarr;Böðvar
:;:
er;er
sýnt;sýnt
í;í
slíku;slíku
",""";","""
segir;segir
hann;hann
,;,
Hafliði;Hafliði
sparir;sparir
lítt;lítt
hendr;hendur
várar;vorar
at;að
hefna;hefna
,;,
-;-
enda;enda
væri;væri
þat;það
eigi;eigi
fjarri;fjarri
,;,
at;að
hann;hann
reyndi;reyndi
,;,
hvárt;hvort
vér;vér
kynnim;kynnum
nökkut;nokkuð
fleira;fleira
at;að
vinna;vinna
en;en
gera;gera
upp;upp
búðina;búðina
Þorgils;Þorgils
,;,
því;því
at;að
nú;nú
klæja;klæja
oss;oss
lófarnir;lófarnir
",""";","""
-;-
ok;og
tók;tók
at;að
berja;berja
vápnum;vopnum
á;á
hlífarnar;hlífarnar
.;.
Þá;Þá
tóku;tóku
margir;margir
undir;undir
,;,
at;að
þat;það
væri;væri
þá;þá
líkligast;líklegast
,;,
at;að
Þorgils;Þorgils
myndi;myndi
ráða;ráða
athöfnum;athöfnum
þeira;þeirra
.;.
Þá;Þá
svarar;svarar
Þorgils;Þorgils
ok;og
