Í;Í
falla;falla
,;,
því;því
at;að
brátt;brátt
ferr;fer
orð;orð
,;,
er;er
um;um
munn;munn
líðr;líður
".""";"."""
þykkir;þykir
mér;mér
undir;undir
",""";","""
segir;segir
in;in
ellri;eldri
Þóra;Þóra
,;,
hér;hér
gerist;gerist
nökkut;nokkuð
söguligt;sögulegt
af;af
,;,
ok;og
mun;mun
ek;ég
segja;segja
þér;þér
fyrr;fyrr
,;,
hvat;hvað
ek;ég
vilda;vilda
mér;mér
kjósa;kjósa
,;,
ef;ef
þú;þú
vill;vilt
þá;þá
síðan;síðan
segja;segja
mér;mér
".""";"."""
ert;ert
fyrir;fyrir
okkr;okkur
",""";","""
segir;segir
in;hin
yngri;yngri
Þóra;Þóra
,;,
skaltu;skaltu
af;af
því;því
víst;víst
segja;segja
mér;mér
fyrr;fyrr
,;,
með;með
því;því
at;að
þú;þú
vill;vill
þó;þó
,;,
at;að
eigi;eigi
falli;falli
hér;hér
niðr;niður
geipan;geipan
sjá;sjá
".""";"."""
vilda;vildir
ek;ég
",""";","""
segir;segir
in;hin
ellri;eldri
Þóra;Þóra
,;,
Jón;Jón
Sigmundarson;Sigmundarson
riði;riði
hingat;hingað
ok;og
bæði;bæði
mín;mín
ok;og
honum;honum
væra;væri
ek;ég
gefin;gefin
".""";"."""
In;Hin
yngri;yngri
Þóra;Þóra
svarar;svarar
:;:
hefir;hefir
þú;þú
at;að
því;því
hugat;hugað
,;,
at;að
láta;láta
þann;þann
eigi;eigi
undan;undan
ganga;ganga
,;,
er;er
nú;nú
þykkir;þykir
beztr;beztur
karlkostr;karlkostur
vera;vera
,;,
ok;og
vildir;vildir
þú;þú
því;því
fyrr;fyrr
kjósa;kjósa
,;,
at;að
þú;þú
sátt;sátt
,;,
at;að
þá;þá
vandaðist;vandaðist
körit;kjörið
.;.
Nú;Nú
er;er
þat;það
miklu;miklu
torvelligra;torvellegra
ok;og
ólíkligra;ólíklegra
,;,
er;er
ek;ég
vilda;vilda
,;,
at;að
væri;væri
.;.
Þat;Það
vilda;vildir
ek;ég
,;,
at;að
Jóra;Jóra
byskupsdóttir;biskupsdóttir
andaðist;andaðist
,;,
en;en
Þorvaldr;Þorvaldur
Gizurarson;Gissurarson
færi;færi
hingat;hingað
ok;og
bæði;bæði
.;.
Þóra;Þóra
,;,
getum;getum
ekki;ekki
um;um
".""";"."""
Síðan;Síðan
gengu;gengu
þær;þær
heim;heim
.;.
Nú;Nú
váru;voru
liðnir;liðnir
þeir;þeir
tíu;tíu
vetr;vetur
,;,
er;er
Guttormr;Guttormur
erkibyskup;erkibiskup
hafði;hafði
leyft;leyft
þeim;þeim
Þorvaldi;Þorvaldi
ok;og
Jóru;Jóru
ásamt;ásamt
at;að
vera;vera
,;,
ok;og
sagði;sagði
hann;hann
svá;svo
,;,
at;að
aldri;aldrei
hefði;hefði
hann;hann
henni;henni
meira;meira
unnat;unnað
en;en
þá;þá
ok;og
hann;hann
vissi;vissi
eigi;eigi
víst;víst
,;,
hvárt;hvort
hann;hann
fengi;fengi
af;af
sér;sér
at;að
skilja;skilja
við;við
hana;hana
eftir;eftir
því;því
,;,
sem;sem
hann;hann
hafði;hafði
heitit;heitið
erkibyskupi;erkibiskupi
.;.
En;En
þau;þau
sömu;sömu
misseri;misseri
andaðist;andaðist
Jóra;Jóra
.;.
Ok;Og
um;um
várit;várið
áttu;áttu
þeir;þeir
Þorvaldr;Þorvaldur
ok;og
Jón;Jón
báðir;báðir
erendi;erindi
vestr;vestur
til;til
Borgarfjarðar;Borgarfjarðar
.;.
Þeir;Þeir
riðu;riðu
báðir;báðir
samt;samt
ok;og
gistu;gistu
á;á
Þingvelli;Þingvelli
.;.
Ok;Og
um;um
daginn;daginn
,;,
er;er
þeir;þeir
riðu;riðu
vestr;vestur
,;,
varð;varð
þeim;þeim
margt;margt
talat;talað
til;til
þeira;þeirra
Guðmundardætra;Guðmundardætra
.;.
Þær;Þær
systr;systur
lágu;lágu
jafnan;jafnan
í;í
einni;einni
hvílu;hvílu
,;,
ok;og
hvíldi;hvíldi
in;in
ellri;eldri
Þóra;Þóra
jafnan;jafnan
við;við
stokk;stokk
.;.
Ok;Og
er;er
þeir;þeir
koma;koma
vestan;vestan
,;,
Þorvaldr;Þorvaldur
ok;og
Jón;Jón
,;,
þá;þá
gistu;gistu
þeir;þeir
enn;enn
á;á
Þingvelli;Þingvelli
.;.
Þá;Þá
mælti;mælti
in;in
ellri;eldri
Þóra;Þóra
til;til
systur;systur
sinnar;sinnar
:;:
mun;mun
ek;ég
skipa;skipa
þeim;þeim
í;í
hvílu;hvílu
okkra;okkar
í;í
kveld;kveld
,;,
Þorvaldi;Þorvaldi
ok;og
Jóni;Jóni
.;.
Ok;Og
með;með
því;því
at;að
þeir;þeir
biði;biði
okkar;okkar
nú;nú
,;,
þá;þá
skal;skal
ek;ég
þann;þann
eiga;eiga
,;,
er;er
í;í
minni;minni
hvílu;hvílu
liggr;liggur
,;,
en;en
þú;þú
þann;þann
,;,
er;er
við;við
þili;þili
liggr;liggur
".""";"."""
-;-
Þat;Það
vissi;vissi
hon;hún
,;,
at;að
Þorvaldr;Þorvaldur
var;var
jafnan;jafnan
vanr;vanur
at;að
hvíla;hvíla
við;við
stokk;stokk
,;,
ok;og
vildi;vildi
þá;þá
hvártveggja;hvortveggja
hann;hann
heldr;heldur
.;.
muntu;muntu
eigi;eigi
slíku;slíku
ráða;ráða
",""";","""
segir;segir
in;hin
yngri;yngri
Þóra;Þóra
,;,
þú;þú
skipar;skipar
hvílum;hvílum
?;?
En;En
þat;það
mun;mun
verða;verða
um;um
forlög;forlög
okkur;okkur
,;,
sem;sem
áðr;áður
er;er
fyrir;fyrir
ætlat;ætlað
".""";"."""
Ok;Og
um;um
kveldit;kveldið
,;,
er;er
þeir;þeir
Þorvaldr;Þorvaldur
kómu;komu
til;til
hvílu;hvílu
,;,
þá;þá
spurði;spurði
Jón;Jón
:;:
bóndi;bóndi
,;,
hvárt;hvort
villtu;viltu
heldr;heldur
hvíla;hvíla
við;við
stokk;stokk
eða;eða
þili;þili
"?""";"?"""
Þorvaldr;Þorvaldur
svarar;svarar
:;:
em;er
ek;ég
vanr;vanur
at;að
hvíla;hvíla
við;við
stokk;stokk
,;,
en;en
þó;þó
skaltu;skaltu
nú;nú
kjósa;kjósa
".""";"."""
mun;mun
ek;ég
við;við
stokk;stokk
hvíla;hvíla
nú;nú
",""";","""
segir;segir
Jón;Jón
.;.
Ok;Og
svá;svo
var;var
.;.
Ok;Og
um;um
morgininn;morguninn
eftir;eftir
höfðu;höfðu
þeir;þeir
uppi;uppi
bónorð;bónorð
sín;sín
,;,
ok;og
fór;fór
þat;það
fram;fram
,;,
at;að
Þóra;Þóra
in;hin
ellri;eldri
var;var
gift;gift
Jóni;Jóni
,;,
en;en
in;hin
yngri;yngri
Þorvaldi;Þorvaldi
.;.
Þessi;Þessi
váru;voru
börn;börn
þeira;þeirra
Þorvalds;Þorvalds
Gizurarsonar;Gissurarsonar
ok;og
Þóru;Þóru
innar;hinnar
yngri;yngri
:;:
Halldóra;Halldóra
var;var
elzt;elst
barna;barna
þeira;þeirra
,;,
þá;þá
Gizurr;Gissur
jarl;jarl
,;,
þá;þá
Kolfinna;Kolfinna
.;.
Halldóru;Halldóru
Þorvaldsdóttur;Þorvaldsdóttur
átti;átti
Ketill;Ketill
