Ísleifr;Ísleifur
Vilborg;Vilborg
var;var
dóttir;dóttir
Gizurar;Gissurar
ok;og
Þorbjargar;Þorbjargar
Hreinsdóttur;Hreinsdóttur
,;,
er;er
átti;átti
Teitr;Teitur
Súgandason;Súgandason
.;.
Valgerðr;Valgerður
var;var
dóttir;dóttir
Gizurar;Gissurar
ok;og
Þórnýjar;Þórnýjar
Vigfúsdóttur;Vigfúsdóttur
,;,
er;er
átti;átti
Teitr;Teitur
Ásláksson;Ásláksson
.;.
Þórdís;Þórdís
var;var
enn;enn
dóttir;dóttir
Gizurar;Gissurar
ok;og
Þórnýjar;Þórnýjar
.;.
Hana;Hana
átti;átti
Þorsteinn;Þorsteinn
Jónsson;Jónsson
.;.
Hallr;Hallur
Gizurarson;Gissurarson
átti;átti
Herdísi;Herdísi
Sveinbjarnardóttur;Sveinbjarnardóttur
,;,
-;-
þeira;þeirra
dóttir;dóttir
Hallfríðr;Hallfríður
.;.
Magnús;Magnús
var;var
sonr;sonur
Halls;Halls
laungetinn;laungetinn
.;.
Hann;Hann
átti;átti
Steinvöru;Steinvöru
Sámsdóttur;Sámsdóttur
.;.
Sámr;Sámr
var;var
sonr;sonr
þeira;þeira
.;.
Magnús;Magnús
byskup;byskup
átti;átti
Halldóru;Halldóru
Hjaltadóttur;Hjaltadóttur
.;.
Hjalti;Hjalti
ok;og
Gizurr;Gissur
váru;voru
synir;synir
þeira;þeirra
.;.
Þorvaldr;Þorvaldur
Gizurarson;Gissurarson
bjó;bjó
í;í
Hruna;Hruna
.;.
Hann;Hann
átti;átti
Jóru;Jóru
byskupsdóttur;biskupsdóttur
.;.
Synir;Synir
þeira;þeirra
váru;voru
þeir;þeir
Guðmundr;Guðmundur
,;,
Klængr;Klængur
,;,
Björn;Björn
,;,
Einarr;Einar
,;,
