Dotter;Dóttir
þa;þá
er;er
hanum;honum
hafðu;höfðu
lengi;lengi
þionat;þjónað
.;.
Sva;Svo
com;kom
at;að
menn;menn
toco;tóku
þat;það
at;að
rꝍða;ræða
at;að
hann;hann
myndi;myndi
vixtr;vígtur
vera;vera
.;.
eða;eða
ovitande;óvitandi
.;.
Conongr;Konungur
com;kom
at;að
finna;finna
hann;hann
.;.
oc;og
varð;varð
litil;lítil
þæira;þeirra
viðrꝍða;viðræða
.;.
þuiat;því að
Hacon;Hákon
villdi;vildi
fatt;fátt
mæla;mæla
.;.
Gullharalldr;Gullharaldur
com;kom
at;að
finna;finna
hann;hann
firir;fyrir
sacar;sakar
vizku;visku
hans;hans
oc;og
diupræðe;djúpræði
.;.
er;er
aller;allir
menn;menn
sagðu;sögðu
at;að
hann;hann
være;væri
enn;hinn
vitraste;vitrasti
maðr;maður
.;.
ef;ef
hann;hann
hæfði;hefði
hæilsu;heilsu
sina;sína
.;.
hann;hann
toc;tók
at;að
rꝍða;ræða
firir;fyrir
hanum;honum
sinn;sinn
vannda;vanda
.;.
oc;og
þat;það
at;að
hann;hann
var;var
konongs;konungs
sunr;sonur
.;.
oc;og
þottezk;þóttist
æigi;eigi
verr;verr
til;til
rikis;ríkis
comenn;kominn
en;en
Haralldr;Haraldur
konongr;konungur
faðr;föður
broðer;bróðir
hans;hans
.;.
En;En
er;er
Hacon;Hákon
hꝍyrði;heyrði
þessa;þessa
rꝍðu;ræðu
.;.
þa;þá
svaraðe;svaraði
hann;hann
oc;og
talde;taldi
hann;hann
æigi;eigi
værr;verr
til;til
fallenn;fallinn
at;að
niota;njóta
sins;síns
faðernis;faðernis
.;.
en;en
Haralldr;Haraldur
konongr;konungur
oc;og
sagðe;sagði
ef;ef
Knutr;Knútur
hæfði;hefði
lifat;lifað
at;að
Gormr;Gormur
oc;og
aller;allir
Daner;Danir
myndu;myndu
hann;hann
konong;konungs
vilia;vilja
en;en
eigi;eigi
Haralld;Harald
.;.
oc;og
er;er
nu;nú
hans;hans
sunr;sonur
gorr;gerður
sem;sem
æinn;einn
vikingr;víkingur
.;.
en;en
ef;ef
þetta;þetta
kꝍmr;kemur
ænn;enn
firir;fyrir
Dane;Dani
.;.
þa;þá
munu;munu
þæir;þeir
vilia;vilja
hafa;hafa
Knuz;Knúts
son;son
firir;fyrir
konong;konung
.;.
Harallde;Haraldi
syndist;sýndist
nu;nú
ækki;ekki
annat;annað
rað;ráð
en;en
bæiðazk;beiðast
af;af
kononge;konungi
faðr;föður
broðor;bróður
sinum;sínum
landa;landa
oc;og
rikis;ríkis
.;.
oc;og
rꝍdde;ræddi
þetta;þetta
mal;mál
firir;fyrir
frenda;frænda
sinum;sínum
.;.
æftir;eftir
raðe;ráði
Haconar;Hákonar
.;.
oc;og
villdi;vildi
vita;vita
fyrst;fyrst
ef;ef
þat;það
mætte;mætti
værða;verða
með;með
villd;vild
.;.
við;við
þessa;þessa
rꝍðo;ræðu
varo;voru
faer;fáir
menn;menn
.;.
konongr;konungur
toc;tók
þunglega;þunglega
at;að
skifta;skipta
við;við
hann;hann
riki;ríki
eða;eða
lannde;landi
.;.
slita;slíta
sva;svo
sinu;sínu
tale;tali
at;að
baðer;báðir
varo;voru
ræiðir;reiðir
.;.
þui;því
næst;næst
spurðizk;spurðist
at;að
Hacone;Hákoni
bꝍttezk;bættist
.;.
Siðan;Síðan
kom;kom
konongr;konungur
a;á
fund;fund
Haconar;Hákonar
oc;og
bar;bar
upp;upp
firir;fyrir
hanum;honum
.;.
hværss;hvers
hann;hann
var;var
krafðr;krafinn
.;.
oc;og
spyr;spyr
raðs;ráðs
hvær;hver
svor;svör
hann;hann
skylldi;skyldi
hafa;hafa
um;um
þetta;þetta
mal;mál
.;.
Hacon;Hákon
svaraðe;svaraði
mꝍðelega;mæðulega
oc;og
harmulega;hörmulega
.;.
oc;og
sagðe;sagði
at;að
hann;hann
harmaðe;harmaði
þetta;þetta
mal;mál
oc;og
lezk;lést
illa;illa
þykkia;þykja
ef;ef
þa;þá
skylldi;skyldi
minka;minnka
riki;ríki
hans;hans
.;.
meðan;meðan
hann;hann
var;var
með;með
hanum;honum
.;.
En;En
þo;þó
sagðe;sagði
hann;hann
Gullharalld;Gullharald
til;til
comenn;kominn
oc;og
til;til
rez;rest
kalla;kalla
.;.
Gef;Gef
til;til
hæillt;heilt
rað;ráð
sagðe;sagði
konongr;konungur
.;.
þui;því
at;að
ec;ég
se;sé
at;að
þu;þú
ert;ert
mer;mér
væl;vel
viliaðr;viljaður
.;.
oc;og
lætr;lætur
þer;þér
illan;illan
þykkia;þykja
varn;vörn
vannda;vanda
.;.
Hacon;Hákon
svaraðe;svaraði
.;.
gef;gef
mer;mér
stunnd;stund
til;til
hærra;herra
at;að
hyggia;hyggja
at;að
sva;svo
miklu;miklu
vannda;vanda
male;máli
.;.
oc;og
skiliaz;skiljast
þæir;þeir
at;að
sva;svo
bunu;búnu
.;.
Eftir;Eftir
þetta;þetta
ma;má
na;ná
male;máli
Hakonar;Hákonar
um;um
þa;þá
luti;hluti
.;.
er;er
mesto;mestu
þotte;þótti
varða;varða
.;.
Gullharalldr;Gullharaldur
kꝍmr;kemur
ænn;enn
a;á
fund;fund
Haconar;Hákonar
.;.
oc;og
kærer;kærir
sitt;sitt
mal;mál
.;.
at;að
faðer;faðir
hans;hans
var;var
dauðr;dauður
en;en
sialfr;sjálfur
hann;hann
rikis;ríkis
laus;laus
oc;og
faðr;faðir
broðer;bróðir
hans;hans
ræiðr;reiður
.;.
oc;og
bað;bað
nu;nú
hæilla;heilla
raða;ráða
.;.
Hacon;Hákon
svaraðe;svaraði
hanum;honum
oc;og
lezk;lést
talat;talað
hafa;hafa
mal;mál
hans;hans
við;við
konong;konung
.;.
oc;og
let;lét
ser;sér
æigi;eigi
væl;vel
hug;hug
um;um
sægia;segja
at;að
noccot;nokkuð
myndi;myndi
af;af
kononge;konungi
fa;fá
.;.
oc;og
aðra;aðra
talu;tölu
gerer;gerir
hann;hann
hanum;honum
til;til
hugganar;huggunar
.;.
oc;og
sagðe;sagði
at;að
hann;hann
myndi;myndi
konongr;konungur
værða;verða
.;.
ef;ef
hann;hann
villdi;vildi
fylgia;fylgja
sinu;sínu
male;máli
.;.
oc;og
let;lét
at;að
þat;það
mest;mest
mindu;myndu
til;til
skorta;skorta
ef;ef
æigi;eigi
fylgði;fylgdi
kapp;kapp
eða;eða
þralyndi;þrályndi
oc;og
harðræðe;harðræði
.;.
þa;þá
þottez;þóttist
Haralldr;Haraldur
skilia;skilja
at;að
Hacone;Hákoni
syndist;sýndist
þat;það
rað;ráð
at;að
hann;hann
lette;létti
æigi;eigi
kalleno;kallinu
.;.
oc;og
sagðe;sagði
at;að
æigi;eigi
skylldi;skyldi
harðræðe;harðræði
scorta;skorta
ef;ef
hann;hann
kꝍme;kæmi
i;í
fꝍre;færi
.;.
En;En
noccoro;nokkru
siðar;síðar
com;kom
Dana;Dana
konongr;konungur
sialfr;sjálfur
til;til
Haconar;Hákonar
at;að
vita;vitja
hvart;hvort
hann;hann
hafðe;hafði
noccot;nokkuð
ihugat;íhugað
um;um
hans;hans
mal;mál
.;.
Hacon;Hákon
svaraðe;svaraði
oc;og
sagðe;sagði
at;að
hann;hann
hafðe;hafði
vakat;vakað
um;um
hans;hans
mal;mál
bæðe;bæði
nætr;nætur
oc;og
daga;daga
.;.
oc;og
oft;oft
hugsiukr;hugsjúkur
um;um
veret;verið
.;.
ek;ég
hæfi;hef
sagðe;sagði
Hacon;Hákon
talat;talað
þetta;þetta
firir;fyrir
vitrum;vitrum
mannum;mönnum
.;.
oc;og
yðrum;yður
goðom;góðum
vinum;vinum
.;.
lizk;líst
allum;öllum
þui;því
mæiri;meiri
yðar;yðar
vannde;vandi
hærra;herra
er;er
oftar;oftar
er;er
um;um
rꝍtt;rætt
.;.
Gullharalldr;Gullharaldur
yðar;yðar
frende;frændi
er;er
þralyndr;þrályndur
a;á
sit;sitt
mal;mál
.;.
ef;ef
þer;þér
varneð;varnaði
hanum;honum
rez;rest
.;.
oc;og
harmar;harmar
oss;oss
mest;mest
æinn;einn
lutr;hlutur
astvini;ástvini
yðra;yðar
.;.
Gormr;Gormur
faðer;faðir
yðar;yðar
varð;varð
sva;svo
mikill;mikill
maðr;maður
i;í
sinni;sinni
ætt;ætt
.;.
at;að
hann;hann
æignaðezk;eignaðist
margra;margra
kononga;konunga
velldi;veldi
.;.
Nu;Nú
værðe;verði
þer;þér
þat;það
micla;mikla
i;í
tva;tvo
staðe;staði
.;.
Hværr;Hver
man;mun
finna;finna
mega;mega
rað;ráð
til;til
þess;þess
at;að
þer;þér
halldeð;haldið
veg;veg
yðrum;yðar
fullum;fullum
.;.
lanndum;löndum
oc;og
riki;ríki
.;.
en;en
frende;frændi
þinn;þinn
Gullharalldr;Gullharaldur
fenge;fengi
þau;þau
svor;svör
er;er
hanum;honum
være;væri
svarat;svarað
æftir;eftir
logum;lögum
oc;og
rettendum;réttindum
.;.
Ða;Þá
svaraðe;svaraði
konongr;konungur
með;með
ahyggiu;áhyggju
mikilli;mikilli
.;.
Mart;Margt
mæler;mælir
þu;þú
Hacon;Hákon
.;.
hversso;hversu
ma;má
þetta;þetta
vera;vera
at;að
ec;ég
miðla;miðla
halft;hálft
Dana;Dana
vælldi;veldi
við;við
Haralld;Harald
.;.
oc;og
æiga;á
ec;ég
þo;þó
æinn;einn
allt;allt
.;.
Hacon;Hákon
svaraðe;svaraði
.;.
hværr;hver
mun;mun
litit;lítið
vinna;vinna
til;til
mikils;mikils
.;.
þat;það
være;væri
hofðingia;höfðingja
bragð;bragð
at;að
æiga;eiga
sialfr;sjálfur
sit;sitt
Dana;Dana
vælldi;veldi
.;.
en;en
gera;gera
frenda;frænda
sinn;sinn
sva;svo
mikinn;mikinn
mann;mann
at;að
hann;hann
hæfði;hefði
annat;annað
vælldi;veldi
æigi;eigi
minna;minna
.;.
sva;svo
myndi;myndi
gera;gera
yðar;yðar
faðer;faðir
Gormr;Gormur
.;.
at;að
minkast;minnkast
ækki;ekki
af;af
gofgom;göfugum
frændom;frændum
sinum;sínum
.;.
ꝍxla;æxla
hælldr;heldur
þæirra;þeirra
megin;megin
oc;og
taca;taka
þar;þar
til;til
rikis;ríkis
sem;sem
være;væri
.;.
Konongr;Konungur
svaraðe;svaraði
.;.
Satt;Satt
sægir;segir
þu;þú
Hacon;Hákon
.;.
þat;það
være;væri
vist;víst
hofðingia;höfðingja
bragð;bragð
.;.
en;en
hvar;hvar
er;er
nu;nú
laust;laust
eða;eða
falt;falt
riki;ríki
.;.
Hacon;Hákon
svaraðe;svaraði
.;.
Noregs;Noregs
riki;ríki
er;er
falt;falt
allu;öllu
lannzfolkeno;landsfólkinu
.;.
oc;og
er;er
Noregs;Noregs
mannum;mönnum
mikit;mikið
ohapp;óhapp
at;að
sinum;sínum
konongom;konunugum
.;.
sva;svo
ero;eru
þæir;þeir
oc;og
makleger;maklegir
at;að
dꝍya;deyja
firir;fyrir
illræðe;illræði
sin;sín
oc;og
ill;ill
værk;verk
.;.
Konongr;Konungur
svareðe;svaraði
.;.
Synir;Synir
Æiriks;Eiríks
ero;eru
rꝍystimenn;hreystimenn
miklir;miklir
oc;og
sigr;sigur
sæller;sælir
.;.
en;en
Noregr;Noregur
illr;illur
at;að
sꝍkia;sækja
með;með
hernaðe;hernaði
.;.
Hacon;Hákon
svaraðe;svaraði
.;.
Haralldr;Haraldur
man;mun
ækki;ekki
varazk;varast
at;að
coma;koma
til;til
Danmarkar;Danmerkur
.;.
ef;ef
þer;þér
sendið;sendið
hanum;honum
orð;orð
hærra;herra
.;.
oc;og
ma;má
Gullharalldr;Gullharaldur
drepa;drepa
hann;hann
þa;þá
.;.
Konongren;Konungurinn
svaraðe;svaraði
.;.
Ef;Ef
Haralldr;Haraldur
konongr;konungur
være;væri
drepenn;drepinn
.;.
þa;þá
være;væri
faret;farið
riki;ríki
Gunilldarsona;Gunnhildarsona
.;.
oc;og
giængr;gengur
þa;þá
braut;braut
oc;og
var;var
katr;kátur
.;.
Litlu;Litlu
æftir;eftir
þetta;þetta
ræis;reis
Hacon;Hákon
upp;upp
oc;og
sagðezk;sagðist
vera;vera
hæill;heill
maðr;maður
.;.
Nu;Nú
kꝍmr;kemur
saman;saman
tal;tal
þæirra;þeirra
frenda;frænda
Harallz;Haralds
konongs;konungs
Gorms;Gorms
sunar;sonar
oc;og
Gullharallz;Gullharalds
.;.
oc;og
rꝍddoz;ræddust
þæir;þeir
við;við
marga;marga
daga;daga
.;.
oc;og
var;var
Hacon;Hákon
með;með
þæim;þeim
.;.
oc;og
vissi;vissi
ængi;enginn
maðr;maður
nema;nema
þæir;þeir
æinir;einir
.;.
hvat;hvað
i;í
raðagierð;ráðagerð
var;var
.;.
Haralldr;Haraldur
konongr;konungur
Gorms;Gorms
sonr;sonur
sendi;sendi
menn;menn
með;með
skipaðu;skipuðu
skipi;skipi
i;í
Noreg;Noreg
a;á
fund;fund
konongs;konungs
Harallz;Haralds
fostrsonar;fóstursonar
sins;síns
með;með
þæim;þeim
orðom;orðum
at;að
Dana;Dana
konongr;konungur
hafðe;hafði
spurt;spurt
anauð;ánauð
oc;og
hallære;hallæri
af;af
Norege;Noregi
.;.
oc;og
þat;það
at;að
kononge;konungi
var;var
kostnaðar;kostnaðar
samt;samt
at;að
hallda;halda
hirð;hirð
sina;sína
.;.
firir;fyrir
þui;því
at;að
bꝍndr;bændur
matto;máttu
æigi;eigi
giallda;gjalda
landskylldir;landskuldir
sinar;sínar
fe;fé
lꝍysis;leysis
sacar;sakar
.;.
oc;og
bað;bað
Haralldr;Haraldur
fostrson;fósturson
sinn;sinn
coma;koma
til;til
Danmarkar;Danmerkur
.;.
oc;og
bauð;bauð
hanum;honum
Iotland;Jótland
allt;allt
til;til
vetrseto;vetursetu
.;.
oc;og
ifirfærðar;yfirferðar
með;með
ii;tveimur
.;.
c;hundruðum
manna;manna
.;.
Ðetta;Þetta
mal;mál
bar;bar
Haralldr;Haraldur
konongr;konungur
firir;fyrir
raðgiafa;ráðgjafa
sina;sína
.;.
oc;og
syniz;sýnist
hanum;honum
raðlegt;ráðlegt
.;.
at;að
þiggia;þiggja
sva;svo
mikit;mikið
len;lén
af;af
fostrfæðr;fósturföður
sinum;sínum
.;.
en;en
sumir;sumir
sagðu;sögðu
at;að
þat;það
myndi;myndi
vera;vera
svik;svik
.;.
En;En
bꝍndr;bændur
fystu;fýstu
hann;hann
miok;mjög
oc;og
oll;öll
alþyða;alþýða
til;til
.;.
oc;og
taldu;töldu
vera;vera
hit;hið
mesta;mesta
hæilræðe;heilræði
.;.
oc;og
æigi;eigi
kononglegt;konunglegt
at;að
þora;þora
æigi;eigi
at;að
sꝍkia;sækja
æigi;eigi
til;til
vinatto;vináttu
til;til
sliks;slíks
konongs;konungs
sem;sem
Dana;Dana
konongr;konungur
var;var
.;.
En;En
firir;fyrir
þa;þá
sok;sök
at;að
Haralldr;Haraldur
var;var
æigi;eigi
diuphugaðr;djúphugaður
.;.
oc;og
þottezk;þóttist
hafa;hafa
ængan;engan
skaða;skaða
giort;gjört
Dana;Dana
kononge;konungi
.;.
nema;nema
þat;það
er;er
hann;hann
rak;rak
nauðsyn;nauðsyn
til;til
.;þ
þa;þá
færr;fer
Haralldr;Haraldur
til;til
Danmarcar;Danmerkur
.;.
oc;og
hafðe;hafði
.iii;þrjú
.;.
langskip;langskip
.;.
oc;og
.lxxx;átta tigu
.;.
manna;manna
a;á
hværiu;hverju
skipi;skipi
.;.
hann;hann
kom;kom
suðr;suður
til;til
Limafiarðar;Limafjarðar
.;.
oc;og
var;var
þar;þar
staddr;staddur
sem;sem
hæitir;heitir
Hals;Háls
.;.
Gullharalldr;Gullharaldur
var;var
þa;þá
buinn;búinn
með;með
ix;níu
skip;skip
at;að
fara;fara
i;í
hærnað;hernað
oc;og
kꝍmr;kemur
með;með
þesso;þessu
þui;því
allu;öllu
a;á
fund;fund
Harallz;Haralds
Eiriks;Eiríks
sonar;sonar
.;.
Ða;Þá
fann;fann
Haralldr;Haraldur
konongr;konungur
at;að
hann;hann
var;var
svikinn;svikinn
með;með
raðagierð;ráðagjörð
Hakonar;Hákonar
oc;og
tilsætningu;tilsetningu
Harallz;Haralds
Gormssonar;Gormssonar
.;.
oc;og
framkvæmd;framkvæmd
Gullharallz;Gullharalds
.;.
het;hét
þa;þá
a;á
lið;lið
sitt;sitt
oc;og
bað;bað
þa;þá
brægða;bregða
sværðum;sverðum
sinum;sínum
drengilega;drengilega
oc;og
veria;verja
sec;sig
.;.
bra;brá
hann;hann
þa;þá
sinu;sínu
sværði;sverði
oc;og
stoð;stóð
firir;fyrir
framan;framan
mærki;merki
.;.
sva;svo
sæm;sem
sægir;segir
Glumr;Glúmur
Geira;Geira
sun;son
.;.
Eftir;Eftir
þetta;þetta
tokst;tókst
horð;hörð
orrosta;orrusta
oc;og
væittu;veittu
þæir;þeir
Haralldr;Haraldur
mikit;mikið
viðnam;viðnám
.;.
oc;og
þo;þó
æigi;eigi
langt;langt
.;.
firir;fyrir
þui;því
at;að
Gullharalldr;Gullharaldur
bar;bar
þa;þá
ofliði;ofliði
.;.
oc;og
fell;féll
þar;þar
Haralldr;Haraldur
konongr;konungur
.;.
Gunilldar;Gunnhildar
sonr;sonur
.;.
oc;og
mestr;mestur
luti;hluti
liðs;liðs
hans;hans
.;.
oc;og
vann;vann
hann;hann
þo;þó
aðr;áður
mikinn;mikinn
skaða;skaða
a;á
Danum;Dönum
i;í
manndrape;manndrápi
.;.
þesse;þessi
orrasta;orrusta
var;var
a;á
lande;landi
.;.
sva;svo
sem;sem
her;hér
sægir;segir
.;.
I;Í
oðrum;öðrum
stað;stað
talaz;talast
þæir;þeir
við;við
.;.
Haralldr;Haraldur
Dana;Dana
konongr;konungur
oc;og
Hacon;Hákon
Sigurðar;Sigurðar
sun;son
.;.
þa;þá
hafðe;hafði
Hacon;Hákon
buit;búið
skip;skip
sin;sín
til;til
hærnaðar;hernaðar
sem;sem
hann;hann
var;var
vanr;vanur
.;.
oc;og
mællte;mælti
Hacon;Hákon
þa;þá
til;til
Harallz;Haralds
konongs;konungs
.;.
Hærra;Herra
.;.
hværsso;hversu
gete;geti
þer;þér
fara;fara
munu;muni
Gullharallde;Gullharaldi
frenda;frænda
yðrum;yðar
.;.
hvart;hvort
man;mun
Haralldr;Haraldur
frende;frændi
varr;vor
vera;vera
drepenn;drepinn
eða;eða
æigi;eigi
.;.
hann;hann
er;er
vist;víst
goðr;góður
drengr;drengur
.;.
oc;og
rꝍysti;hreysti
maðr;maður
mikill;mikill
.;.
oc;og
mikill;mikill
vinr;vinur
yðar;yðar
.;.
oc;og
æigi;eigi
myndi;myndi
hann;hann
þessar;þessar
velar;vélar
af;af
yðr;yður
vara;vara
.;.
þa;þá
svaraðe;svaraði
Dana;Dana
konongr;konungur
.;.
þetta;þetta
er;er
satt;satt
at;að
vist;víst
er;er
þetta;þetta
illt;illt
værk;verk
at;að
drepa;drepa
knesætning;knésetning
varn;vorn
.;.
Ða;Þá
mællte;mælti
Hacon;Hákon
.;.
Hversso;Hversu
truan;trúan
ætla;ætli
þer;þér
yðr;yður
hærra;herra
munu;munu
vera;vera
Gullharalld;Gullharaldur
ef;ef
hann;hann
sæzk;sest
i;í
Noregs;Noregs
vælldi;veldi
oc;og
tækr;tekur
þar;þar
konongs;konungs
namn;nafn
.;.
kann;kann
vera;vera
at;að
ver;vér
roem;róum
læiðangrenn;leiðangurinn
oc;og
gialldem;gjöldum
vitit;vitið
með;með
varom;vorum
raðom;ráðum
.;.
en;en
siom;sjáum
ver;vér
ænn;enn
þat;það
rað;ráð
hærra;herra
at;að
coma;koma
mætte;mætti
Noregs;Noregs
riki;ríki
undir;undir
yðr;yður
.;.
Gormr;Gormur
faðer;faðir
yðar;yðar
æignaðest;eignaðist
mikit;mikið
riki;ríki
.;.
þat;það
er;er
æigi;eigi
hafðe;hafði
hans;hans
faðer;faðir
att;átt
.;.
Hvært;Hvert
riki;ríki
skulu;skuluð
þer;þér
hærra;herra
þat;það
fa;fá
er;er
sva;svo
mikit;mikið
se;sé
eða;eða
mæira;meira
en;en
Danmarcar;Danmerkur
er;er
faðer;faðir
yðar;yðar
vann;vann
undir;undir
sik;sig
.;.
þat;það
være;væri
nu;nú
hofðingia;höfðingja
bragð;bragð
at;að
æignast;eignast
Noregh;Noreg
.;.
oc;og
hæfna;hefna
fostrsonar;fóstursonar
sins;síns
.;.
konongr;konungur
svaraðe;svaraði
.;.
æigi;eigi
byriar;byrjar
oss;oss
at;að
drepa;drepa
broðor;bróður
sun;son
varn;vorn
.;.
Hacon;Hákon
svaraðe;svaraði
.;.
ek;ég
ma;má
yðr;yður
launa;launa
friðland;friðland
hærra;herra
oc;og
gott;gott
ivirlæte;yfirlæti
.;.
oc;og
goðar;góðar
giafer;gjafir
er;er
þer;þér
haveð;hafið
mer;mér
væit;veitt
.;.
með;með
þui;því
.;.
at;að
vinna;vinna
Noregh;Noreg
allan;allan
a;á
æinum;einum
degi;degi
unndir;undir
yðr;yður
.;.
en;en
þer;þér
gefeð;gefið
mer;mér
til;til
forræðes;forræðis
lanndet;landið
.;.
oc;og
hafet;hafið
slican;slíkan
skatt;skatt
af;af
sem;sem
ver;vér
sættomk;sættumst
a;á
.;.
oc;og
gierðomk;gerðist
ec;ég
maðr;maður
yðar;yðar
.;.
þetta;þetta
rað;ráð
likar;líkar
væl;vel
Danakononge;Danakonungi
.;.
oc;og
binnda;binda
þæir;þeir
nu;nú
með;með
ser;sér
fastmæle;fastmæli
.;.
Siðan;Síðan
fær;fær
Hacon;Hákon
með;með
xv;fimmtán
skipum;skipum
sem;sem
hann;hann
var;var
vanr;vanur
at;að
hafa;hafa
i;í
hærnaðe;hernaði
a;á
fund;fund
Gullharallz;Gullharalds
oc;og
funnuz;fundust
þæir;þeir
litlu;litlu
siðar;síðar
.;.
en;en
Haralldr;Haraldur
Eirikssun;Eiríksson
var;var
fallenn;fallinn
.;.
Hacon;Hákon
læggr;leggur
þegar;þegar
at;að
Gullharallde;Gullharaldi
oc;og
varð;varð
þar;þar
horð;hörð
orrasta;orrusta
.;.
oc;og
fell;féll
þar;þar
Gullharalldr;Gullharaldur
oc;og
flest;flest
lið;lið
hans;hans
.;.
en;en
sumt;sumt
flyði;flýði
undan;undan
.;.
Hacon;Hákon
toc;tók
gull;gull
þat;það
allt;allt
er;er
Gullharalldr;Gullharaldur
hafðe;hafði
att;átt
oc;og
fengit;fengið
a;á
utlanndum;útlöndnum
.;.
oc;og
var;var
þat;það
sva;svo
mikit;mikið
at;að
æigi;eigi
varo;voru
dꝍme;dæmi
til;til
at;að
æinn;einn
maðr;maður
hæfði;hefði
iammikit;jafnmikið
att;átt
a;á
Norðrlanndum;Norðurlöndum
.;.
Eftir;Eftir
þetta;þetta
for;fór
Hacon;Hákon
a;á
funnd;fund
Dana;Dana
konongs;konungs
oc;og
sættiz;sættist
við;við
hann;hann
auðvællega;auðveldlega
um;um
drap;dráp
frenda;frænda
hans;hans
.;.
þat;það
sama;sama
sumar;sumar
for;fór
Haralldr;Haraldur
Gormssunr;Gormssonur
i;í
Noregh;Noregi
með;með
allan;allan
Dana;Dana
hær;her
.;.
oc;og
firir;fyrir
hanum;honum
stok;stökk
or;úr
lannde;landi
Gunnilldr;Gunnhildur
oc;og
synir;synir
hennar;hennar
væstr;vestur
a;á
Skotlannd;Skotland
.;.
þa;þá
eignaðezk;eignaðist
Haralldr;Haraldur
Gorms;Gorms
sunr;sonur
allt;allt
Noregs;Noregs
riki;ríki
.;.
oc;og
sætti;setti
hann;hann
Hacon;Hákon
til;til
giæzlo;gæslu
lannzens;landsins
austr;austur
til;til
Liðendis;Líðandis
