Vm;Um
allt;allt
unndan;undan
hanum;honum
svikit;svikið
.;.
þa;þá
giek;gekk
Olafr;Ólafur
konongr;konungur
af;af
skipum;skipum
sinum;sínum
þar;þar
sem;sem
hæitir;heitir
Slygs;Slygs
fiorðr;fjörður
.;.
oc;og
for;fór
þaðan;þaðan
a;á
Upplonnd;Upplönd
.;.
Aðr;Áður
en;en
Olafr;Ólafur
konongr;konungur
fꝍre;færi
or;úr
lannde;landi
skilldist;skildist
Eggiar-Kalfr;Eggjar-Kálfur
við;við
hann;hann
.;.
oc;og
for;fór
norðr;norður
til;til
bua;búa
sinna;sinna
.;.
en;en
aller;allir
aðrer;aðrir
brꝍðr;bræður
hans;hans
fylgðu;fylgdu
Olafe;Ólafi
kononge;konungi
.;.
með;með
hanum;honum
for;fór
oc;og
Ragnvalldr;Rögnvaldur
Brusa;Brúsa
sunr;sonur
.;.
er;er
siðan;síðan
varð;varð
iarll;jarl
i;í
Orknꝍyium;Orkneyjum
.;.
Menn;Menn
Haconar;Hákonar
iarls;jarls
toco;tóku
skip;skip
Olafs;Ólafs
konongs;konungs
.;.
oc;og
þa;þá
lutaðu;hlutuðu
þæir;þeir
skipstiorn;skipstjórn
með;með
ser;sér
.;.
Sa;Sá
maðr;maður
laut;hlaut
at;að
styra;stýra
Skæggianum;Skeggjunum
er;er
Iocull;Jökull
het;hét
.;.
oc;og
hann;hann
orte;orti
visu;vísu
þessa;þessa
.;.
Ða;Þá
er;er
.xiii;þrettán
.;
vætr;vetur
varo;voru
liðnir;liðnir
fra;frá
Nesia;Nesja
orrostu;orrustu
for;fór
Olafr;Ólafur
konongr;konungur
or;úr
lannde;landi
.;.
hann;hann
var;var
austr;austur
i;í
Neriki;Neríki
.;.
oc;og
dvaldest;dvaldist
þar;þar
um;um
rið;hríð
með;með
Sigtryggi;Sigtryggi
faðr;föður
Ivars;Ívars
faður;föður
Suna;Suna
faðr;föður
Karls;Karls
iarls;jarls
.;.
oc;og
þa;þá
er;er
vara;vora
toc;tók
oc;og
isa;ísa
lꝍysti;leysti
.;.
for;fór
Olafr;Ólafur
konongr;konungur
ut;út
i;í
Sviðioð;Svíþjóð
a;á
funnd;fund
Onundar;Önundar
konongs;konungs
mags;mágs
sins;síns
.;.
hann;hann
gaf;gaf
Olafe;Ólafi
kononge;konungi
skip;skip
.;.
oc;og
for;fór
hann;hann
siðan;síðan
austr;austur
i;í
Garða;Garða
riki;ríki
a;á
funnd;fund
Iaruzleifs;Jarisleifs
konongs;konungs
.;.
oc;og
fecc;fékk
þar;þar
goðar;góðar
viðtakr;viðtökur
.;.
var;var
þar;þar
annan;annan
vetr;vetur
oc;og
hafðe;hafði
þar;þar
Magnus;Magnús
sun;son
sinn;sinn
með;með
ser;sér
.;.
hans;hans
moðer;móðir
het;hét
Alvilldr;Álhildur
.;.
A;Á
þeirri;þeirri
stundu;stundu
er;er
Olafr;Ólafur
konongr;konungur
dvaldest;dvaldist
i;í
Garða;Garða
riki;ríki
foro;fóru
marger;margir
vinir;vinir
hans;hans
æftir;eftir
hanum;honum
norðan;norðan
or;úr
Norege;Noregi
.;.
oc;og
spurði;spurði
hann;hann
oll;öll
tiðendi;tíðindi
þau;þau
er;er
gerðuz;gerðust
i;í
lanndeno;landinu
.;.
þat;það
sumar;sumar
er;er
Olafr;Ólafur
konongr;konungur
for;fór
i;í
Austrriki;Austurríki
.;.
þa;þá
for;fór
Hacon;Hákon
iarl;jarl
vestr;vestur
til;til
Englanz;Englands
æftir;eftir
festar;festar
mꝍy;mey
sinni;sinni
.;.
en;en
þa;þá
er;er
hann;hann
for;fór
vestan;vestan
með;með
langskipi;langskipi
com;kom
at;að
hanum;honum
stormr;stormur
veðrs;veðurs
.;.
oc;og
tyndist;týndist
iarllenn;jarlinn
oc;og
oll;öll
skipsoknen;skipsóknin
.;.
oc;og
komo;komu
þessi;þessi
tiðendi;tíðindi
um;um
haustet;haustið
til;til
Noregs;Noregs
.;.
oc;og
sama;sama
haust;haust
æftir;eftir
como;komu
þau;þau
aftr;aftur
til;til
Englanz;Englands
.;.
Ðat;Það
sumar;sumar
for;fór
Eggiar-Kalfr;Eggjar-Kálfur
væstr;vestur
til;til
Englanz;Englands
at;að
orðsending;orðsending
Knuz;Knúts
konongs;konungs
.;.
oc;og
aðr;áður
en;en
hann;hann
fꝍre;færi
væstan;vestan
andværðan;öndverðan
vetrenn;veturinn
fecc;fékk
hann;hann
þat;það
af;af
Knuti;Knúti
kononge;konungi
at;að
með;með
þui;því
at;að
hann;hann
helldi;héldi
upp;upp
orrastu;orrustu
i;í
mote;móti
Olafe;Ólafi
kononge;konungi
ef;ef
hann;hann
cꝍme;kæmi
aftr;aftur
i;í
lannd;land
oc;og
fengi;fengi
hann;hann
halldet;haldið
firir;fyrir
hanum;honum
rikinu;ríkinu
.;.
þa;þá
skylldi;skyldi
Kalfr;Kálfur
vera;vera
iarll;jarl
ifir;yfir
landeno;landinu
.;.
oc;og
hallda;halda
af;af
Knute;Knúti
kononge;konungi
sem;sem
Hacon;Hákon
iarll;jarl
hafðe;hafði
halldet;haldið
af;af
Harallde;Haraldi
Gorms;Gorms
syni;syni
.;.
Sva;Svo
segir;segir
Biarne;Bjarni
Gullbrar;Gullbrár
scald;skáld
.;.
Æftir;Eftir
þetta;þetta
sendu;sendu
vinir;vinir
Olafs;Ólafs
konongs;konungs
hanum;honum
orð;orð
at;að
þa;þá
var;var
landet;landið
hofðingialaust;höfðingjalaust
.;.
oc;og
baðo;báðu
hann;hann
aftr;aftur
fara;fara
til;til
rikis;ríkis
sins;síns
.;.
Olafr;Ólafur
konongr;konungur
skipaðez;skipaðist
við;við
orðsending;orðsendingu
þæirra;þeirra
.;.
oc;og
gierðe;gerði
færð;ferð
sina;sína
æftir;eftir
iol;jól
.;.
sætti;setti
þar;þar
æftir;eftir
Magnus;Magnús
sun;son
sinn;sinn
til;til
forstr;fóstur
með;með
Iaruzleivi;Jarisleifi
kononge;konungi
.;.
en;en
hann;hann
sialfr;sjálfur
oc;og
lið;lið
hans;hans
for;fór
austan;austan
at;að
isum;ísum
um;um
vætrenn;veturinn
allt;allt
til;til
hafs;hafs
.;.
en;en
þa;þá
er;er
vara;vora
toc;tók
for;fór
hann;hann
ifir;yfir
hafet;hafið
oc;og
sva;svo
til;til
Sviðioðar;Svíþjóðar
til;til
Onundar;Önundar
konongs;konungs
mags;mágs
sins;síns
.;.
oc;og
fecc;fékk
hann;hann
hanum;honum
lið;lið
.;.
oc;og
þaðan;þaðan
for;fór
hann;hann
til;til
Hælsingialanz;Helsingjalands
oc;og
var;var
þat;það
mikil;mikil
vasfærð;vásferð
.;.
foro;fóru
um;um
marker;markir
oc;og
votn;vötn
.;.
oc;og
baro;báru
margum;morgum
staðum;stöðum
skip;skip
sin;sín
a;á
herðum;herðum
ser;sér
milli;milli
vatnanna;vatnanna
oc;og
comoz;komust
með;með
miklu;miklu
ærveðe;erfiði
fram;fram
.;.
Ða;Þá
er;er
Olafr;Ólafur
konongr;konungur
var;var
comenn;kominn
or;úr
Svia;Svía
velldi;veldi
leitaðe;leitaði
hann;hann
æftir;eftir
um;um
lið;lið
sitt;sitt
.;.
oc;og
fundust;fundust
i;í
liðinu;liðinu
.ix;níu
.;
.c;hundruð
.;
heiðinna;heiðinna
manna;manna
.;.
oc;og
bað;bað
þa;þá
alla;alla
aftr;aftur
fara;fara
er;er
eigi;eigi
villdu;vildu
lata;láta
skirast;skírast
.;.
oc;og
lezk;lést
æigi;eigi
vilia;vilja
sꝍkia;sækja
lannd;land
með;með
heiðnum;heiðnum
hær;her
.;.
oc;og
toco;tóku
þa;þá
.v;fimm
.;
.c;hundruð
.;
manna;manna
við;við
skyrn;skírn
en;en
.iiii;fjögur
.;
.c;hundruð
.;
hurfu;hurfu
aftr;aftur
.;.
Olafr;Ólafur
konongr;konungur
kom;kom
ofan;ofan
a;á
Sulo;Súlu
i;í
Veradale;Veradali
.;.
for;fór
þaðan;þaðan
ut;út
til;til
Stiklastaða;Stiklastaða
.;.
Þar;Þar
var;var
þa;þá
með;með
hanum;honum
Haralldr;Haraldur
broðer;bróðir
hans;hans
.;.
oc;og
var;var
þa;þá
.xv;fimmtán
.;
vetra;vetra
gamall;gamall
.;.
Sva;Svo
segir;segir
Þioðolfr;Þjóðólfur
.;.
Þar;Þar
var;var
oc;og
Sigurðr;Sigurður
biskup;biskup
.;.
Ragnvalldr;Rögnvaldur
Brusa;Brúsa
sunr;sonur
.;.
Finnr;Finnur
Arna;Arnar
sunr;sonur
.;.
Þorbergr;Þórbergur
oc;og
Arne;Árni
.;.
Kolbiorn;Kolbjörn
.iiii;fjórir
.;
Arnasynir;Arnarsynir
.;.
Dagr;Dagur
frende;frændi
konongs;konungs
var;var
æigi;eigi
comenn;kominn
.;.
Ðar;Þar
com;kom
i;í
mote;móti
hanum;honum
bonda;bænda
hær;her
.;.
Holꝍygir;Háleygir
.;.
Þrꝍnder;Þrændir
.;.
Mꝍrer;Mærir
.;.
oc;og
allt;allt
firir;fyrir
norðan;norðan
Stað;Stað
.;.
þesser;þessir
varo;voru
hofðingiar;höfðingjar
firir;fyrir
bondom;bændum
.;.
Kalfr;Kálfur
Arnasunr;Arnarsonur
.;.
Harekr;Hárekur
or;úr
Þiotto;Þjóttu
.;.
Þorer;Þórir
hundr;hundur
.;.
Erlendr;Erlendur
i;í
Giærði;Gerði
.;.
Aslakr;Áslákur
i;í
Finnꝍy;Finney
.;.
oc;og
mestr;mestur
lutr;hlutur
lændra;lendra
manna;manna
firir;fyrir
norðan;norðan
Stað;Stað
.;.
Olafr;Ólafur
konongr;konungur
mællte;mælti
til;til
Harallz;Haralds
broðor;bróður
sins;síns
.;.
bað;bað
hann;hann
æigi;eigi
vera;vera
i;í
orrostunni;orrustunni
.;.
þui;því
at;at
hanum;honum
þotte;þótti
sem;sem
hann;hann
være;væri
æigi;eigi
vapnfꝍr;vopnfær
.;.
Haralldr;Haraldur
svaraðe;svaraði
oc;og
cvað;kvað
visu;vísu
.;.
Ðar;Þar
var;var
orrasta;orrusta
horð;hörð
oc;og
mikil;mikil
.;.
þar;þar
fell;féll
Olafr;Ólafur
hinn;hinn
hælgi;helgi
konongr;konungur
oc;og
mart;margt
lið;lið
hans;hans
.;.
Biorn;Björn
stallare;stallari
.;.
Kolbiorn;Kolbjörn
Arnasunr;Árnasonur
en;en
marger;margir
comozk;komust
nauðulega;nauðulega
undan;undan
.;.
Haralldr;Haraldur
Sigurðar;Sigurðar
sunr;sonur
var;var
sar;sár
miok;mjög
.;.
Ragnvalldr;Rögnvaldur
Brusasunr;Brúsasonur
Dagr;Dagur
Ringssunr;Hringssonur
dreifðuzk;dreifðust
æftir;eftir
þetta;þetta
a;á
ukunn;ókunn
lonnd;lönd
.;.
Mikill;Mikill
fioldi;fjöldi
fell;féll
oc;og
af;af
bondom;böndum
.;.
oc;og
marger;margir
goðer;góðir
menn;menn
.;.
æftir;eftir
fall;fall
Olafs;Ólafs
konongs;konungs
var;var
lik;lík
hans;hans
flutt;flutt
ut;út
til;til
Kaupangs;Kaupangs
oc;og
þar;þar
iarðat;jarðað
.;.
oc;og
urðu;urðu
þa;þá
þegar;þegar
margar;margar
iartegnir;jartegnir
hvartvæggia;hvor tveggja
af;af
bloðe;blóði
hans;hans
oc;og
licame;líkama
.;
