Ða;Þá
liop;hljóp
undan;undan
.;.
oc;og
sagðe;sagði
at;að
Vagn;Vagn
var;var
smabæitr;smábeittur
er;er
hann;hann
hio;hjó
æigi;eigi
mæir;meir
en;en
hond;hönd
af;af
manne;manni
þæim;þeim
er;er
firir;fyrir
stoð;stóð
.;.
Geirmundr;Geirmundur
hitti;hitti
Hacon;Hákon
iarl;jarl
at;að
væizlu;veislu
þar;þar
sem;sem
hæitir;heitir
a;á
Skugga;Skugga
.;.
oc;og
þar;þar
var;var
Eirikr;Eiríkur
iarll;jarl
sunr;sonur
hans;hans
.;.
þa;þá
gieck;gekk
Geirmundr;Geirmundur
firir;fyrir
iarlenn;jarlinn
.;.
þa;þá
sat;sat
iarll;jarl
ifir;yfir
borðom;borðum
.;.
oc;og
kvadde;kvaddi
hann;hann
.;.
Iarlenn;Jarlinn
spurði;spurði
tiðenda;tíðinda
.;.
Geirmundr;Geirmundur
svaraðe;svaraði
ero;eru
tiðendi;tíðindi
.;.
Iarlenn;Jarlinn
svaraðe;svaraði
.;.
lat;lát
goð;góð
vera;vera
.;.
vist;víst
ero;eru
æigi;eigi
goð;góð
.;.
sagðe;sagði
Geirmundr;Gerimundur
.;.
oc;og
þo;þó
sonn;sönn
.;.
let;lét
væra;vera
comenn;kominn
hær;her
i;í
landet;landið
or;úr
Danmorku;Danmörku
.;.
oc;og
unnit;unnið
mikinn;mikinn
skaða;skaða
a;á
yðru;yðar
riki;ríki
hærra;herra
.;.
Hacon;Hákon
svaraðe;svaraði
ræiðr;reiður
.;.
þesse;þessi
tiðendi;tíðindi
ero;eru
illa;illa
logen;login
oc;og
firir;fyrir
langu;löngu
myndi;myndi
Noregr;Noregur
auðr;auður
ef;ef
Daner;Danir
hæfði;hefðu
hæriat;herjað
hvært;hvert
sinni;sinn
i;í
Noregh;Noregi
.;.
er;er
þer;þér
sægið;segið
.;.
oc;og
æigi;eigi
munu;munu
þer;þér
fyrr;fyrr
af;af
lata;láta
en;en
noccor;nokkur
hanger;hangir
uppi;uppi
sa;sá
er;er
slikt;slíkt
sægir;segir
.;.
Geirmundr;Geirmundur
sægir;segir
far;fáar
vikr;vikur
munu;munu
liða;líða
heðan;héðan
i;í
fra;frá
fyrr;fyrr
en;en
þer;þér
munuð;munuð
rꝍyna;reyna
.;.
oc;og
bra;brá
upp;upp
hanndar;handar
stufenom;stúfinum
oc;og
lez;lést
með;með
þui;því
mega;mega
sanna;sanna
sagu;sögu
sina;sína
oc;og
flæirum;fleirum
sarom;sárum
.;.
Nu;Nú
fær;fær
Hacone;Hákoni
iarlle;jarli
ahyggiu;áhyggju
oc;og
allu;öllu
hans;hans
raðonꝍyti;ráðuneyti
.;.
var;var
þat;það
fyst;fyrst
raðs;ráðs
tækit;tekið
at;að
skiota;skjóta
upp;upp
vitum;vitum
oc;og
orvar;örvar
skurðum;skurðum
.;.
oc;og
skipfærðum;skipferðum
.;.
oc;og
bauð;bauð
til;til
sin;sín
hværium;hverjum
manne;manni
.;.
er;er
þorðe;þorði
at;að
væria;verja
sik;sig
oc;og
fe;fé
sitt;sitt
.;.
Hacon;Hákon
iarll;jarl
fær;fer
æinskipa;einskipa
ut;út
oc;og
inn;inn
æftir;eftir
hværium;hverjum
fyrði;firði
.;.
oc;og
vissi;vissi
ængi;enginn
hans;hans
nattstað;náttstað
.;.
oc;og
ængi;enginn
hans;hans
orvæne;úrvæni
.;.
Liðet;Liðið
samnaðest;safnaðist
saman;saman
i;í
storflokka;stórflokka
þat;það
allt;allt
er;er
fyrst;fyrst
var;var
comet;komið
.;.
oc;og
first;fyrst
var;var
vikingunum;víkingunum
.;.
en;en
þæir;þeir
er;er
næster;næstir
varo;voru
ufriðinum;ófriðinum
.;.
flya;flýja
undan;undan
.;.
oc;og
til;til
at;að
æfla;efla
hærenn;herinn
með;með
Hacone;Hákoni
iarle;jarli
oc;og
Eiriki;Eiríki
syni;syni
hans;hans
.;.
Iomsvikingar;Jómsvíkingar
sꝍkia;sækja
norðr;norður
með;með
lannde;landi
oc;og
fa;fá
ækki;ekki
viðr;viður
nam;nám
.;.
þæir;þeir
como;komu
allu;öllu
liði;liði
sinu;sínu
norðr;norður
um;um
Stað;Stað
.;.
sigla;sigla
fyrst;fyrst
til;til
Hærꝍyia;Hereyja
oc;og
hafa;hafa
þaðan;þaðan
fretter;fréttir
oc;og
niosn;njósn
fra;frá
Hacone;Hákoni
iarle;jarli
oc;og
fregna;fregna
ækki;ekki
annat;annað
til;til
hans;hans
en;en
hann;hann
se;sé
inn;inn
i;í
fiorðum;fjörðum
stundum;stundum
norðr;norður
stundum;stundum
suðr;suður
.;.
þæir;þeir
læggia;leggja
hærrenom;herinum
inn;inn
af;af
þioðlæið;þjóðleið
oc;og
utan;utan
at;að
ꝍy;ey
þæirri;þeirri
er;er
Hoð;Höð
æitir;heitir
.;.
toco;tóku
þar;þar
strandhogg;strandhögg
a;á
skip;skip
sin;sín
.;.
Bui;Búi
digri;digri
með;með
svæit;sveit
sinni;sinni
hafðe;hafði
upp;upp
giængit;gengið
oc;og
rako;ráku
þæir;þeir
til;til
skipa;skipa
bu;bú
mart;margt
firir;fyrir
ser;sér
.;.
til;til
þæirra;þeirra
com;kom
æinn;einn
gamall;gamall
boande;bóndi
oc;og
kallaðe;kallaði
a;á
vikingana;víkingana
.;.
þer;þér
fareð;farið
æigi;eigi
hermannlega;hermannlega
a;á
okunnu;ókunnu
lannde;landi
oc;og
langt;langt
til;til
sott;sótt
.;.
oc;og
ero;eruð
þer;þér
aburðar;áburðar
menn;menn
miklir;miklir
oc;og
vilið;viljið
auka;auka
namn;nafn
yðar;yðar
i;í
þesse;þessi
for;för
.;.
þer;þér
takeð;takið
kið;kið
oc;og
kalfa;kálfa
gæitr;geitir
oc;og
kyr;kýr
.;.
oc;og
være;væri
mæiri;meiri
yðar;yðar
frame;frami
at;að
lata;láta
vera;vera
buet;búið
.;.
oc;og
taka;taka
hælldr;heldur
biornen;björninn
er;er
nalega;nálega
man;mun
nu;nú
komen;kominn
a;á
biarnbasenn;bjarnbásinn
ef;ef
þer;þér
faeð;fáið
stilltan;stilltan
.;.
þa;þá
svaraðe;svaraði
Bui;Búi
fra;frá
hværium;hverjum
birni;birni
sægir;segir
þu;þú
maðr;maður
.;.
þæim;þeim
er;er
oss;oss
man;mun
vera;vera
happ;happ
at;að
væiða;veiða
.;.
Boandenn;Bóndinn
svaraðe;svaraði
.;.
sa;sá
en;hinn
same;sami
biorn;björn
.;.
ef;ef
nu;nú
væiði;veiðið
þer;þér
hann;hann
æigi;eigi
.;.
þa;þá
man;mun
hann;hann
alla;alla
yðr;yður
i;í
munni;munni
hafa;hafa
fyrr;fyrr
en;en
langt;langt
se;sé
heðan;héðan
.;.
þa;þá
svaraðe;svaraði
Bui;Búi
.;.
sæg;seg
oss;oss
buannde;bóndi
goð;góð
tiðendi;tíðindi
oc;og
sonn;sönn
.;.
þau;þau
er;er
oss;oss
er;er
skyllt;skylt
at;að
vita;vita
.;.
en;en
ver;vér
munum;munum
þer;þér
þat;það
væl;vel
launa;launa
.;.
þa;þá
svaraðe;svaraði
bonde;bóndi
.;.
vilið;viljið
þer;þér
mer;mér
væl;vel
launa;launa
eða;eða
ængu;engu
þa;þá
ma;má
ec;ég
yðr;yður
sægia;segja
til;til
Haconar;Hákonar
iarls;jarls
hvar;hvar
hann;hann
liggr;liggur
inn;inn
a;á
Ælftrum;Elftrum
oc;og
væit;veit
ec;ég
æigi;eigi
hvart;hvort
hann;hann
hæfir;hefur
æit;eitt
skip;skip
eða;eða
ii;tvö
en;en
æigi;eigi
ero;eru
flæiri;fleiri
en;en
iii;þrjú
oc;og
i;í
dag;dag
var;var
hann;hann
æigi;eigi
norðr;norður
roenn;róinn
til;til
liðs;liðs
sins;síns
.;.
oc;og
ætlom;ætlum
ver;vér
at;að
vera;vera
man;mun
fæigr;
er;er
hann;hann
færr;fer
sva;svo
uvarlega;óvarlega
.;.
oc;og
vist;víst
hæfir;hefur
hann;hann
ækki;ekki
til;til
yðar;yðar
freget;frétt
.;.
æigi;eigi
fꝍre;færi
hann;hann
sva;svo
ella;ella
.;.
þa;þá
mællte;mælti
Bui;Búi
til;til
sinna;sinna
manna;manna
.;.
ofan;ofan
hart;hart
til;til
skipa;skipa
oc;og
verom;verum
næster;næstir
sigrinum;sigrinum
oc;og
niotom;njótum
þess;þess
at;að
ver;vér
hafum;höfum
fyrstir;fyrstir
niosn;njósn
af;af
.;.
sa;sá
liop;hljóp
þa;þá
mest;mest
er;er
fimastr;fimastur
var;var
.;.
en;en
bondenn;bóndinn
væik;veik
aftr;aftur
buinu;búinu
um;um
ꝍyna;eyna
.;.
Bui;Búi
bað;bað
menn;menn
sina;sína
sla;slá
festum;festum
oc;og
læggia;leggja
ut;út
skipum;skipum
fra;frá
lannde;landi
.;.
let;lét
blasa;blása
i;í
luðr;lúður
at;að
liðet;liðið
skylldi;skyldi
skunnda;skunda
.;.
Sigvallde;Sigvaldi
iarl;jarl
spurði;spurði
hvært;hvert
Bui;Búi
vill;vill
roa;róa
.;.
eða;eða
hvat;hvað
hann;hann
hæfir;hefir
freget;frétt
til;til
Haconar;Hákonar
iarls;jarls
.;.
Bui;Búi
svaraðe;svaraði
oc;og
biðr;biður
þa;þá
alla;alla
roa;róa
lezk;lést
ætla;ætla
at;að
þann;þann
dag;dag
sculu;skulu
þæir;þeir
fa;fá
tækit;tekið
i;í
halann;halann
a;á
refenom;refinum
er;er
nu;nú
dregr;dregur
skaftet;skaftið
inn;inn
her;hér
með;með
lannde;landi
.;.
þa;þá
svaraðe;svaraði
Sigvallde;Sigvaldi
iarl;jarl
æigi;eigi
hæfir;hefir
þu;þú
ænn;enn
tækit;tekið
i;í
halann;halann
hanum;honum
oc;og
vænna;vænna
þykki;þykir
mer;mér
at;að
þu;þú
mant;munt
vera;vera
gintr;ginntur
.;.
þa;þá
svaraðe;svaraði
Bui;Búi
.;.
æigi;eigi
mantu;muntu
þora;þora
at;að
bæriast;berjast
við;við
Hacon;Hákon
iarl;jarl
ef;ef
þu;þú
finnr;finnur
hann;hann
með;með
hærr;her
sinn;sinn
.;.
ef;ef
þu;þú
þorer;þorir
æigi;eigi
at;að
læggia;leggja
til;til
lx;sex tigur
skipa;skipa
oc;og
hæfir;hefir
hann;hann
nu;nú
et;hið
flesta;flesta
æin;ein
iii;þrjú
skip;skip
.;.
Bui;Búi
het;hét
fast;fast
a;á
menn;menn
sina;sína
at;að
roa;róa
skylldi;skyldi
.;.
Vagn;Vagn
var;var
oc;og
albuinn;albúinn
.;.
þa;þá
bað;bað
Sigvallde;Sigvaldi
sla;slá
festum;festum
oc;og
foro;fóru
allu;öllu
liðinu;liðinu
inn;inn
firir;fyrir
norðan;noraðan
ꝍyna;eyna
Hoð;Höð
.;.
oc;og
var;var
litit;lítið
veðr;veður
a;á
.;.
þa;þá
mællte;mælti
Sigvallde;Sigvaldi
.;.
vera;vera
kann;kann
þat;það
at;að
Bui;Búi
digri;digri
gange;gangi
sialfr;sjálfur
a;á
biarnbasenn;bjarnbásinn
þann;þann
er;er
hann;hann
hugðiz;hugðist
væiða;veiða
myndu;myndi
Hacon;Hákon
iarl;jarl
.;.
Sva;Svo
fær;fer
hann;hann
sem;sem
fæigr;feigur
maðr;maður
.;.
Bui;Búi
for;fór
fyrst;fyrst
með;með
sinu;sínu
liði;liði
.;.
En;En
þa;þá
Vagn;Vagn
.;.
þa;þá
Sigvallde;Sigvaldi
.;.
Ðæir;Þeir
foro;fóru
inn;inn
til;til
þess;þess
er;er
þæir;þeir
como;komu
i;í
Hiorunga;Hjörunga
vag;vog
.;.
þar;þar
hittu;hittu
þæir;þeir
firir;fyrir
Hacon;Hákon
iarl;jarl
æigi;eigi
æinskipa;einskipa
hælldr;heldur
með;með
halft;hálft
annat;annað
c;hundrað
skipa;skipa
.;.
þat;það
varo;voru
snækkiur;snekkjur
oc;og
skæiðar;skeiðar
.;.
knerror;knerrir
oc;og
kaupskip;kaupskip
er;er
Hacon;Hákon
iarl;jarl
hafðe;hafði
fengit;fengið
er;er
ha;há
varo;voru
borðe;borði
.;.
oc;og
oll;öll
væl;vel
skipað;skipuð
af;af
mannum;mönnum
.;.
vapnom;vopnum
oc;og
griote;grjóti
.;.
Ðar;Þar
var;var
með;með
hanum;honum
hinn;hinn
fyrsti;fyrsti
rikr;ríkur
maðr;maður
.;.
Eirikr;Eiríkur
iarll;jarl
sun;sonur
hans;hans
.;.
Svæinn;Sveinn
oc;og
Sigurðr;Sigurður
.;.
oc;og
Ærlingr;Erlingur
synir;synir
Haconar;Hákonar
iarls;jarls
.;.
oc;og
þo;þó
æigi;eigi
sammꝍdder;sammæddir
við;við
Æirik;Eirík
.;.
þæir;þeir
styrðu;stýrðu
þa;þá
aller;allir
skipum;skipum
.;.
þetta;þetta
sægir;segir
Þorðr;Þórður
Kolbæins;Kolbeins
sunr;sonur
i;í
kvæðe;kvæði
er;er
hann;hann
orte;orti
um;um
Eirik;eirík
iarll;jarl
.;
