(Þ)ᴀ;Þá
Gyrgir;Gyrgit
syndi;sýndi
lut;hlut
sinn;sinn
.;.
þa;þá
marcaðe;markaði
Haralldr;Haraldur
lut;hlut
sinn;sinn
sva;svo
lict;líkt
at;að
æigi;eigi
matte;mátti
kænna;kenna
hvar;hvar
var;var
.;.
oc;og
castaðu;köstuðu
baðom;báðum
i;í
skaut;skaut
hærtoganum;hertoganum
.;.
oc;og
toc;tók
Haralldr;HAraldur
til;til
lutanna;hlutanna
oc;og
mællte;mælti
sva;svo
er;er
hann;hann
toc;tók
til;til
.;.
Ðesse;Þessi
scal;skal
fyrri;fyrri
tiallda;tjalda
.;.
fyrri;fyrri
riða;ríða
.;.
fyrri;fyrri
roa;róa
.;.
fyrri;fyrri
til;til
hafnar;hafnar
leggia;leggja
.;.
leit;leit
a;á
lutenn;hlutinn
oc;og
mællte;mælti
.;.
þetta;þetta
er;er
var;var
lutr;hlutur
Væringia;Væringja
.;.
flꝍygir;fleygir
ut;út
lutenom;hlutinum
a;á
sioenn;sjóinn
er;er
þar;þar
var;var
nær;nær
.;.
þa;þá
mælte;mælti
Gyrgir;Gyrgir
.;.
hvi;hví
lezto;léstu
mec;mig
æigi;eigi
sia;sjá
lutenn;hlutinn
.;.
Haralldr;Haraldur
svaraðe;svaraði
.;.
ef;ef
þu;þú
sat;sást
eigi;eigi
þann;þann
er;er
ec;ég
toc;tók
upp;upp
.;.
se;sjá
þann;þann
er;er
æftir;eftir
liggr;liggur
.;.
hvart;hvort
þit;þitt
mark;mark
er;er
a;á
þeim;þeim
eða;eða
eigi;eigi
.;.
þa;þá
var;var
lutrenn;hluturinn
kændr;kenndur
oc;og
var;var
þar;þar
a;á
marc;mark
Gyrgis;Gyrgis
.;.
i;í
þuilicum;þvílíkum
viðr;við
skiftum;skiptum
fanz;fannst
hversso;hversu
framgiarn;framgjarn
Haralldr;Haraldur
var;var
.;.
oc;og
aburðarsamr;áburðarsamur
.;.
Nu;Nú
foro;fóru
þæir;þeir
um;um
sumaret;sumarið
oc;og
hæriaðu;herjuðu
.;.
toco;tóku
þa;þá
Væringiar;Væringjar
þat;það
at;að
tala;tala
at;að
myklu;miklu
myndi;myndi
þat;það
bætr;betur
fara;fara
ef;ef
Haralldr;Haraldur
reðe;réði
einn;einn
saman;saman
firir;fyrir
liðinu;liðinu
oc;og
sagðu;sögðu
Gyrgi;Gyrgi
engan;engan
lut;hlut
vinna;vinna
til;til
frægðar;frægðar
þegar;þegar
hann;hann
reð;réð
einn;einn
firir;fyrir
.;.
hann;hann
sagðe;sagði
i;í
mot;mót
.;.
at;að
Væringiar;Væringjar
villdu;vildu
ækki;ekki
veita;veita
hanum;honum
þionastu;þjónustu
sina;sína
.;.
oc;og
bað;bað
þa;þá
fara;fara
i;í
annan;annan
stað;stað
.;.
oc;og
lezk;lést
þa;þá
myndu;myndu
vinna;vinna
þuilikt;þvílíkt
.;.
er;er
hann;hann
mætte;mætti
.;.
þa;þá
for;fór
Haralldr;Haraldur
ifra;ífrá
hanum;honum
.;.
oc;og
með;með
hanum;honum
Væringiar;Væringjar
oc;og
aller;allir
Latinumenn;Latínumenn
.;.
en;en
Gyrgir;Gyrgir
for;fór
með;með
Girkia;Grikkja
hær;her
.;.
syndist;sýndist
þa;þá
hvat;hvað
hvarer;hvorir
matto;máttu
.;.
fecc;fékk
Haralldr;Haraldur
iamnan;jafnan
sigr;sigur
oc;og
fe;fé
mikit;mikið
en;en
Gyrgir;Gyrgir
for;fór
hæim;heim
til;til
Miklagarz;Miklagarðs
.;.
nema;nema
þat;það
lið;lið
er;er
ser;sér
villdi;vildi
fear;fjár
afla;afla
.;.
oc;og
foro;fóru
þæir;þeir
til;til
Harallz;Haralds
oc;og
hafðu;höfðu
hann;hann
hofðingia;höfðingja
ivir;yfir
ser;sér
.;.
þa;þá
for;fór
Haralldr;Haraldur
með;með
hær;her
sinn;sinn
væstr;vestur
til;til
Affrica;Afríku
.;.
efldist;efldist
miok;mjög
at;að
liði;liði
i;í
velldi;veldi
þui;því
er;er
liggr;liggur
undir;undur
Affrica;Afríku
.;.
þat;það
er;er
mællt;mælt
eftir;eftir
sagu;sögu
sialfs;sjálfs
hans;hans
at;að
hann;hann
tꝍke;tæki
þar;þar
attatigu;átta tigu
borga;borga
.;.
sumar;sumar
varo;voru
gefnar;gefnar
i;í
valld;vald
hans;hans
.;.
sumar;sumar
braut;braut
hann;hann
eða;eða
brenndi;brenndi
.;.
sva;svo
sagðe;sagði
Þioðolfr;Þjóðólfur
.;.
Hær;Hér
sægir;segir
þat;það
at;að
þa;þá
var;var
Mikiall;Mikjáll
konongr;konungur
i;í
þann;þann
tima;tíma
.;.
Haralldr;Haraldur
dvaldezk;dvaldist
marga;marga
vætr;vetur
i;í
Affrica;Afríku
.;.
fecc;fékk
þar;þar
gull;gull
mikit;mikið
oc;og
alls;alls
konar;konar
dyrðlega;dýrðlega
gripi;gripi
oc;og
steina;steina
mæta;meta
.;.
en;en
fe;fé
þat;það
allt;allt
sem;sem
hann;hann
fecc;fékk
oc;og
æigi;eigi
þurfti;þurfti
hann;hann
til;til
nꝍyzlu;neyslu
við;við
lið;lið
sitt;sitt
.;.
senndi;sendi
hann;hann
með;með
trunaðarmannum;trúnaðarmönnum
sinum;sínum
norðr;norður
i;í
Holmgarð;Hólmgarð
i;í
valld;vald
oc;og
giæzlo;gæslu
Iarizleifs;Jarisleifs
konongs;konungs
.;.
dro;dró
þar;þar
saman;saman
mikit;mikið
fe;fé
sem;sem
liklegt;líklegt
var;var
.;.
er;er
hann;han
hæriaðe;herjaði
þann;þann
luta;hluta
heimsins;heimsins
er;er
auðgaztr;auðugastur
var;var
at;að
gulli;gulli
oc;og
silfri;silfri
.;.
oc;og
sva;svo
mikit;mikið
sem;sem
hann;hann
gerðe;gerði
at;að
oc;og
aðan;áðan
var;var
i;í
fra;frá
sagt;sagt
.;.
at;að
hann;hann
eignaðez;eignaðist
attatigu;átta tigu
borga;borga
.;.
hann;hann
barðez;barðist
við;við
sialfan;sjálfan
konongen;konunginn
i;í
Affrica;Afríku
oc;og
sigraðest;sigraðist
oc;og
eignaðest;eignaðist
viða;víða
hans;hans
velldi;veldi
.;.
sem;sem
Þioðolfr;Þjóðólfur
skalld;skáld
sægir;segir
.;.
Ða;Þá
hellt;hélt
Haralldr;Haraldur
hærrenom;hernum
til;til
Sikilꝍyiar;Sikileyjar
.;.
oc;og
vann;vann
þar;þar
borg;borg
eina;eina
með;með
þæma;þeim
hætte;hætti
at;að
fuglarar;fuglarar
hans;hans
toco;tóku
með;með
limi;limi
smafugla;smáfugla
þa;þá
er;er
reiðraðuzk;hreiðruðust
i;í
borgenne;borginni
.;.
oc;og
flugu;flugu
um;um
daga;daga
i;í
skoga;skóga
at;að
taca;taka
ser;sér
fꝍzlo;fæðslu
.;.
oc;og
let;lét
Haralldr;Haraldur
binnda;binda
a;á
bak;bak
fuglunum;fuglunum
lokars;lokar
spono;spæni
af;af
tyrui;tyrfi
tre;tré
.;.
oc;og
stꝍpa;steypa
a;á
vaxe;vaxi
oc;og
brennu;brenni
steini;steini
.;.
siðan;síðan
flugu;flugu
fuglarner;fuglarnir
aller;allir
sænn;senn
i;í
borgena;borgina
til;til
unga;unga
sinna;sinna
.;.
þa;þá
laust;laust
elldinum;eldinum
af;af
fuglunum;fuglunum
.;.
þo;þó
at;að
hværr;hver
bære;bæri
litla;litla
byrði;byrði
ellzens;eldsins
.;.
þa;þá
kvæiktiz;kveiktist
þo;þó
þar;þar
af;af
husen;húsin
er;er
rꝍyrþogt;reyrþakin
varo;voru
.;.
oc;og
logaðe;ogaði
siðan;síðan
huært;hvert
hus;hús
af;af
oðru;örðu
oc;og
siðan;síðan
oll;öll
borgen;borgin
.;.
giek;gekk
þa;þá
ut;út
folket;fólkið
með;með
litilæte;lítillæti
.;.
bað;bað
ser;sér
þa;þá
myscunnar;miskunnar
með;með
ahyggiu;áhyggju
oc;og
ræzlo;hræðslu
.;.
þæir;þeir
er;er
drembilega;drembilega
oc;og
neisulega;hneisulega
hafðu;höfðu
aðr;áður
mællt;mælt
við;við
Haralld;Harald
.;.
Aðra;Aðra
borg;borg
vann;vann
hann;hann
með;með
þæma;þeim
hætte;hætti
.;.
at;að
hann;hann
let;lét
segia;segja
i;í
borgena;borgina
at;að
hofðingi;höfðingi
hærs;hers
Girkia;Grikkja
konongs;konungs
være;væri
anndaðr;andaður
oc;og
beiddiz;beiddist
at;að
grafa;grafa
lik;lík
hans;hans
i;í
borgenne;borginni
.;.
oc;og
heto;hétu
at;að
væria;verja
til;til
miklu;miklu
fe;fé
sem;sem
siðr;síður
var;var
til;til
firir;fyrir
sal;sál
rikra;ríkra
manna;manna
.;.
þesse;þessi
borg;borg
var;var
sva;svo
stærk;sterk
at;að
engi;engin
von;von
var;var
at;að
hon;hún
myndi;myndi
vapnom;vopnum
sott;sótt
værða;verða
.;.
en;en
er;er
borgar;borgar
menn;menn
hꝍyrðu;heyrðu
sagt;sagt
anndlat;andlát
Harallz;Haralds
.;.
oc;og
þæir;þeir
er;er
kirkiur;kirkjur
varðveittu;varðveittu
villdu;vildu
giarna;gjarnan
þiggia;þiggja
gullet;gullið
þo;þó
at;að
vikingar;víkingar
villdu;vildu
gefa;gefa
þæim;þeim
.;.
bauð;bauð
hværr;hver
til;til
sinnar;sinnar
kirkiu;kirkju
at;að
fara;fara
skylldi;skyldi
.;.
hugðuz;hugðust
þa;þá
myndu;myndu
upp;upp
taca;taka
gull;gull
oc;og
silfr;silfur
oc;og
aðra;aðra
dyrðlega;dýrðlega
luti;hluti
.;.
giengo;gengu
i;í
mote;móti
likinu;líkinu
i;í
borgarlið;borgarhlið
.;.
baro;báru
ut;út
crossa;krossa
oc;og
hælga;helga
doma;dóma
oc;og
skryddust;skrýddust
fagrlega;fagurlega
.;.
vikingar;víkingar
baro;báru
kistuna;kistuna
hatt;hátt
oc;og
var;var
tialldat;tjaldað
ifir;yfir
purpura;purpura
pelli;pelli
.;.
en;en
menn;menn
þæir;þeir
er;er
fylgðu;fylgdu
likinu;líkinu
varo;voru
i;í
silkiklæðom;silkiklæðum
.;.
oc;og
hattu;hatta
siða;síða
oc;og
undir;undir
hialma;hjálma
oc;og
bryniur;brynju
.;.
oc;og
þa;þá
er;er
þeir;þeir
como;komu
i;í
mitt;mitt
borgharliðit;borgarhliðið
þa;þá
fælldu;felldu
þæir;þeir
niðr;niður
kistuna;kistuna
um;um
þvært;þvert
liðet;hliðið
.;.
Ða;Þá
bles;blés
luðr;lúður
svæinn;sveinn
Harallz;Haralds
.;.
oc;og
var;var
aðr;áður
allr;allur
hærrenn;herinn
vapnaðr;vopnaður
.;.
skutu;skutu
upp;upp
mærkium;merkjum
oc;og
runnu;runnu
til;til
borgarennar;borgarinnar
.;.
en;en
Haralldr;Haraldur
hafðe;hafði
boret;borið
sialfr;sjálfur
kistuna;kistuna
.;.
bra;brá
þa;þá
Haralldr;Haraldur
sværði;sverði
oc;og
sva;svo
menn;menn
hans;hans
aller;allir
.xii;tólf
.;
er;er
giengit;gengið
hafðu;höfðu
með;með
kistunni;kistunni
.;.
liopo;hlupu
upp;upp
i;í
liðet;hliðið
.;.
oc;og
drapo;drápu
þar;þar
marga;marga
menn;menn
.;.
er;er
vapnlausir;vopnlausir
stoðo;stóðu
firir;fyrir
.;.
þar;þar
varð;varð
sarr;sár
Halldor;Halldór
Snorra;Snorra
sunr;sonur
hoggvinn;höggvinn
i;í
annlet;andlit
.;.
Aller;Allir
varo;voru
þeir;þeir
noccot;nokkuð
sarer;sárir
.;.
oc;og
mest;mest
af;af
griote;grjóti
er;er
kastat;kastað
var;var
at;að
þæim;þeim
or;úr
turrnenom;turninum
.;.
Haralldr;Haraldur
vann;vann
þa;þá
borg;borg
.;.
oc;og
toc;tók
þat;það
af;af
fe;fé
er;er
hann;hann
villdi;vildi
.;.
eignaðe;eignaði
siðan;síðan
Girkia;Grikkja
kononge;konungi
borgena;borgina
.;.
marga;marga
staðe;staði
vann;vann
hann;hann
i;í
þesso;þessu
lannde;landi
.;.
undir;undir
valld;vald
Girkia;Grikkja
konongs;konungs
.;.
aðr;áður
en;en
hann;hann
kꝍme;kæmi
aftr;aftur
til;til
Miklagarðz;Miklagarðs
.;.
Litlu;Litlu
siðar;síðar
gerðe;gerði
hann;hann
færð;ferð
sina;sína
ut;út
af;af
Miklagarðe;Miklagarði
með;með
hær;her
til;til
Iorsala;Jórsala
.;.
oc;og
þa;þá
er;er
kom;kom
til;til
Iorsala;Jórsala
var;var
landet;landið
allt;allt
upp;upp
gefet;gefið
i;í
valld;vald
hans;hans
.;.
sva;svo
sægir;segir
Stufr;Stúfur
er;er
hꝍyrt;heyrt
hafðe;hafði
Haralld;Harald
fra;frá
þessom;þessum
tiðendum;tíðindum
sægia;segja
.;.
Her;Hér
sægir;segir
fra;frá
þui;því
at;að
þetta;þetta
lannd;land
com;kom
obrunnit;íbrunnið
oc;og
ohæriat;óherjað
i;í
valld;vald
Harallz;Haralds
.;.
for;fór
þa;þá
ut;út
til;til
Iorðanar;Jórdanar
oc;og
laugaðe;laugaði
sik;sig
.;.
sva;svo
sem;sem
hattr;háttur
var;var
palmara;pálmara
.;.
hann;hann
varðe;varði
til;til
grafar;grafar
drottens;drottins
vars;vors
.;.
oc;og
crossens;krossins
hælga;helga
oc;og
annarra;annarra
hælga;helga
doma;dóma
i;í
Iorsalalande;Jórsalalandi
.;.
Gaf;Gaf
þæim;þeim
þar;þar
til;til
sva;svo
mikit;mikið
fe;fé
i;í
gulli;gulli
oc;og
silfri;silfri
at;að
engi;enginn
vissi;vissi
marca;marka
tal;tal
at;að
.;.
oc;og
hann;hann
friðaðe;friðaði
vegenn;veginn
allt;allt
ut;út
til;til
Iorðanar;Jórdanar
.;.
oc;og
drap;drap
þar;þar
raufara;raufara
oc;og
annat;annað
folk;fólk
þat;það
er;er
ofrið;ófrið
gerðe;gerði
sem;sem
Stufr;Stúfur
sægir;segir
.;.
Eftir;Eftir
þetta;þetta
for;fór
hann;hann
aftr;aftur
til;til
Miklagarðz;Miklagarðs
.;.
oc;og
þui;því
nest;næst
gierðest;gerðist
osætte;ósætti
af;af
drottningu;drottningu
Zoe;Zoe
til;til
Harallz;Haralds
.;.
var;var
su;sú
soken;sökin
fyrsta;fyrsta
gefinn;gefin
Haralde;Haraldi
.;.
at;að
hann;hann
hafðe;hafði
gull;gull
þat;það
er;er
atte;átti
Girkia;Grikka
konongr;konungur
.;.
oc;og
eigi;eigi
upp;upp
greitt;greitt
sem;sem
log;lög
stoðo;stóðu
til;til
.;.
oc;og
hafðe;hafði
sialfr;sjálfur
meira;meira
af;af
eignaz;eignast
en;en
konongr;konungur
hafðe;hafði
veitt;veitt
hanum;honum
.;.
sagðu;sögðu
sva;svo
at;að
a;á
þeirri;þeirri
stundu;stundu
er;er
hann;hann
var;var
ifir;yfir
konongs;konungs
hær;her
.;.
hafðe;hafði
ekki;ekki
gull;gull
comet;komið
af;af
galeiðum;galeiðum
.;.
Annr;Önnur
soc;sök
var;var
su;sú
at;að
Zoe;Zoe
drotning;drottning
kiændi;kenndi
Harallde;Haraldi
.;.
at;að
hann;hann
tiðcaðest;tíðkaðist
Mariu;Maríu
sonar;sonar
dottor;dóttur
hennar;hennar
.;.
Haralldr;Haraldur
bað;bað
hennar;hennar
oc;og
fecc;fékk
eigi;eigi
.;.
Ðat;Það
sægia;segja
menn;menn
þeir;þeir
er;er
veret;verið
hafa;hafa
i;í
Miklagarðe;Miklagarði
.;.
at;að
Væringiar;Væringjar
minnaz;minnast
sva;svo
frasagnar;frásagnar
.;.
at;að
Zoe;Zoe
drotning;drottning
villdi;vildi
siolf;sjálf
hafa;hafa
Haralld;Harald
.;.
Zoe;oe
drotning;drottning
oc;og
Munakus;Munakus
keisare;keisari
leto;létu
taca;taka
Haralld;Harald
oc;og
leiða;leiða
bundinn;bundinn
til;til
myrkvastofo;myrkvasofu
.;.
oc;og
.ii;tveir
.;
menn;menn
með;með
hanum;honum
.;.
Ulf;Úlf
er;er
siðan;síðan
var;var
stallare;stallari
hans;hans
.;.
oc;og
Halldor;Halldór
Snorrason;Snorrason
.;.
oc;og
ner;nær
myrkva;myrkva
stofonne;stofunni
a;á
stræteno;strætinu
syndist;sýndist
hanum;honum
hinn;hinn
hælgi;helgi
Olafr;Ólafur
konongr;konungur
var;var
þar;þar
siðan;síðan
gorr;gerð
kapella;kapella
hinum;hinum
hælga;helga
Olafe;Ólafi
kononge;konungi
oc;og
stændr;stendur
su;sú
kapella;kapella
enn;enn
.;.
oc;og
þa;þá
var;var
þæim;þeim
runndit;hrundið
i;í
dyflizuna;dýflissuna
.;.
Nesto;Næstu
nott;nótt
eftir;eftir
com;kom
ekkia;ekkja
ein;ein
oc;og
opnaðe;opnaði
dyflizuna;dýflissuna
.;.
þat;það
er;er
turn;turn
einn;einn
oc;og
openn;opinn
ofan;ofan
.;.
oc;og
er;er
nu;nú
callat;kallað
Harallz;Haralds
dyfliza;dýflissa
.;.
Tva;Tvo
þionastu;þjónustu
menn;menn
hafðe;hafði
su;sú
kona;kona
með;með
ser;sér
.;.
leto;létu
þau;þau
siga;síga
ofan;ofan
snꝍre;snæri
oc;og
drogo;drógu
Haralld;Harald
upp;upp
.;.
oc;og
þa;þá
er;er
með;með
hanum;honum
varo;voru
.;.
þesse;þessari
kono;konu
hafðe;hafði
hinn;hinn
hælgi;helgi
Olafr;Ólafur
vunnit;unnið
bot;bót
.;.
oc;og
hafðe;hafði
hann;hann
vitrazk;vitrast
henni;henni
at;að
hon;hún
skylldi;skyldi
lꝍysa;leysa
broðor;bróður
hans;hans
.;.
þa;þá
for;fór
Haralldr;Haraldur
þegar;þegar
til;til
Væringia;Væringja
skiftar;skiptar
.;.
sva;svo
calla;kalla
þæir;þeir
þa;þá
garða;garða
er;er
þeir;þeir
ero;eru
i;í
.;.
en;en
er;er
hann;hann
com;kom
þar;þar
.;.
bað;bað
hann;hann
þa;þá
upp;upp
standa;standa
oc;og
taca;taka
vopn;vopn
sin;sín
.;.
oc;og
giengo;gengu
siðan;síðan
til;til
konongs;konungs
palata;palata
.;.
þar;þar
er;er
hann;hann
svaf;svaf
.;.
oc;og
drapo;drápu
noccora;nokkra
Væringia;Væringja
er;er
vorð;vörð
helldo;héldu
ifir;yfir
kononge;konungi
.;.
toco;tóku
konongenn;konunginn
sialfan;sjálfan
oc;og
stungu;stungu
ut;út
bæðe;bæði
augun;augun
hans;hans
.;.
sva;svo
sægir;segir
Þorarenn;Þórarinn
i;í
drapo;drápu
sinni;sinni
.;.
I;Í
morgum;mörgum
kvæðom;kvæðum
Harallz;Haralds
er;er
getet;getið
þessa;þessa
storvirkis;stórvirkis
.;.
oc;og
æighi;eigi
er;er
at;að
gera;gera
orð;orð
i;í
hia;hjá
þvi;því
.;.
nema;nema
sialfan;sjálfan
Girkia;Grikkja
konong;konung
blinndaðe;blindaði
hann;hann
.;.
næmna;nefna
matte;mátti
greifa;greifa
noccon;nokkurn
eða;eða
hærtoga;hertoga
.;.
en;en
i;í
allum;öllum
cvæðom;kvæðum
Harallz;Haralds
sægir;segir
a;á
æina;eina
lund;lund
at;að
þetta;þetta
var;var
sialfr;sjálfur
stolkonongr;stólkonungur
.;.
A;Á
þeirri;þeirri
samu;sömu
nott;nótt
toc;tók
hann;hann
holl;höll
þa;þá
er;er
inni;inni
var;var
iungfrua;ungfrú
Maʀia;María
oc;og
hafðe;hafði
hana;hana
með;með
ser;sér
.;.
toco;tók
siðan;síðan
.ii;tvær
.;
galeiðr;galeiður
oc;og
rero;réru
inn;inn
i;í
Sæviðarsund;Sæviðarsund
.;.
þar;þar
varo;voru
ifir;yfir
sundet;sundið
iarnrekændr;járnrekendur
.;.
þa;þá
mælte;mælti
Haralldr;Haraldur
.;.
at;að
skipast;skipast
skylldi;skyldi
til;til
ara;ára
a;á
hvarre;hvorri
tvæggiu;tveggja
galeiðenne;galeiðinni
.;.
en;en
þæir;þeir
aller;allir
er;er
eigi;eigi
