(Þ)a;Þá
allt;allt
hans;hans
riki;ríki
auca;auka
i;í
hværn;hvern
stað;stað
.;.
sva;svo
sægir;segir
Þioðolfr;Þjóðólfur
skalld;skáld
.;.
Magnus;Magnús
konongr;konungur
for;fór
þat;það
et;hið
sama;sama
sumar;sumar
aftr;aftur
til;til
Danmarcar;Danmerkur
oc;og
dvaldest;dvaldist
þar;þar
miok;mjög
sva;svo
framan;framan
til;til
vætrar;vetrar
.;.
oc;og
aðr;áður
en;en
hann;hann
fꝍre;færi
af;af
Iotlande;Jótlandi
.;.
gaf;gaf
hann;hann
Sveini;Sveini
Ulfs;Úlfs
syni;syni
iarls;jarls
nafn;nafn
.;.
oc;og
sætti;setti
hann;hann
til;til
lanz;lands
giæzlo;gæslu
a;á
Iotlande;Jótlandi
at;að
væria;verja
lond;lönd
firir;fyrir
Saxum;Söxum
oc;og
Vindum;Vindum
er;er
gerðo;gerðu
mikinn;mikinn
scaða;skaða
a;á
Dana;Dana
vælldi;veldi
.;.
þa;þá
mællte;mælti
Einar;Einar
þambar;þamba
skælvir;skelfir
til;til
konongs;konungs
.;.
ofiarll;ofjarl
.;.
ofiarll;ofjarl
fostre;fóstri
.;.
þa;þá
svaraðe;svaraði
konongrenn;konungurinn
ræiðr;reiður
.;.
þat;það
hyggi;hyggið
þer;þér
at;að
ec;ég
kunna;kunni
engi;engin
rað;ráð
einn;einn
saman;saman
.;.
sumt;sumt
þykkia;þykja
yðr;yður
ofiarlar;ofjarlar
.;.
en;en
sumt;sumt
ekki;ekki
at;að
manna;manna
.;.
Magnus;Magnús
konongr;konungur
var;var
um;um
vætrenn;veturinn
i;í
Norege;Noregi
.;.
Ðann;Þann
sama;sama
vætr;vetur
let;lét
Svæinn;Sveinn
iarll;jarl
stefna;stefna
Vebiarga;Vébjarga
þing;þing
.;.
oc;og
a;á
þui;því
þingi;þingi
gaf;gaf
Þorkæll;Þorkell
gꝍysa;geysa
Sveini;Sveini
konongs;konungs
nafn;nafn
um;um
allt;allt
Dana;Dana
velldi;veldi
.;.
eftir;eftir
þetta;þetta
samnaðe;safnaði
Svæinn;Sveinn
ser;sér
liði;liði
miklu;miklu
oc;og
for;fór
ifir;yfir
lanndet;landið
.;.
oc;og
lagðe;lagði
undir;undir
sic;sig
.;.
þa;þá
er;er
Magnus;Magnús
konongr;konungur
spurði;spurði
þesse;þessi
tiðendi;tíðindi
bauð;bauð
hann;hann
ut;út
almenning;almenning
i;í
Norege;Noregi
oc;og
fecc;fékk
allmikit;allmikið
lið;lið
.;.
þa;þá
hafðe;hafði
Magnus;Magnús
konongr;konungur
Visundenn;Vísundinn
er;er
allra;allra
skipa;skipa
var;var
mest;mest
.;.
þat;það
hafðe;hafði
att;átt
hinn;hinn
hælgi;helgi
Olafr;Ólafur
konongr;konungur
faðer;faðir
hans;hans
.;.
Magnus;Magnús
konongr;konungur
for;fór
þa;þá
suðr;suður
til;til
Danmarcar;Danmerkur
.;.
oc;og
þa;þá
er;er
Sveinn;Sveinn
spurði;sourði
hversso;hversu
mikinn;mikinn
hærr;her
Magnus;Magnús
konongr;konungur
hafðe;hafði
trꝍystizk;treystist
hann;hann
æigi;eigi
sinu;sínu
liði;liði
at;að
leggia;leggja
til;til
barðaga;bardaga
við;við
Magnus;Magnús
konong;konung
.;.
oc;og
hellt;hélt
undan;undan
austr;austur
i;í
Svia;Svía
velldi;veldi
a;á
fund;fund
Onundar;Önundar
konongs;konungs
frenda;frænda
sins;síns
.;.
Magnus;Magnús
konongr;konungur
for;fór
með;með
liði;liði
sinu;sínu
suðr;suður
til;til
Iotlanz;Jótlands
oc;og
gieck;gekk
allt;allt
folk;fólk
undir;undir
hann;hann
.;.
let;lét
hann;hann
drepa;drepa
marga;marg
menn;menn
.;.
sumir;sumir
flyðu;flúðu
oðol;óðöl
sin;sín
.;.
en;en
sumir;sumir
lꝍystu;leystu
sik;sig
með;með
fe;fé
.;.
þæir;þeir
er;er
aðr;áður
hafðu;höfðu
undir;undir
Svein;Svein
giengit;gengið
.;.
þa;þá
senndi;sendi
Magnus;Magnús
konongr;konungur
hæim;heim
hærr;her
sinn;sinn
i;í
Noreg;Noreg
.;.
en;en
hann;hann
sigldi;sigldi
sinu;sínu
liði;liði
suðr;suður
til;til
Vinlanz;Vindlands
.;.
at;að
vinna;vinna
aftr;aftur
iarls;jars
riki;ríki
þat;það
er;er
Dana;Dana
konongr;konungur
hafðe;hafði
att;átt
at;að
Iome;Jómi
.;.
i;í
þæirri;þeirri
færð;ferð
vann;vann
hann;hann
Iomsborg;Jómsborg
.;.
A;Á
þui;því
sama;sama
sumri;sumri
sigldi;sigldi
hann;hann
aftr;aftur
til;til
Danmarcar;Danmerkur
oc;og
hitti;hitti
firir;fyrir
Re;Ré
a;á
Vestlande;Vestlandi
vikinga;víkinga
barðez;barðist
við;við
þa;þá
oc;og
fecc;fékk
sigr;sigur
.;.
Ðat;Það
sama;sama
haust;haust
var;var
Magnus;Magnús
konongr;koungur
staddr;staddur
a;á
Iotlande;Jótlandi
.;.
oc;og
spurði;spurði
at;að
Vinnda;Vinda
hærr;her
gerðez;gerðist
a;á
hændr;hendur
hanum;honum
.;.
hann;hann
senndi;sendi
þegar;þegar
boð;boð
um;um
riki;ríki
sitt;sitt
oc;og
for;fór
i;í
mote;móti
þæim;þeim
nott;nótt
oc;og
dag;dag
.;.
sem;sem
mest;mest
matte;mátti
hann;hann
.;.
þui;því
at;að
Vinndr;Vindar
brendu;brenndu
allt;allt
þar;þar
sem;sem
þæir;þeir
foro;fóru
.;.
kom;kom
Magnus;Magnús
konongr;konungur
i;í
mote;móti
þæim;þeim
firir;fyrir
norðan;norðan
Heiðabꝍ;Heiðabæ
.;.
oc;og
var;var
eigi;eigi
minni;minni
liðs;liðs
munr;munur
en;en
.lx;sex tigur
.;
heiðingia;heiðingja
varo;voru
um;um
einn;einn
cristinn;kristinn
mann;mann
.;.
var;var
þa;þá
illr;illur
kurr;kurr
i;í
Danum;Dönum
oc;og
sagðu;sögðu
at;að
konongr;konungur
villdi;vildi
coma;koma
þæim;þeim
i;í
ofꝍro;ófæru
.;.
Norðmannum;Norðmönnum
þotte;þótti
oc;og
sinn;sinn
lutr;hlutur
illr;illur
at;að
fara;fara
i;í
sva;svo
mikinn;mikinn
lifshasca;lífsháska
oc;og
veria;verja
land;land
Dana;Dana
.;.
þar;þar
sem;sem
aðr;áður
hafðu;höfðu
Daner;Danir
veret;verið
i;í
svikræðom;svikræðum
við;við
konong;konung
.;.
þa;þá
er;er
hann;hann
for;fór
or;úr
Danmork;Danmörku
.;.
nu;nú
þotte;þótti
konongenom;konunginum
illa;illa
hormung;hörmung
oc;og
ræzla;hræðsla
liðs;liðs
sins;síns
.;.
sagðe;sagði
þo;þó
at;að
eigi;eigi
villdi;vildi
hann;hann
flyia;flytja
lond;lönd
sin;sín
firir;fyrir
heiðnum;heiðnum
mannum;mönnum
.;.
ef;ef
hann;hann
fengi;fengi
noccot;nokkuð
lið;lið
af;af
mannum;mönnum
sinum;sínum
.;.
eða;eða
af;af
lanz;lands
hærr;her
.;.
sagðe;sagði
sva;svo
.;.
með;með
þui;því
at;að
hann;hann
var;var
konongr;konungur
i;í
Danmork;Danmörku
sem;sem
i;í
Norege;Noregi
.;.
þa;þá
villdi;vildi
hann;hann
veria;verja
Danmorc;Danmörk
odde;oddi
oc;og
eggiu;eggju
þo;þó
at;að
kristnir;kristnir
menn;menn
villdu;vildu
hæria;herja
en;en
holfu;hálfu
hælldr;heldur
firir;fyrir
hæiðnum;heiðnum
hær;her
.;.
at;að
eigi;eigi
være;væru
kristnir;kristnir
menn;menn
undir;undir
vallde;valdi
hæiðinna;heiðinna
manna;manna
.;.
þann;þann
tima;tíma
com;kom
til;til
hans;hans
magr;mágur
hans;hans
Otte;Ótti
hærtoge;hertogi
af;af
Brunsvik;Brúnsvík
með;með
liði;liði
sinu;sínu
.;.
oc;og
fysti;fýsti
hann;hann
konongenn;konunginn
til;til
at;að
beriast;berjast
.;.
oc;og
varð;varð
konongrenn;konungurinn
þui;því
feginn;feginn
.;.
oc;og
mest;mest
firir;fyrir
þui;því
at;að
hann;hann
hafðe;hafði
aðr;áður
raðet;ráðið
at;að
flyia;flýja
eigi;eigi
firir;fyrir
hæiðingium;heiðingjum
.;
