Ða;Þá
Iarnbarðanom;Járnbarðanum
.;.
oc;og
let;lét
Vagn;Vagn
þa;þá
undan;undan
aka;aka
.;.
sva;svo
at;að
þa;þá
lago;lágu
skipen;skipin
framme;frammi
hvara;hvora
tvæggia;tveggja
sem;sem
veret;verið
hafðe;hafði
i;í
fyrstu;fyrstu
.;.
þa;þá
er;er
Æirikr;Eiríkur
com;kom
aftr;aftur
i;í
sina;sína
fylking;fylkingu
.;.
hafðe;hafði
Bui;Búi
fengit;fengið
svig;svig
a;á
oc;og
hoggvit;hoggið
tænxlen;tengslin
oc;og
lꝍystiz;leystist
flotenn;flotinn
.;.
þa;þá
lagðe;lagði
Æirikr;Eiríkur
barðanom;barðanum
sva;svo
at;að
skipi;skipi
Bua;Búa
at;að
þæir;þeir
tængðu;tengdu
saman;saman
hvara;hvora
tvæggiu;tveggju
stafnana;stafnanna
oc;og
borð;borð
við;við
borð;borð
.;.
oc;og
villdu;vildu
hvarger;hvergi
lꝍysa;leysa
fyrr;fyrr
en;en
annat;annað
hvart;hvort
være;væri
roðet;rotið
.;.
þa;þá
varð;varð
mikit;mikið
mannspell;mannspell
er;er
hvarer;hvorir
tvæggiu;tveggju
vogo;vógu
hogg;högg
vapnom;vopnum
.;.
þar;þar
var;var
illt;illt
blauðum;blauðum
mannum;mönnum
innan;innan
borz;borðs
.;.
þar;þar
urðu;urðu
morg;mörg
stortiðendi;stórtíðindi
a;á
litilli;lítilli
stundu;stundu
i;í
manndrape;manndrápi
oc;og
vissi;vissi
engi;enginn
maðr;maður
tal;tal
hversso;hversu
marger;margir
menn;menn
þar;þar
fello;féllu
.;.
Norðmenn;Norðmenn
fello;féllu
mæir;meir
hinn;hinn
fyrra;fyrri
lut;hlut
orrastunnar;orrustunnar
.;.
en;en
sva;svo
lauk;lauk
at;að
Daner;Danir
leto;létu
sigast;sigrast
.;.
oc;og
olle;olli
þui;því
mest;mest
ofr;ofur
æfli;efli
liðs;liðs
.;.
oc;og
snorp;snörp
atsokn;atsókn
.;.
oc;og
her;hér
með;með
var;var
illveðre;illviðri
sva;svo
mikit;mikið
at;að
dræif;dreif
þui;því
hagle;hagli
er;er
æitt;eitt
hagl;hagl
korn;korn
va;vó
ꝍyri;eyri
.;.
þar;þar
i;í
giegn;gegn
atto;áttu
Daner;Danir
horfa;hörfa
.;.
þa;þá
let;lét
Sigvallde;Sigvaldi
hoggva;höggva
tænxlen;tengslin
oc;og
undan;undan
hallda;halda
.;.
oc;og
þegar;þegar
æftir;eftir
Þorkæll;Þorkell
broðer;bróðir
hans;hans
.;.
oc;og
Sigurðr;Sigurður
hviti;hvíti
oc;og
vænnda;venda
ut;út
or;úr
vagenom;voginum
.;.
þat;það
sa;sá
Vagn;Vagn
Aka;Áka
sunur;sonur
oc;og
mællte;mælti
.;.
hvi;hví
flyr;flýr
þu;þú
hinn;hinn
illi;illi
hundr;hundur
.;.
Sigvallde;Sigvaldi
svaraðe;svaraði
.;.
með;með
litlu;litlu
værði;verði
sælr;selur
þu;þú
menn;menn
þina;þína
til;til
dauða;dauða
.;.
oc;og
þa;þá
scomm;skömm
mantu;muntu
hæim;heim
hafa;hafa
er;er
þu;þú
mant;munt
við;við
lifa;lifa
allan;allan
þinn;þinn
alldr;aldur
.;.
oc;og
lengi;lengi
man;mun
uppi;uppi
vera;vera
.;.
oc;og
hann;hann
skytr;skýtur
snꝍrespiote;snærisspjóti
i;í
þui;því
er;er
skipet;skipið
snerez;snérist
.;.
þat;það
skot;skot
com;kom
milli;milli
hærða;herða
þæim;þeim
er;er
styrði;stýrði
.;.
en;en
þat;það
var;var
annar;annar
maðr;maður
en;en
æigi;eigi
Sigvallde;Sigvaldi
.;.
en;en
Vagn;Vagn
villdi;vildi
hann;hann
þo;þó
skotet;skotið
hafa;hafa
.;.
þa;þá
var;var
faret;farið
allt;allt
afl;afl
Dana;Dana
hærs;hers
.;.
oc;og
þo;þó
drepet;drepið
aðr;áður
mikit;mikið
af;af
.;.
Ða;Þá
læggr;leggur
Hacon;Hákon
iarl;jarl
skæið;skeið
sina;sína
a;á
annat;annað
borð;borð
Bua;Búa
hinum;hinum
digra;digra
oc;og
var;var
þar;þar
hart;hart
viðnam;viðnám
.;.
Aslakr;Áslákur
holmscalle;hólmskalli
oc;og
Havarðr;Hávarður
hoggvanðe;höggvandi
laupa;hlaupa
upp;upp
a;á
skip;skip
Haconar;Hákonar
iarls;jarls
oc;og
drapo;drápu
margan;margan
mann;mann
.;.
Þorðr;Þórður
oc;og
Skumr;Skúmur
brꝍðr;bræður
varo;voru
nær;nær
þæim;þeim
stadder;staddir
.;.
oc;og
vela;véla
þæir;þeir
ii;tveir
um;um
Havarð;Hávarð
.;.
hꝍggr;heggur
hann;hann
hondena;höndina
hꝍgre;hægri
af;af
Þorðe;Þórði
.;.
en;en
Skumr;Skúmur
laut;hlaut
morg;mörg
stor;stór
sar;sár
.;.
aðr;áður
en;en
Havarðr;Hávarður
misti;missti
bæggia;báða
fota;fætur
.;.
Vigfus;Vigfús
Vigaglums;Vígaglúms
sunr;sonur
fær;fer
æinn;einn
stæðia;steðja
.;.
sva;svo
at;að
leget;legið
hafðe;hafði
a;á
þilium;þiljum
oc;og
þar;þar
hafðe;hafði
hann;hann
noðet;notið
sværðs;sverðs
hiollt;hjölt
sin;sín
með;með
.;.
hann;hann
fꝍrðe;færði
stæðiann;steðjann
sva;svo
baðom;báðum
hondum;höndum
at;að
Aslake;Ásláki
holmscalla;hólmskalla
.;.
kꝍmr;kemur
geirenn;geirinn
i;í
havuð;höfuð
hanum;honum
sva;svo
at;að
hausenn;hausinn
brotnaðe;brotnaði
oc;og
hæilinn;heilinn
la;lá
uti;úti
.;.
þa;þá
var;var
Æirikr;Eiríkur
iarl;jarl
upp;upp
comen;kominn
með;með
sina;sína
menn;menn
i;í
skip;skip
Bua;Búa
.;.
Þorstæinn;Þorsteinn
miðlangr;miðlangur
kom;kom
fyrst;fyrst
i;í
firirrumet;fyrirrúmið
.;.
hann;hann
hꝍggr;heffur
til;til
Bua;Búa
um;um
ænnit;ennið
þvært;þvert
sva;svo
at;að
fal;faldi
baða;báða
æggteina;eggteina
a;á
sværðinu;sverðinu
.;.
Bui;Búí
væitir;veitir
Þorstæini;Þorsteini
sar;sár
undir;undir
honndena;höndina
vinstri;vinstri
.;.
sva;svo
at;að
nalega;nálega
bæit;beit
hann;hann
sundr;sundur
i;í
miðiu;miðju
.;.
þa;þá
tok;tók
Bui;Búi
kistr;kistur
ii;tvær
fullar;fullar
gullz;gulls
oc;og
castaðe;kastaði
firir;fyrir
borð;borð
oc;og
aller;allir
skiparar;skiparar
hans;hans
.;.
liupu;hlupu
ut;út
firir;fyrir
borð;borð
með;með
kistr;kistur
sinar;sínar
.;.
oc;og
varo;voru
aller;allir
drepner;drepnir
.;.
Ða;Þá
snero;snéru
iarlarner;jarlarnir
allu;öllu
liði;liði
sinu;sínu
at;að
Vagne;Vagni
.;.
þæir;þeir
væriast;verjast
væl;vel
oc;og
lengi;lengi
.;.
þui;því
at;að
skipet;skipið
var;var
hatt;hátt
borðe;borði
en;en
drengir;drengir
innan;innan
borz;borðs
.;.
en;en
smaskip;smáskip
hafðu;höfðu
næst;næst
lagt;lagt
.;.
þa;þá
bauð;bauð
Hacon;Hákon
iarl;jarl
at;að
taca;taka
knorr;knörr
æinn;einn
mikinn;mikinn
oc;og
bað;bað
læggia;leggja
fra;frá
smaskipum;smáskipum
.;.
oc;og
at;að
hin;hin
stꝍrre;stærri
skipen;skipin
.;.
um;um
þat;það
orte;orti
Vigfus;Vigfús
Vigaglums;Vígaglúms
sunr;sonur
.;.
Lauk;Lauk
sva;svo
sem;sem
von;von
var;var
at;að
.;.
at;að
þæir;þeir
urðu;urðu
rikare;ríkari
er;er
tignare;tignari
varo;voru
oc;og
afl;afl
hafðu;höfðu
mæira;meira
.;.
varð;varð
Vagn;Vagn
hanndtækinn;handtekinn
oc;og
mart;margt
manna;manna
hans;hans
með;með
hanum;honum
oc;og
rekenn;rekinn
strængr;strengur
at;að
fotom;fótum
en;en
hændr;hendur
þæirra;þeirra
varo;voru
lausar;lausar
oc;og
a;á
lannd;land
sættir;settir
xxx;þrír tugir
manna;manna
með;með
hanum;honum
.;.
aller;allir
aðrer;aðrir
Daner;Danir
varo;voru
þa;þá
flyðir;flúnir
eða;eða
dræpner;drepnir
eða;eða
særðer;særðir
til;til
olifis;ólífs
.;.
þa;þá
giecc;gekk
til;til
Þorkæll;Þorkell
læira;leira
at;að
hoggva;höggva
þa;þá
.;.
Ða;Þá
mællte;mælti
æinn;einn
Iomsvikingr;Jómsvíkingur
.;.
Nu;Nú
skal;skal
þat;það
rꝍyna;reyna
er;er
ver;vér
hafum;höfum
þrætt;þrætt
um;um
iamnan;jafnan
.;.
hvart;hvort
hafuð;höfuð
laus;laus
maðr;maður
væit;veit
noccot;nokkuð
eða;eða
æigi;eigi
.;.
en;en
ef;ef
ec;ég
væit;veit
noccot;nokkuð
.;.
þa;þá
er;er
af;af
mer;mér
er;er
hofuðet;höfuðið
.;.
þa;þá
man;mun
ec;ég
siðan;síðan
stinga;stinga
knifi;hnífi
i;í
iorðena;jörðina
.;.
havuð;höfuðið
var;var
af;af
þessom;þessum
manne;manni
hoggvit;höggvið
.;.
oc;og
vissi;vissi
hann;hann
ækki;ekki
siðan;síðan
sem;sem
von;von
var;var
at;að
.;.
þa;þá
var;var
annar;annar
til;til
læiddr;leiddur
.;.
Sa;Sá
mællte;mælti
þetta;þetta
oc;og
lo;hló
at;að
.;.
Hogg;Högg
þu;þú
nu;nú
sagðe;sagði
hann;hann
.;.
þa;þá
toc;tók
Æirikr;Eiríkur
iarl;jarl
hann;hann
til;til
sin;sín
oc;og
mællte;mælti
.;.
villtu;viltu
grið;grið
sagðe;sagði
hann;hann
.;.
þat;það
skiftir;skiptir
sagðe;sagði
hann;hann
hværr;hver
er;er
byðr;býður
.;.
sa;sá
byðr;býður
sagðe;sagði
hann;hann
er;er
valld;vald
hæfir;hefur
til;til
Æirikr;Eiríkur
iarl;jarl
.;.
vil;vil
ec;ég
þa;þá
giarna;gjarnan
sagðe;sagði
hann;hann
.;.
þui;því
nest;næst
var;var
æinn;einn
til;til
hoggs;höggs
læiddr;leiddur
oc;og
mællte;mæltisvo
sva;svo
.;.
Rutr;Hrútur
.;.
þæir;þeir
spurðu;spurðu
.;.
hvi;hví
mæler;mælir
þu;þú
sva;svo
.;.
hann;hann
svaraðe;svaraði
.;.
morg;mörg
a;há
hæfir;hefur
af;af
yðrum;yðar
mannum;mönnum
næfnd;nefn
veret;verið
i;í
dag;dag
oc;og
vil;vil
ec;ég
þui;því
fa;fá
rutenn;hrútinn
til;til
.;.
þetta;þetta
þotte;þótti
mællt;mælt
lꝍgelega;hlægilega
oc;og
oræðelega;óhræðilega
.;.
iarlenn;jarlinn
spurði;spurði
ef;ef
hann;hann
villdi;vildi
grið;grið
.;.
oc;og
lezk;lést
hann;hann
vilia;vilja
.;.
þa;þá
var;var
ænn;enn
framm;fram
læiddr;leiddur
til;til
hoggs;höggs
friðr;fríður
maðr;maður
sionom;sjónum
.;.
hærðr;hærður
væl;vel
oc;og
mikill;mikill
væxti;vexti
.;.
hann;hann
sopar;sópar
hareno;hárinu
framm;fram
ifir;yfir
hafuð;höfuð
ser;sér
oc;og
mællte;mælti
.;.
spillið;spillið
æigi;eigi
hareno;hárinu
gereð;gerið
æigi;eigi
bloðogt;blóðugt
.;.
maðrenn;maðurinn
svaraðe;svaraði
sa;sá
er;er
hoggva;höggva
skylldi;skyldi
.;.
ec;ég
man;mun
at;að
þui;því
gera;gera
.;.
hann;hann
toc;tók
vonnd;vönd
æinn;einn
oc;og
snere;snéri
i;í
haret;hárið
.;.
sa;sá
ræiddi;reiddi
sværðet;sverðið
er;er
hoggva;höggva
skylldi;skyldi
.;.
en;en
Iomsvikingr;Jómsvíkingur
nykkir;hnykkir
þæim;þeim
manne;manni
er;er
i;í
har;hár
hanum;honum
hellt;hélt
.;.
oc;og
com;kom
sværðet;sverðið
a;á
hændr;hendur
þæim;þeim
oc;og
bæit;beit
i;í
sundr;sundur
baða;báða
hanndlæggina;handleggina
.;.
þa;þá
mællte;mælti
sa;sá
er;er
bundinn;bundinn
var;var
.;.
þuiat;því að
henndr;hendur
hans;hans
varo;voru
bunndnar;bundnar
.;.
lifa;lifa
ænn;enn
noccorer;nokkrir
Iomsvikingar;Jómsvíkingar
.;.
Eirkr;Eiríkur
iarll;jarl
spurði;spurði
.;.
hvat;hvað
æitir;heitir
þu;þú
.;.
ec;ég
æiti;heiti
Haralldr;Haraldur
sagðe;sagði
hann;hann
.;.
hværss;hvers
sunr;sonur
sagðe;sagði
iarlenn;jarlinn
.;.
ec;ég
em;er
kænningar;kenningar
sunr;sonur
Bua;Búa
digra;digra
.;.
vera;vera
ma;má
at;að
satt;satt
se;sé
sagðe;sagði
iarlenn;jarlinn
.;.
villtu;viltu
grið;grið
.;.
hann;hann
svaraðe;svaraði
.;.
hværr;hver
man;mun
nu;nú
annar;annar
vænne;vænni
.;.
þa;þá
mællte;mælti
Þorkæll;Þorkell
læira;leira
.;.
skulu;skulu
þesser;þessir
menn;menn
aller;allir
grið;grið
hafa;hafa
er;er
drepet;drepið
hafa;hafa
frendr;frændur
vara;vora
firir;fyrir
augum;augum
oss;oss
.;.
ækki;ekki
nytt;hnyttni
gerom;gerum
ver;vér
her;hér
at;að
þui;því
.;.
þa;þá
svaraðe;svaraði
Eirikr;Eiríkur
iarl;jarl
.;.
vissir;vissir
þu;þú
æigi;eigi
þat;það
fyrr;fyrr
en;en
nu;nú
at;að
ek;ég
var;var
rikare;ríkari
en;en
þu;þú
.;.
þa;þá
svaraðe;svaraði
Þorkæll;Þorkell
.;.
þat;það
kann;kann
vera;vera
at;að
vit;við
raðem;ráðum
ymsir;ýmsir
.;.
hann;hann
hafðe;hafði
mikla;mikla
ꝍxi;exi
i;í
henndi;hendi
.;.
ris;rís
upp;upp
oc;og
liop;hljóp
ꝍselega;æsilega
þingat;þangað
sem;sem
Vagn;Vagn
sat;sat
.;.
oc;og
villdi;vildi
drepa;drepa
hann;hann
.;.
Skarðe;Skarði
vikingr;víkingur
liop;hlóp
upp;upp
oc;og
fell;féll
firir;fyrir
fꝍtr;fætur
Þorkæli;Þorkeli
.;.
en;en
Þorkæll;Þorkell
stꝍyptiz;steyptist
ivir;yfir
hann;hann
oc;og
varð;varð
hanum;honum
lous;laus
ꝍxen;öxin
.;.
þa;þá
liop;hljóp
Vagn;Vagn
upp;upp
.;.
oc;og
toc;tók
ꝍxi;exi
.;.
oc;og
hio;hjó
Þorkæl;Þorkel
um;um
þværar;þverar
hærðar;herðar
sva;svo
at;að
i;í
iorðu;jörðu
nam;nam
staðar;staðar
.;.
Æirikr;Eiríkur
iarl;jarl
bauð;bauð
Vagne;Vagni
grið;grið
.;.
oc;og
sa;sá
at;að
þat;það
var;var
mikill;mikill
scaðe;skaði
at;að
drepa;drepa
þuilican;þvíliḱan
hofðingia;höfðingja
.;.
Vagn;Vagn
þa;þáði
þat;það
með;með
allum;öllum
sinum;sínum
mannum;mönnum
þæim;þeim
er;er
æftir;eftir
varo;voru
.;.
Hacon;Hákon
iarl;jarl
sættizk;settist
a;á
lag;lág
æina;eina
oc;og
með;með
hanum;honum
raðgiafar;ráðgjafar
hans;hans
.;.
þa;þá
gall;gall
strængr;strengur
a;á
skipi;skipi
þui;því
er;er
nest;næt
var;var
lannde;landi
.;.
þui;því
nest;næst
stꝍyptist;steyptist
maðr;maður
af;af
lagenne;láginni
Gizor;Gissur
hviti;hvíti
.;.
oc;og
var;var
skotenn;skotinn
oru;ör
i;í
giognum;gegnum
oc;og
hafðe;hafði
hann;hann
þegar;þegar
bana;bana
.;.
þa;þá
var;var
lꝍupit;hlaupið
ut;út
a;á
skipet;skipið
oc;og
var;var
þar;þar
maðr;maður
æinn;einn
hittr;hittur
er;er
stoð;stóð
a;á
kniom;hnjám
oc;og
var;var
þar;þar
Havarður;Hávarður
hoggvanðe;höggvandi
oc;og
spurði;spurði
.;.
Svæinar;Sveinar
sagðe;sagði
hann;hann
let;lét
noccor;nokkur
maðr;maður
sigast;sigast
við;við
lagena;lágina
.;.
þæir;þeir
sagðu;sögðu
at;að
Gizor;Gissur
hviti;hvíti
var;var
dauðr;dauður
.;.
þa;þá
mællte;mælti
Havarðr;Hávarður
.;.
minna;minna
happ;happ
var;var
at;að
skoteno;skotinu
en;en
ec;ég
hugða;hugði
.;.
þæir;þeir
svaraðu;svöruðu
.;.
ꝍret;ærið
er;er
ohappet;óhappið
oc;og
æigi;eigi
skalltu;skaltu
vinna;vinna
flæiri;fleiri
.;.
þæir;þeir
hoggva;höggva
hann;hann
sva;svo
smatt;smátt
.;.
at;að
þo;þó
være;væri
hann;hann
dauðr;dauður
at;að
hann;hann
hæfði;hefði
þriggia;þriggja
manna;manna
fior;fjör
.;.
Hacone;Hákoni
iarle;jarli
hugnar;hugnar
illa;illa
at;að
Vagne;Vagni
varo;voru
grið;grið
gefen;gefin
oc;og
let;lét
at;að
þat;það
myndi;myndi
vera;vera
þæim;þeim
mikit;mikið
orað;óráð
.;.
Eirikr;Eiríkur
iarl;jarl
sægir;segir
sva;svo
.;.
þo;þó
at;að
hanum;honum
licaðe;líkaði
illa;illa
skylldi;skyldi
hann;hann
sva;svo
buit;buið
hafa;hafa
.;.
oc;og
skiliast;skiljast
þæir;þeir
ræiðir;reiðir
.;.
oc;og
for;fór
Vagn;Vagn
með;með
Æiriki;eiríki
oc;og
dvaldez;dvaldist
með;með
hanum;honum
um;um
rið;hríð
.;.
þui;því
nest;næst
fek;fékk
Vagn;Vagn
Ingibiargar;Ingibjargar
dottor;dóttur
Þorkæls;Þorkells
læiru;leiru
með;með
miklu;miklu
fe;fé
.;.
en;en
um;um
varet;vorið
for;fór
Vagn;Vagn
til;til
Danmarcar;Danmerkur
.;.
oc;og
gaf;gaf
Æirikr;Eiríkur
iarl;jarl
hanum;honum
iii;þrjú
langskip;langskip
væl;vel
buin;búin
.;.
oc;og
skyliast;skiljast
þæir;þeir
vinir;vinir
.;.
Eftir;Eftir
barðagann;bardagann
giek;gekk
Hacon;Hákon
iarl;jarl
at;að
Skumi;Skúmi
Þorkælssyni;Þorkellssyni
oc;og
sa;sá
hann;hann
saran;sáran
til;til
olifis;ólífs
oc;og
mællte;mælti
sva;svo
illa;illa
hæfir;hefur
þinn;þinn
faðer;faðir
ef;ef
þu;þú
scallt;skalt
æigi;eigi
hæim;heim
coma;koma
til;til
hannda;handa
hanum;honum
.;.
þa;.æa
orte;orti
Skumr;Skúmur
visu;vísu
.;.
Hacon;Hákon
iarl;jarl
gat;gat
son;son
þann;þann
er;er
Æirikr;Eiríkur
het;hét
þa;þá
er;er
hann;hann
var;var
xv;fimmtán
vætra;vetra
gamall;gamall
oc;og
varð;varð
hann;hann
siðan;síðan
iarll;jarl
.;.
þa;þá
er;er
Hacon;Hákon
iarl;jarl
com;kom
aftr;aftur
i;í
Noreg;Noreg
.;.
cvangaðezk;kvongaðist
hann;hann
oc;og
fecc;fékk
Þoro;Þóru
dottor;dóttur
Skaga;Skaga
systr;systur
Tiðenda-Skofta;Tíðinda-Skopta
.;.
oc;og
hann;hann
fecc;fékk
Ingibiargar;Ingibjargar
dottor;dóttur
Haconar;Hákonar
iarls;jarls
.;.
Svæinn;Sveinn
het;hét
sunr;sonur
Haconar;Hákonar
iarls;jarls
oc;og
Þoro;Þóru
.;.
en;en
Bergliot;Bergljót
het;hét
dotter;dóttir
þæira;þeirra
er;er
atte;átti
Æinar;Einar
þamba;þambar
skælvir;skelfir
.;.
Sigurðar;Sigurðar
varo;voru
tvæir;tveir
oc;og
Ærlingr;Erlingur
.;.
oc;og
Hæmingr;Hemingur
.;.
oc;og
Erlendr;Erlendur
varo;voru
synir;synir
Haconar;Hákonar
iarls;jarls
.;.
Ðau;Þau
Skofte;Skopti
oc;og
Ingibiorg;Ingibjörg
atto;áttu
sun;son
þann;þann
er;er
Ormr;Ormur
het;hét
.;.
hann;hann
var;var
iarll;jarl
.;.
þaðan;þaðan
var;var
comenn;kominn
Erlingr;Erlingur
iarll;jarl
.;.
Skofte;Skopti
var;var
sva;svo
kær;kær
Hacone;Hákoni
iarle;jarli
at;að
hann;hann
skylldi;skyldi
læggia;leggja
skip;skip
sitt;sitt
nest;næst
iarlsens;jarlsins
skipi;skipi
i;í
hofnum;höfnum
oc;og
ængi;enginn
skylldi;skyldi
annat;annað
þora;þora
en;en
læggia;leggja
þægar;þegar
a;á
braut;braut
er;er
hann;hann
com;kom
til;til
.;.
Sva;Svo
bar;bar
til;til
æithvært;eitthvert
sinni;sinn
at;að
Skofte;Skopti
com;kom
sva;svo
til;til
forunꝍytis;föruneytis
iarlsens;jarlsins
at;að
Eirikr;Eiríkur
sunr;sonur
hans;hans
la;lá
firir;fyrir
i;í
lægeno;leginu
oc;og
bað;bað
Skofte;Skopti
Eirik;Eirík
a;á
braut;braut
læggia;leggja
.;.
en;en
Eirikr;Eiríkur
lezk;lést
æigi;eigi
myndu;muna
brott;brott
læggia;leggja
.;.
þat;það
hꝍyrði;heyrði
Hacon;Hákon
iarl;jarl
oc;og
bað;bað
taca;taka
tiolld;tjöld
af;af
skipi;skipi
sinu;sínu
oc;og
sagðe;sagði
at;að
ængum;engum
skylldi;skyldi
þat;það
lyða;lýða
.;.
at;að
hallda;halda
a;á
lægeno;leginu
firir;fyrir
Skofta;Skopta
.;.
þa;þá
foro;fóru
oc;og
tiolld;tjöld
af;af
skipi;skipi
Eiriks;Eiríks
oc;og
Scofta;Skopta
.;.
En;En
þa;þá
er;er
Eirikr;Eiríkur
sa;sá
at;að
hann;hann
var;var
liðfarr;liðfár
let;lét
hann;hann
siga;síga
skip;skip
sitt;sitt
or;úr
lægeno;leginu
firir;fyrir
Skofta;Skopta
