SUɴʀ;Sonur
villdi;vildi
hann;hann
fara;fara
ut;út
til;til
Norvasunnda;Nörvasunda
.;.
oc;og
la;lá
til;til
lengi;lengi
.;.
oc;og
gaf;gaf
æigi;eigi
byrenn;byrinn
.;.
fekk;fékk
þar;þar
vitron;vitrun
at;að
ɢuð;Guð
villdi;vildi
at;að
hann;hann
kꝍme;kæmi
eigi;eigi
sunnar;sunnar
.;.
fꝍre;færi
hælldr;heldur
norðr;orður
til;til
Noregs;Noregs
ættlannda;ættlanda
sinna;sinna
.;.
oc;og
sagðe;sagði
at;að
hann;hann
skylldi;skyldi
þar;þar
vera;vera
konongr;konungur
at;að
eilivu;eilífu
.;.
Hann;Hann
gierðe;gerði
sva;svo
.;.
venndi;vendi
þa;þá
aftr;aftur
liðinu;liðinu
oc;og
kom;kom
til;til
Peito;Peitu
.;.
oc;og
giekk;gekk
upp;upp
með;með
Læiru;Leiru
oc;og
barðez;barðist
þar;þar
oc;og
brendi;brenndi
þar;þar
kauptun;kauptún
þat;það
er;er
Varrande;Varrandi
hæitir;heitir
.;.
þann;þann
vætr;vetur
æftir;eftir
sat;sat
Olafr;Ólafur
i;í
Sygno;Sygnu
.;.
oc;og
senndi;sendi
firir;fyrir
ser;sér
Rana;Rana
fostr;fóstur
faðr;föður
sinn;sinn
til;til
Englanz;Englands
at;að
æfla;efla
sec;sig
með;með
fegiofum;fégjöfum
oc;og
vinmalom;vinmálum
.;.
sva;svo
gierðe;gerði
hann;hann
.;.
for;fór
viða;víða
um;um
Englannd;England
oc;og
com;kom
allt;allt
til;til
Lunnduna;Lundúna
oc;og
friðaðe;friðaði
firir;fyrir
hanum;honum
.;.
At;Að
vare;vori
æftir;eftir
for;fór
Olafr;Ólafur
vestan;vestan
skipum;skipum
til;til
Englannz;Englands
oc;og
atte;átti
þar;þar
orrostu;orrustu
við;við
Iungafurðu;Jungafurðu
oc;og
hafðe;hafði
sigr;sigur
.;.
xviidu;sautjándu
orrastu;orrustu
atte;átti
hann;hann
væstr;vestur
firir;fyrir
Vallde;Valdi
oc;og
hafðe;hafði
iamnan;jafnan
sigr;sigur
.;.
i;í
þann;þann
tima;tíma
er;er
Olafr;Ólafur
var;var
vestr;vestur
i;í
Peitolannde;Peitulandi
anndaðezk;andaðist
Eirikr;Eiríkur
iarll;jarl
Haconar;Hákonar
sunr;sonur
vestr;vestur
a;á
Englande;Englandi
.;.
aðr;áður
en;en
Olafr;Ólafur
kꝍme;kæmi
hit;hið
siðara;síðara
sinni;sinni
til;til
Englannz;Englands
.;.
a;á
þui;því
are;ári
voro;voru
liðnir;liðnir
xiiii;fjórtán
vetr;vetur
fra;frá
falle;falli
Olafs;Ólafs
Tryggvasonar;Tryggvasonar
.;.
tvæim;tveim
vetrom;vetrum
aðr;áður
hafðe;hafði
Eirikr;Eiríkur
iarl;jarl
faret;farið
or;úr
Norege;Noregi
til;til
Englannz;Englands
.;.
