Hví;Hví
gaf;Þá
Loki;gaf
Óðni;Loki
geirinn;Óðni
Gungni;geirinn
,;Gungni
en;,
Þór;en
haddinn;Þór
,;haddinn
er;,
Sif;er
skyldi;Sif
hafa;skyldi
,;hafa
,;,
en;en
Frey;Frey
Skíðblaðni;Skíðblaðni
ok;og
sagði;sagði
skyn;skyn
á;á
öllum;öllum
gripunum;gripunum
,;,
at;að
geirrinn;geirinn
nam;nam
aldri;aldrei
staðar;staðar
í;í
lagi;lagi
,;,
en;en
haddrinn;haddurinn
var;var
holdgróinn;holdgróinn
,;,
þegar;þegar
er;er
hann;hann
kom;kom
á;á
höfuð;höfuð
Sif;Sif
,;,
en;en
Skíðblaðnir;Skíðblaðnir
hafði;hafði
byr;byr
,;,
þegar;þegar
er;er
segl;segl
kom;kom
á;á
loft;loft
,;,
hvert;hvert
er;er
fara;fara
skyldi;skyldi
,;,
en;en
mátti;mátti
vefja;vefja
saman;saman
sem;sem
dúk;dúk
ok;og
hafa;hafa
í;í
pungi;pungi
sér;sér
,;,
ef;ef
þat;það
vildi;vildi
.;.
Þá;Þá
bar;bar
fram;fram
Brokkr;Brokkur
sína;sína
gripi;gripi
.;.
Hann;Hann
gaf;gaf
Óðni;Óðni
hringinn;hringinn
ok;og
sagði;sagði
,;,
at;að
ina;ina
níundu;níundu
hverja;hverja
nótt;nótt
myndi;myndi
drjúpa;drjúpa
af;af
honum;honum
átta;átta
hringar;hringar
jafnhöfgir;jafnhöfgir
sem;sem
hann;hann
.;.
En;En
Frey;Frey
gaf;gaf
hann;hann
göltinn;göltinn
ok;og
sagði;sagði
,;,
at;að
hann;hann
mátti;mátti
renna;renna
loft;loft
ok;og
lög;lög
nótt;nótt
ok;og
dag;dag
meira;meira
en;en
hverr;hver
hestr;hestur
ok;og
aldri;aldrei
varð;varð
svá;svo
myrkt;myrkt
af;af
nótt;nótt
eða;eða
í;í
myrkheimum;myrkheimum
,;,
at;að
eigi;eigi
væri;væri
ærit;ærið
ljós;ljós
,;,
þar;þar
er;er
hann;hann
fór;fór
svá;svo
lýsti;lýsti
af;af
burstinni;burstinni
.;.
Þá;Þá
gaf;gaf
hann;hann
Þór;Þór
hamarinn;hamarinn
ok;og
sagði;sagði
,;,
at;að
hann;hann
myndi;myndi
mega;mega
ljósta;ljósta
svá;svo
stórt;stórt
sem;sem
hann;hann
vildi;vildi
,;,
hvat;hvað
sem;sem
fyrir;fyrir
væri;væri
,;,
at;að
eigi;eigi
myndi;myndi
hamarrinn;hamarinn
bila;bila
,;,
ok;og
ef;ef
hann;hann
yrpi;yrpi
honum;honum
til;til
,;,
þá;þá
myndi;myndi
hann;hann
aldri;aldrei
missa;missa
ok;og
aldri;aldri
fljúga;fljúga
svá;svo
langt;langt
,;,
at;að
eigi;eigi
myndi;myndi
hann;hann
sækja;sækja
heim;heim
hönd;hönd
,;,
ok;og
ef;ef
þat;það
vildi;vildi
,;,
þá;þá
var;var
hann;hann
svá;svo
lítill;lítill
,;,
at;at
hafa;hafa
mátti;mátti
serk;serk
sér;sér
.;.
En;En
þat;það
var;var
lýi;lýi
á;á
,;,
ar;ar
forskeftit;forskeftið
var;var
heldr;heldur
skammt;skammt
.;.
Þat;Það
var;var
dómr;dómur
þeira;þeirra
,;,
at;at
hamarrinn;hamarinn
var;var
beztr;bestur
af;af
öllum;öllum
gripunum;gripunum
ok;og
mest;mest
vörn;vörn
í;í
fyrir;fyrir
hrímþursum;hrímþursum
,;,
ok;og
dæmðu;dæmdu
þeir;þeir
,;,
at;að
dvergrinn;dvergurinn
ætti;ætti
veðféit;veðféð
.;.
Þá;Þá
bauð;bauð
Loki;Loki
at;að
leysa;leysa
höfuð;höfuð
sitt;sitt
,;,
en;en
dvergrinn;dvergurinn
sagði;sagði
,;,
at;að
þess;þess
var;var
engi;engi
ván;ván
.;.
Taktu;Taktu
mik;mig
þá;þá
,;,
kvað;kvað
Loki;Loki
,;,
en;en
er;er
hann;hann
vildi;vildi
taka;taka
hann;hann
,;,
þá;þá
var;var
hann;hann
víðs;víðs
fjarri;fjarri
.;.
Loki;Loki
átti;átti
skúa;skó
þá;þá
,;,
er;er
hann;hann
rann;rann
á;á
loft;loft
ok;og
lög;lög
.;.
Þá;Þá
bað;bað
dvergrinn;dvergurinn
Þór;Þór
,;,
at;að
hann;hann
skyldi;skyldi
taka;taka
hann;hann
,;,
en;en
hann;hann
gerði;gerði
svá;svo
.;.
Þá;Þá
vildi;vildi
dvergrinn;dvergurinn
höggva;höggva
af;af
höfuð;höfuð
hans;hans
,;,
en;en
Loki;Loki
sagði;sagði
,;,
at;at
hann;hann
átti;átti
höfuðit;höfuðið
,;,
en;en
eigi;eigi
hálsinn;hálsinn
.;.
Þá;Þá
tók;tók
dvergrinn;dvergurinn
þveng;þveng
ok;og
kníf;kníf
ok;og
vill;vill
stinga;stinga
rauf;rauf
á;á
vörrum;vörum
Loka;Loka
ok;og
vill;vill
rifa;rifa
saman;saman
munninn;munninn
,;,
en;en
knífrinn;knífurinn
beit;beit
ekki;ekki
.;.
Þá;Þá
mælti;mælti
hann;hann
,;,
at;að
betri;betri
væri;væri
þar;þar
alr;alur
bróður;bróður
hans;hans
,;,
en;en
jafnskjótt;jafnskjótt
sem;sem
hann;hann
nefndi;nefndi
hann;hann
,;,
þá;þá
var;var
þar;þar
alrinn;alurinn
,;,
ok;ok
beit;beit
hann;hann
varrarnar;varirnar
.;.
Rifaði;Rifaði
hann;hann
saman;saman
varrirnar;varirnar
,;,
ok;og
reif;reif
Loki;Loki
ór;úr
æsunum;æsunum
.;.
Sá;Sá
þvengr;þvengur
,;,
er;er
muðrinn;munnurinn
Loka;Loka
var;var
saman;saman
rifaðr;rifinn
,;,
heitir;heitir
Vartari;Vartari
