Nú;Nú
aðra;aðra
hlið;hlið
honum;honum
stóð;stóð
leirjötunninn;leirjötunninn
,;,
er;er
nefndr;nefndur
er;er
Mökkurkálf;Mökkurkálfi
,;,
ok;og
var;var
hann;hann
allhræddr;allhræddur
.;.
Svá;Svo
er;er
sagt;sagt
,;,
at;að
hann;hann
meig;meig
,;,
er;er
hann;hann
sá;sá
Þór;Þór
.;.
Þórr;Þór
fór;fór
til;til
hólmstefnu;hólmstefnu
ok;og
með;með
honum;honum
Þjálfi;Þjálfi
.;.
Þá;Þá
rann;rann
Þjálfi;Þjálfi
fram;fram
at;að
,;,
þar;þar
er;er
Hrungnir;Hrungnir
stóð;stóð
,;,
ok;og
mælti;mælti
til;til
hans;hans
:;:
:;:
Þú;Þú
stendr;stendur
óvarliga;óvarlega
,;,
,;,
jötunn;jötunn
hefir;hefur
skjöldinn;skjöldinn
fyrir;fyrir
þér;þér
,;,
en;en
Þórr;Þór
hefir;hefur
sét;séð
þik;þig
,;,
ok;og
ferr;fer
hann;hann
it;hið
neðra;neðra
í;í
jörðu;jörðu
,;,
ok;og
mun;mun
hann;hann
koma;koma
neðan;neðan
at;að
þér;þér
.;.
Þá;Þá
skaut;skaut
Hrungnir;Hrungnir
skildinum;skildinum
undir;undir
fætr;fætur
sér;sér
ok;og
stóð;stóð
á;á
,;,
en;en
tvíhendi;tvíhendi
heinina;heinina
.;.
.;.
Því;Því
næst;næst
sá;sá
hann;hann
eldingar;eldingar
ok;og
heyrði;heyrði
þrumur;þrumur
stórar;stórar
.;.
Sá;Sá
hann;hann
þá;þá
Þór;Þór
í;í
ásmóði;ásmóði
.;.
Fór;Fór
hann;hann
ákafliga;ákaflega
ok;og
reiddi;reiddi
hamarinn;hamarinn
ok;og
kastaði;kastaði
um;um
langa;langa
leið;leið
at;að
Hrungni;Hrungni
.;.
Hrungnir;Hrungnir
færir;færir
upp;upp
heinina;heinina
báðum;báðum
höndum;höndum
ok;og
kastar;kastar
í;í
mót;mót
.;.
Mætir;Mætir
hon;hún
hamrinum;hamrinum
á;á
flugi;flugi
,;,
ok;og
brotnar;brotnar
sundr;sundur
heinin;heinin
.;.
Fellr;Fellur
annarr;annar
hlutr;hlutur
á;á
jörð;jörð
,;,
ok;og
eru;eru
þar;þar
af;af
orðin;orðin
öll;öll
heinberg;heinberg
.;.
Annarr;Annar
hlutr;hlutur
brast;brast
í;í
höfði;höfði
Þór;Þór
,;,
svá;svo
at;að
hann;hann
fell;féll
fram;fram
á;á
jörð;jörð
.;.
En;En
hamarrinn;hamarinn
Mjöllnir;Mjöllnir
kom;kom
í;í
mitt;mitt
höfuð;höfuð
Hrungni;Hrungni
ok;og
lamði;lamdi
hausinn;hausinn
í;í
smán;smán
mola;mola
,;,
ok;og
fell;fell
hann;hann
fram;fram
yfir;yfir
Þór;Þór
,;,
svá;svo
at;að
fótr;fótur
hans;hans
lá;lá
of;of
háls;háls
Þór;Þór
.;.
En;En
Þjálfi;Þjálfi
vá;vó
at;að
Mökkurkálfa;Mökkurkálfa
,;,
ok;og
fell;fell
hann;hann
við;við
lítinn;lítinn
orðstír;orðstír
.;.
Þá;Þá
gekk;gekk
Þjálfi;Þjálfi
til;til
Þórs;Þórs
ok;og
skyldi;skyldi
taka;taka
fót;fót
Hrungnis;Hrungnis
af;af
honum;honum
ok;og
gat;gat
hvergi;hvergi
valdit;valdið
.;.
Þá;Þá
gengu;gengu
til;til
æsir;æsir
allir;allir
,;,
er;er
þeir;þeir
spurðu;spurðu
at;að
Þórr;Þór
var;var
fallinn;fallinn
,;,
ok;og
skyldu;skyldu
taka;taka
fótinn;fótinn
af;af
honum;honum
ok;og
fengu;fengu
hvergi;hvergi
komit;komið
.;.
Þá;Þá
kom;kom
til;til
Magni;Magni
,;,
sonr;sonur
Þórs;Þórs
ok;og
Járnsöxu;Járnsöxu
.;.
Hann;Hann
var;var
þá;þá
þrínættr;þrínættur
.;.
Hann;Hann
kastaði;kastaði
fæti;fæti
Hrungnis;Hrungnis
af;af
Þór;Þór
ok;og
mælti;mælti
:;:
Sé;Sé
þar;þar
ljótan;ljótan
harm;harm
,;,
faðir;faðir
,;,
er;er
ek;ég
kom;kom
svá;svo
síð;síð
.;.
Ek;Ég
hygg;hygg
,;,
at;að
jötun;jötun
þenna;þenna
myndak;myndiég
hafa;hafa
lostit;lostið
í;í
hel;hel
með;með
hnefa;hnefa
mínum;mínum
,;,
ef;ef
ek;ég
hefða;hefði
fundit;fundið
hann;hann
.;.
Þá;Þá
stóð;stóð
Þórr;Þór
upp;upp
ok;og
fagnaði;fagnaði
vel;vel
syni;syni
sínum;sínum
ok;og
sagði;sagði
,;,
at;að
hann;hann
myndi;myndi
verða;verða
mikill;mikill
fyrir;fyrir
sér;sér
,;,
-;-
ok;og
vil;vil
ek;ég
,;,
sagði;sagði
hann;hann
,;,
,;,
gefa;gefa
þér;þér
hestinn;hestinn
Gullfaxa;Gullfaxa
,;,
er;er
Hrungnir;Hrungnir
hefir;hefir
átt;átt
.;.
Þá;Þá
mælti;mælti
Óðinn;Óðinn
ok;og
sagði;sagði
,;,
at;at
Þórr;Þór
gerði;gerði
rangt;rangt
,;,
er;er
hann;hann
gaf;gaf
þann;þann
inn;inn
góða;góða
hest;hest
gýgjarsyni;gýgjarsyni
,;,
en;en
eigi;eigi
