Hvat;Hvat
ok;og
gerði;gerði
sér;sér
þar;þar
ból;ból
ok;og
brást;brást
í;í
ormslíki;ormslíki
ok;og
lagðist;lagðist
á;á
gullit;gullið
.;.
Reginn;Reginn
fór;fór
þá;þá
til;til
Hjálpreks;Hjálpreks
konungs;konungs
á;á
Þjóði;Þjóði
ok;og
gerðist;gerðist
þar;þar
smiðr;smiður
hans;hans
.;.
Þá;Þá
tók;tók
hann;hann
þar;þar
til;til
fóstrs;fósturs
Sigurð;Sigurð
,;,
son;son
Sigmundar;Sigmundar
,;,
sonar;sonar
Völsungs;Völsungs
,;,
ok;og
son;son
Hjördísar;Hjördísar
,;,
dóttur;dóttur
Eylima;Eylima
.;.
Sigurðr;Sigurður
var;var
ágætastr;ágætastur
allra;allra
herkonunga;herkonunga
af;af
ætt;ætt
ok;og
afli;afli
ok;og
hug;hug
.;.
Reginn;Reginn
sagði;sagði
honum;honum
til;til
,;,
hvar;hvar
Fáfnir;Fáfnir
lá;lá
á;á
gullinu;gullinu
,;,
ok;og
eggjaði;eggjaði
hann;hann
at;að
sækja;sækja
gullit;gullið
.;.
Þá;Þá
gerði;gerði
Reginn;Reginn
sverð;sverð
þat;það
,;,
er;er
Gramr;Gramur
heitir;heitir
,;,
er;er
svá;svo
var;var
hvasst;hvasst
,;,
at;a
Sigurðr;Sigurður
brá;brá
niðr;niðr
í;í
rennanda;rennanda
vatn;vatn
ok;og
tók;tók
í;í
sundr;sundur
ullarlagð;ullarlagð
,;,
er;er
rak;rak
fyrir;fyrir
strauminum;strauminum
at;að
sverðsegginni;sverðsegginni
.;.
Því;Því
næst;næst
klauf;klauf
Sigurðr;Sigurður
steðja;steðja
Regins;Regins
ofan;ofan
í;í
stokkinn;stokkinn
með;með
sverðinu;sverðinu
.;.
Eftir;Eftir
þat;það
fóru;fóru
þeir;þeir
Sigurðr;Sigurður
ok;og
Reginn;Reginn
á;á
Gnitaheiði;Gnitaheiði
.;.
Þá;Þá
gróf;gróf
Sigurðr;Sigurður
gröf;gröf
á;á
veg;veg
Fáfnis;Fáfnis
ok;og
settist;settist
þar;þar
í;í
.;.
En;En
er;er
Fáfnir;Fáfnir
skreið;skreið
til;til
vatns;vatns
ok;og
hann;hann
kom;kom
yfir;yfir
gröfina;gröfina
,;,
þá;þá
lagði;lagði
Sigurðr;Sigurður
sverðinu;sverðinu
í;í
gegnum;gegnum
hann;hann
,;,
ok;og
var;var
þat;það
hans;hans
bani;bani
.;.
Kom;Kom
þá;þá
Reginn;Reginn
at;að
ok;og
sagði;sagði
,;,
at;að
hann;hann
hefði;hefði
drepit;drepit
bróður;bróður
hans;hans
,;,
ok;og
bauð;bauð
honum;honum
þat;það
at;að
sætt;sátt
,;,
at;að
hann;hann
skyldi;skyldi
taka;taka
hjarta;hjarta
Fáfnis;Fáfnis
ok;og
steikja;steikja
við;við
eld;eld
,;,
en;en
Reginn;Reginn
lagðist;lagðist
niðr;niður
ok;og
drakk;drakk
blóð;blóð
Fáfnis;Fáfnis
ok;og
lagðist;lagðist
at;að
sofa;sofa
.;.
En;En
er;er
Sigurðr;Sigurður
steikði;steikti
hjartat;hjartað
ok;og
hann;hann
hugði;hugði
,;,
at;að
fullsteikt;fullsteikt
myndi;myndi
,;,
ok;og
tók;tók
á;á
fingrinum;fingrinum
,;,
hvé;hve
hart;hart
var;var
.;.
En;En
er;er
frauðit;frauðið
rann;rann
ór;úr
hjartanu;hjartanu
á;á
fingrinn;fingurinn
,;,
þá;þá
brann;brann
hann;hann
ok;ok
drap;drap
fingrinum;fingrinum
í;í
munn;munn
sér;sér
.;.
En;En
er;er
hjartablóðit;hjartablóðið
kom;kom
á;á
tunguna;tunguna
,;,
þá;þá
kunni;kunni
hann;hann
fuglsrödd;fuglsrödd
ok;ok
skilði;skilði
,;,
hvat;hvað
igðurnar;igðurnar
sögðu;sögðu
,;,
er;er
sátu;sátu
í;í
viðnum;viðnum
.;.
Þá;Þá
mælti;mælti
ein;ein
:;:
Þá;Þá
gekk;gekk
Sigurðr;Sigurður
til;til
Regins;Regins
ok;og
drap;drap
hann;hann
,;,
en;en
síðan;síðan
til;til
hests;hests
síns;síns
,;,
er;er
Grani;Grani
heitir;heitir
,;,
ok;og
reið;reið
til;til
,;,
þess;þess
er;er
hann;hann
kom;kom
til;til
bóls;bóls
Fáfnis;Fáfnis
,;,
tók;tók
þá;þá
gullit;gullið
ok;og
batt;batt
í;í
klyfjar;klyfjar
ok;og
lagði;lagði
upp;upp
á;á
bak;bak
Grana;Grana
ok;og
steig;steig
upp;upp
sjálfr;sjálfur
ok;og
reið;reið
þá;þá
leið;leið
sína;sína
.;.
Nú;Nú
er;er
þat;það
sagt;sagt
,;,
hver;hver
saga;saga
til;til
er;er
þess;þess
,;,
at;að
gullit;gullið
er;er
kallat;kallað
ból;ból
eða;eða
byggð;byggð
Fáfnis;Fáfnis
eða;eða
málmr;málmur
Gnitaheiðar;Gnitaheiðar
eða;eða
byrðr;burður
Grana;Grana
.;.
