Annat;Annað
átt;átt
höfðu;höfðu
langfeðgar;langfeðgar
Aðils;Aðils
.;.
En;En
konungr;konungur
varnaði;varnaði
allra;allra
gripanna;gripanna
,;,
ok;og
eigi;eigi
heldr;heldr
galt;galt
hann;hann
málann;málann
.;.
Fóru;Fóru
berserkir;berserkir
braut;braut
ok;og
unðu;undu
illa;illa
sínum;sínum
hlut;hlut
,;,
sögðu;sögðu
svá;svo
búit;búið
Hrólfi;Hrólfi
kraka;kraka
.;.
Ok;Og
jafnskjótt;jafnskjótt
byrjaði;byrjaði
hann;hann
ferð;ferð
sína;sína
til;til
Uppsala;Uppsala
,;,
ok;og
er;er
hann;hann
kom;kom
skipum;skipum
sínum;sínum
í;í
ána;ána
Fýri;Fýri
,;,
þá;þá
reið;reið
hann;hann
til;til
Uppsala;Uppsala
,;,
ok;og
með;með
honum;honum
tólf;tólf
berserkir;berserkir
hans;hans
,;,
allr;allur
griðalausir;griðalausir
.;.
Yrsa;Yrsa
,;,
móðir;móðir
hans;hans
,;,
fagnaði;fagnaði
honum;honum
ok;og
fylgði;fylgdi
honum;honum
til;til
herbergis;herbergis
ok;og
eigi;eigi
til;til
konungs;konungs
hallar;hallar
.;.
Váru;Voru
þá;þá
gervir;gerðir
eldar;eldar
fyrir;fyrir
þeim;þeim
ok;og
gefit;gefið
öl;öl
at;að
drekka;drekka
.;.
Þá;Þá
komu;komu
menn;menn
Aðils;Aðils
konungs;konungs
inn;inn
ok;ok
báru;báru
skíð;skíð
á;á
eldinn;eldinn
ok;og
gerðu;gerðu
svá;svo
mikinn;mikinn
,;,
at;að
klæði;klæði
brunnu;brunnu
af;af
þeim;þeim
Hrólfi;Hrólfi
,;,
ok;og
mæltu;mæltu
:;:
Er;Er
þat;það
satt;satt
,;,
at;að
Hrólfr;Hrólfur
kraki;kraki
ok;og
berserkir;berserkir
hans;hans
flýja;flýja
hvárki;hvorki
eld;eld
né;né
járn;járn
?;?
Þá;Þá
hljóp;hljóp
Hrólfr;Hrólfur
kraki;kraki
upp;upp
ok;og
allir;allir
þeir;þeir
.;.
Þá;Þá
mælti;mælti
hann;hann
:;:
tók;tók
skjöld;skjöld
sinn;sinn
ok;og
kastaði;kastaði
á;á
eldinn;eldinn
ok;og
hljóp;hljóp
yfir;yfir
eldinn;eldinn
,;,
meðan;meðan
skjöldrinn;skjöldurinn
brann;brann
,;,
ok;ok
mælti;mælti
enn;enn
:;:
Svá;Svo
fór;fór
hverr;hver
at;að
öðrum;öðrum
hans;hans
manna;manna
,;,
tóku;tóku
þá;þá
ok;ok
,;,
er;er
eldinn;eldinn
höfðu;höfðu
aukit;aukið
,;,
ok;og
köstuðu;köstuðu
á;á
eldinn;eldinn
.;.
Þá;Þá
kom;kom
Yrsa;Yrsa
ok;og
fekk;fékk
Hrólfi;Hrólfi
kraka;kraka
dýrshorn;dýrshorn
,;,
fullt;fullt
af;af
gulli;gulli
,;,
ok;og
þar;þar
með;með
hringinn;hringinn
Svíagrís;Svíagrís
ok;og
bað;bað
þá;þá
braut;braut
ríða;ríða
til;til
liðsins;liðsins
.;.
Þeir;Þeir
hljópu;hlupu
á;á
hesta;hesta
sína;sína
ok;og
ríða;ríða
ofan;ofan
á;á
Fýrisvöllu;Fýrisvöllu
.;.
Þá;Þá
sá;sjá
þeir;þeir
,;,
at;að
Aðils;Aðils
konungr;konungur
reið;reið
eftir;eftir
þeim;þeim
með;með
her;her
sinn;sinn
alvápnaðan;alvopnaðan
ok;og
vill;vill
drepa;drepa
þá;þá
.;.
Þá;Þá
tók;tók
Hrólfr;Hrólfur
kraki;kraki
hægri;hægri
hendi;hendi
gullit;gullið
ofan;ofan
í;í
hornit;hornið
ok;og
söri;sáði
allt;allt
um;um
götuna;götuna
.;.
En;En
er;er
Svíar;Svíar
sjá;sjá
þat;það
,;,
hlaupa;hlaupa
þeir;þeir
ór;úr
söðlunum;söðlunum
,;,
ok;og
tók;tók
hverr;hver
slíkt;slíkt
er;er
fekk;fékk
,;,
en;en
Aðils;Aðils
konungr;konungur
bað;bað
þá;þá
ríða;ríða
ok;og
reið;reið
sjálfr;sjálfur
ákafliga;ákaflega
.;.
Slöngvir;Slöngvir
hét;hét
hestr;hestur
hans;hans
,;,
allra;allra
hesta;hesta
skjótastr;skjótastur
.;.
Þá;Þá
sá;sá
Hrólfr;Hrólfr
kraki;kraki
,;,
at;að
Aðils;Aðils
konungr;konungr
reið;reið
nær;nær
honum;honum
,;,
tók;tók
þá;þá
hringinn;hringinn
Svíagrís;Svíagrís
ok;og
kastaði;kastaði
til;til
hans;hans
ok;og
bað;bað
hann;hann
þiggja;þiggja
at;að
gjöf;gjöf
.;.
Aðils;Aðils
konungr;konungur
reið;reið
at;að
hringinum;hringinum
ok;og
tók;tók
til;til
með;með
spjótsoddinum;spjótsoddinum
ok;og
renndi;renndi
upp;upp
á;á
falinn;falinn
.;.
Þá;Þá
veik;vék
Hrólfr;Hrólfur
kraki;kraki
aftr;aftur
ok;og
sá;sá
,;,
er;er
hann;hann
laut;laut
niðr;niður
.;.
Þá;Þá
mælti;mælti
hann;hann
:;:
:;:
Svínbeygt;Svínbeygt
hefi;hef
ek;ég
nú;nú
þann;þann
,;,
er;er
ríkastr;ríkastur
er;er
með;með
Svíum;Svíum
.;.
Svá;Svo
skilðust;skildust
þeir;þeir
.;.
Af;Af
þessi;þeirri
sök;sök
er;er
gull;gull
kallat;kallað
sáð;sáð
Kraka;Kraka
eða;eða
Fýrisvalla;Fýrisvalla
.;.
Svá;Svo
kvað;kvað
Eyvindr;Eyvindur
skáldaspillir;skáldaspillir
:;:
Svá;Svo
sem;sem
Þjóðólfr;Þjóðólfur
